TimeStamp,TimeStarted,DateStarted,Coder,ArticleID,ArticleIssues,ArticleLanguage,JIF,StudyType,PreReg,PreRegWhere,PreRegAccess,PreRegAspects,RawData,RawDataAvl,RawDataWhere,RawDataAccess,RawDataDocument,ProcessData,ProcessDataWhere,ProcessDataAccess,ProcessDataDocument,AnalysisScript,AnalysisScriptWhere,AnalysisScriptAccess,Materials,MaterialsWhere,MaterialsAccess,COI,Replication,OA,TimeEnded,DateEnded,CountryAuthor,EmpiricalStudyData,JIFYear,Year,year_split,clickable_doi,coder,round2_coder,Source.title,Agree,c
2021-10-29T15:45:00.865Z,1899-12-31T15:36:00Z,2021-10-29T00:00:00Z,TR,94a3a580,There are no issues,universal,2.973,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T15:44:00Z,2021-10-29T00:00:00Z,Denmark,,2009.0,2009,Pre-OS,http://doi.org/10.1016/j.bandl.2008.07.001,tr,,Brain and Language,TRUE,
2021-10-29T15:50:21.026Z,1899-12-31T15:46:00Z,2021-10-29T00:00:00Z,TR,f5dbe587,There are no issues,English,0.192,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T15:49:00Z,2021-10-29T00:00:00Z,Unclear,,2013.0,2009,Pre-OS,http://doi.org/10.1017/S026607840999040X,tr,ab,English Today,TRUE,
2021-10-29T15:58:57.716Z,1899-12-31T15:50:00Z,2021-10-29T00:00:00Z,TR,8d6ddc5b,There are no issues,unclear,1.335,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"Yes, the statement says that there is no conflict of interest",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T15:57:00Z,2021-10-29T00:00:00Z,Australia,Experimental study,2009.0,2009,Pre-OS,http://doi.org/10.3109/14992020903131117,tr,,International Journal of Audiology,TRUE,
2021-10-29T16:02:40.485Z,1899-12-31T15:59:00Z,2021-10-29T00:00:00Z,TR,ab568dcc,I don't have access to the full text,,,,,,,,,,,,,,,,,,,,,,,,,,1899-12-31T16:02:00Z,2021-10-29T00:00:00Z,,,,2009,Pre-OS,http://doi.org/10.1142/S1793351X09000902,tr,jc,International Journal of Semantic Computing,FALSE,
2021-10-29T16:12:38.134Z,1899-12-31T16:02:00Z,2021-10-29T00:00:00Z,TR,67e155b9,There are no issues,English,0.091,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T16:12:00Z,2021-10-29T00:00:00Z,Singapore,Corpus study,2008,2008,Pre-OS,http://doi.org/10.1093/ijl/ecn021,tr,ab,International Journal of Lexicography,TRUE,
2021-10-29T16:20:09.984Z,1899-12-31T16:12:00Z,2021-10-29T00:00:00Z,TR,8fea3671,There are no issues,Dutch,0.8,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,"Audio, Video","No, raw data are not available.  (GO TO SECTION 4.6)",,,,"Yes, the statement says that the processed data are available",Available from a third party,No,Unclear,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T16:20:00Z,2021-10-29T00:00:00Z,UK,Corpus study,2008.0,2008,Pre-OS,http://doi.org/10.1016/j.pragma.2007.05.001,tr,,Journal of Pragmatics,TRUE,
2021-10-29T16:22:10.916Z,1899-12-31T16:20:00Z,2021-10-29T00:00:00Z,TR,ac05f6ec,Article is not about language,,,,,,,,,,,,,,,,,,,,,,,,,,1899-12-31T16:22:00Z,2021-10-29T00:00:00Z,,,,2008,Pre-OS,http://doi.org/10.1017/S0958344008000220,tr,,ReCALL,TRUE,
2021-10-29T16:28:45.403Z,1899-12-31T16:22:00Z,2021-10-29T00:00:00Z,TR,2bc377da,There are no issues,English,2.13,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Audio,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,dead link to third party,"An online, third-party repository (e.g. OSF, GitHub, FigShare, etc.)",No,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T16:28:00Z,2021-10-29T00:00:00Z,USA,Experimental study,2008.0,2008,Pre-OS,http://doi.org/10.1017/S0142716407080101,tr,,Applied Psycholinguistics,TRUE,
2021-10-29T17:46:05.760Z,1899-12-31T17:23:00Z,2021-10-29T00:00:00Z,MR,30872b86,There are no issues,cross linguistic,0.273,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,single examples,Raw data (examples) are provided within the publication,,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T17:45:00Z,2021-10-29T00:00:00Z,USA,Typological study,2014.0,2008,Pre-OS,http://doi.org/10.1515/LITY.2008.037,mr,,Linguistic Typology,TRUE,
2021-10-30T02:18:11.849Z,1899-12-31T20:09:00Z,2021-10-29T00:00:00Z,JC,92de457c,There are no issues,Na,NO ACCESS,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,"Text file, Audio","No, raw data are not available.  (GO TO SECTION 4.6)",,,,,,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T20:17:00Z,2021-10-29T00:00:00Z,France,Field study or language description,,2008,Pre-OS,http://doi.org/10.1163/1960602808X00064,jc,,Cahiers de Linguistique d'Asie Orientale,TRUE,
2021-11-01T11:10:17.380Z,1899-12-31T11:09:00Z,2021-11-01T00:00:00Z,TR,fc0df4d2,I don't have access to the full text,,,,,,,,,,,,,,,,,,,,,,,,,,1899-12-31T11:10:00Z,2021-11-01T00:00:00Z,,,,2009,Pre-OS,http://doi.org/10.1075/babel.55.2.01wah,tr,,Babel,TRUE,
2021-11-01T11:18:25.627Z,1899-12-31T11:10:00Z,2021-11-01T00:00:00Z,TR,6d6220da,There are no issues,cross linguistic,2.656,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available. (GO TO SECTION 4.6)",NA,No,Unclear,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,Materials or additional information are available through a third party,Available from a third party,yes,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T11:18:00Z,2021-11-01T00:00:00Z,Sweden,Corpus study,2008.0,2008,Pre-OS,http://doi.org/10.1162/coli.07-056-R1-07-027,tr,lk,Computational Linguistics,TRUE,
2021-11-01T11:25:03.565Z,1899-12-31T11:18:00Z,2021-11-01T00:00:00Z,TR,d9d92cd2,There are no issues,Danish,NA,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T11:24:00Z,2021-11-01T00:00:00Z,Denmark,Experimental study,,2009,Pre-OS,http://doi.org/10.1080/03740460903364219,tr,,Acta Linguistica Hafniensia,TRUE,
2021-11-01T11:49:45.108Z,1899-12-31T11:25:00Z,2021-11-01T00:00:00Z,TR,656fab8f,There are no issues,Spanish,1.229,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Audio,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T11:49:00Z,2021-11-01T00:00:00Z,Chile,Corpus study,2008.0,2008,Pre-OS,http://doi.org/10.1016/j.specom.2007.11.005,tr,,Speech Communication,TRUE,
2021-11-01T11:55:42.771Z,1899-12-31T11:50:00Z,2021-11-01T00:00:00Z,TR,86b621bc,There are no issues,Dutch,3.271,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T11:55:00Z,2021-11-01T00:00:00Z,Netherlands,Experimental study,2008.0,2008,Pre-OS,http://doi.org/10.1016/j.jml.2008.02.005,tr,,Journal of Memory and Language,TRUE,
2021-11-01T12:01:04.092Z,1899-12-31T11:56:00Z,2021-11-01T00:00:00Z,TR,d4fe009d,There are no issues,English,0.831,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,"Text file, Audio, Video","No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T12:00:00Z,2021-11-01T00:00:00Z,USA,Experimental study,2009.0,2009,Pre-OS,http://doi.org/10.1080/02687030802669518,tr,,Aphasiology,TRUE,
2021-11-01T12:06:20.020Z,1899-12-31T12:01:00Z,2021-11-01T00:00:00Z,TR,a6f66b23,There are no issues,Finish,0.792,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Video,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T12:06:00Z,2021-11-01T00:00:00Z,Finnland,Corpus study,2008.0,2009,Pre-OS,http://doi.org/10.1017/S0305000908009240,tr,,Journal of Child Language,TRUE,
2021-11-01T12:09:52.073Z,1899-12-31T12:06:00Z,2021-11-01T00:00:00Z,TR,96c41c9e,There are no issues,NA,0.431,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T12:09:00Z,2021-11-01T00:00:00Z,UK,,2010.0,2008,Pre-OS,http://doi.org/10.1093/llc/fqn004,tr,,Literary and Linguistic Computing,TRUE,
2021-11-01T12:17:09.761Z,1899-12-31T12:10:00Z,2021-11-01T00:00:00Z,TR,fff9fbc6,There are no issues,"English, Universal",0.16,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,"Text file, Audio","No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,Materials or additional information are available through a third party,dead link,No,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T12:17:00Z,2021-11-01T00:00:00Z,Spain,Observational study,2010,2009,Pre-OS,http://doi.org/,tr,jc,Porta Linguarum,TRUE,
2021-11-01T12:22:31.523Z,1899-12-31T12:17:00Z,2021-11-01T00:00:00Z,TR,586f59e9,There are no issues,English,0.74,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T12:22:00Z,2021-11-01T00:00:00Z,China,Corpus study,2008.0,2008,Pre-OS,http://doi.org/10.1016/j.esp.2008.05.003,tr,,English for Specific Purposes,TRUE,
2021-11-01T12:26:36.234Z,1899-12-31T12:23:00Z,2021-11-01T00:00:00Z,TR,2ffce127,There are no issues,French,0.167,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T12:26:00Z,2021-11-01T00:00:00Z,Netherlands,,2008.0,2008,Pre-OS,http://doi.org/10.1515/PRBS.2008.005,tr,,Probus,TRUE,
2021-11-01T12:29:40.480Z,1899-12-31T12:27:00Z,2021-11-01T00:00:00Z,TR,64cf897b,There are no issues,unclear,0.809,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T12:29:00Z,2021-11-01T00:00:00Z,USA,,2011.0,2009,Pre-OS,http://doi.org/10.1515/COGL.2009.027,tr,,Cognitive Linguistics,TRUE,
2021-11-01T12:35:18.522Z,1899-12-31T12:32:00Z,2021-11-01T00:00:00Z,TR,0e3e42b8,There are no issues,universal,0.814,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T12:35:00Z,2021-11-01T00:00:00Z,USA,,2009.0,2009,Pre-OS,http://doi.org/10.1080/13670050802149531,tr,,International Journal of Bilingual Education and Bilingualism,TRUE,
2021-11-01T12:44:38.756Z,1899-12-31T12:35:00Z,2021-11-01T00:00:00Z,TR,40a300b9,There are no issues,"L2 English, L2 Italian, L2 French",NA,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Audio,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T12:44:00Z,2021-11-01T00:00:00Z,France,Corpus study,NA,2009,Pre-OS,http://doi.org/10.1558/cj.v26i3.644-661,tr,,CALICO Journal,TRUE,
2021-11-01T13:56:31.749Z,1899-12-31T13:46:00Z,2021-11-01T00:00:00Z,TR,44cf705f,There are no issues,English,NA,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T13:56:00Z,2021-11-01T00:00:00Z,Canada,,NA,2008,Pre-OS,http://doi.org/10.1017/s0008413100004503,tr,,Canadian Journal of Linguistics,TRUE,
2021-11-01T15:13:05.645Z,1899-12-31T15:05:00Z,2021-11-01T00:00:00Z,TR,09bff6f1,There are no issues,English,3.481,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Audio,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T15:12:00Z,2021-11-01T00:00:00Z,USA,Experimental study,2008.0,2008,Pre-OS,http://doi.org/10.1016/j.cognition.2007.11.009,tr,lk,Cognition,TRUE,
2021-11-01T15:16:31.764Z,1899-12-31T15:03:00Z,2021-11-01T00:00:00Z,MR,388e2a49,There are no issues,German as a second language,0.378,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T15:16:00Z,2021-11-01T00:00:00Z,USA,"Survey or interview, Not language per se but report about reading experiences was analysed qualitatively",2009.0,2009,Pre-OS,http://doi.org/10.1111/j.1944-9720.2009.01024.x,mr,,Foreign Language Annals,TRUE,
2021-11-01T15:22:48.685Z,1899-12-31T15:17:00Z,2021-11-01T00:00:00Z,MR,ccc62ae2,There are no issues,Cameroon English,0.934,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Audio,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T15:22:00Z,2021-11-01T00:00:00Z,Canada,Survey or interview,2010,2009,Pre-OS,http://doi.org/10.1111/j.1467-971X.2009.01611.x,mr,jc,World Englishes,TRUE,
2021-11-01T15:23:55.916Z,1899-12-31T15:14:00Z,2021-11-01T00:00:00Z,TR,792b345d,There are no issues,L2 Spanish,1.914,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Video,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,Materials or additional information are available through a third party,link to porn website,No,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T15:23:00Z,2021-11-01T00:00:00Z,USA,observational corpus,2009.0,2009,Pre-OS,http://doi.org/10.1111/j.1540-4781.2009.00856.x,tr,,Modern Language Journal,TRUE,
2021-11-01T15:32:47.467Z,1899-12-31T15:24:00Z,2021-11-01T00:00:00Z,MR,bbe3b391,There are no issues,"English, Universal",1.105,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,"Text file, Audio, Survey responses","No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T15:32:00Z,2021-11-01T00:00:00Z,Iran,Experimental study,2010.0,2008,Pre-OS,http://doi.org/10.1016/j.system.2007.10.006,mr,lk,System,TRUE,
2021-11-01T15:34:15.653Z,1899-12-31T15:25:00Z,2021-11-01T00:00:00Z,TR,edd7d335,There are no issues,Spanish,0.529,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Audio,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"Yes, the statement says that there is no conflict of interest",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T15:34:00Z,2021-11-01T00:00:00Z,USA,observational study,2009.0,2009,Pre-OS,http://doi.org/10.1080/02699200902839818,tr,,Clinical Linguistics and Phonetics,TRUE,
2021-11-01T15:37:35.353Z,1899-12-31T15:34:00Z,2021-11-01T00:00:00Z,TR,fe59ac43,There are no issues,universal,0.273,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T15:37:00Z,2021-11-01T00:00:00Z,Denmark,,2014,2009,Pre-OS,http://doi.org/10.1515/LITY.2009.005,tr,jc,Linguistic Typology,TRUE,
2021-11-01T15:41:51.384Z,1899-12-31T15:37:00Z,2021-11-01T00:00:00Z,TR,4fba2fe2,There are no issues,French,1.335,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T15:41:00Z,2021-11-01T00:00:00Z,Belgium,Experimental study,2009,2008,Pre-OS,http://doi.org/10.1080/14992020801887786,tr,jc,International Journal of Audiology,TRUE,
