Sourcerecord ID,Source Title,Print-ISSN,E-ISSN,Titles discontinued by Scopus due to quality issues,Coverage,2017 CiteScore,"2017
SJR","2017
SNIP",2018 CiteScore,"2018
SJR","2018
SNIP",2019 CiteScore,"2019
SJR","2019
SNIP",All Science Journal Classification Codes (ASJC)
21100274701,"International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM",13142704,,,"2013-2019, 2006",0.3,0.211,0.521,0.3,0.209,0.459,0.4,0.232,0.392,1907; 1909; 
81058,"International Paper and Coating Chemistry Symposium, Proceedings",,,,"2003, 1996",,,,,,,,,,1500; 
59231,"International Paper Physics Conference, Proceedings",,,,"2003, 1995",,,,,,,,,,2500; 
21120,International SAMPE Symposium and Exhibition,08910138,,,"1996-2010, 1991-1993, 1987-1989",,,,,,,,,,2210; 2211; 2500; 
31921,International SAMPE Technical Conference,,,,"2016-2019, 2004-2014, 1994-2001, 1991, 1988-1989",0.4,0.158,0.183,0.4,0.144,0.071,0.6,0.153,0.199,2210; 2211; 2500; 
56812,International Solar Energy Conference,15468402,,,"2001-2007, 1996-1998",,,,,,,,,,1912; 2105; 
63185,International Specialty Conference on Cold-Formed Steel Structures: Recent Research and Developments in Cold-Formed Steel Design and Construction,,,,"2002, 2000, 1998, 1996, 1994",,,,,,,,,,2200; 
37213,"International Symposium on Combustion, Abstracts of Accepted Papers",,,,"2004, 2002, 2000",,,,,,,,,,2200; 
34050,"International Symposium on Combustion, Abstracts of Works-in-Progress Posters",,,,"2004, 2002",,,,,,,,,,2200; 
17988,"International Symposium on Discharges and Electrical Insulation in Vacuum, ISDEIV",,,,"2002, 2000, 1998, 1996",,,,,,,,,,2200; 
90775,"International Symposium on Low Power Electronics and Design, Digest of Technical Papers",,,,1996-2002,,,,,,,,,,2200; 
78827,International Symposium on Technology and Society,,,,"2002, 1999-2000, 1996-1997",,,,,,,,,,2200; 
26007,"International Symposium on VLSI Technology, Systems, and Applications, Proceedings",1524766X,,,"2015, 2011-2012, 2006-2009, 2003, 2001, 1999, 1997, 1995, 1993, 1991",,0.145,0.176,,0.147,0.102,,,,2208; 3104; 2504; 
93668,"International Workshop on Advanced Motion Control, AMC",,,,"2014, 2012, 2010, 2008, 2006, 2004, 2002, 2000, 1998, 1996",,0.141,0.519,,,,,,,2208; 1706; 2611; 2207; 
70225,International Workshop on Principles of Software Evolution (IWPSE),,,,"2015, 2013, 2009, 2007, 2000-2005",,0.103,0.070,,0.141,1.926,,,,1703; 2611; 2614; 1712; 
120050,International Workshop on System-Level Interconnect Prediction (SLIP 2000),,,,"2002-2003, 2000",,,,,,,,,,1700; 
19900195068,IOP Conference Series: Earth and Environmental Science,17551307,17551315,,2010-2020,0.3,0.149,0.356,0.3,0.170,0.549,0.4,0.175,0.514,1900; 2300; 
19700200831,IOP Conference Series: Materials Science and Engineering,17578981,1757899X,,2009-2020,0.4,0.201,0.616,0.5,0.192,0.541,0.6,0.198,0.543,2200; 2500; 
55936,IS and T's International Conference on Digital Production Printing and Industrial Applications,,,,"2003, 2001",,,,,,,,,,2209; 2508; 1706; 
51218,ISA TECH/EXPO Technology Update Conference Proceedings,10540032,,,"2000-2002, 1995-1998, 1993",,,,,,,,,,3104; 3105; 
21100830113,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",21949042,21949050,,2012-2019,,,0.866,,,0.825,2.4,0.474,0.878,1901; 2301; 3105; 
17452,ITG-Fachbericht,09326022,,,"2001-2005, 1996-1998, 1988-1989",,,,,,,,,,1708; 1712; 
28129,Journal De Physique. IV : JP,11554339,17647177,,"1996-2006, 1993-1994",,,,,,,,,,3100; 
36634,Journal of Chromatography - Biomedical Applications,15726495,,,"1983-2000, 1980",,,,,,,,,,1600; 
50175,"Journal of Polymer Science, Polymer Symposia",03608905,,,"1983-1985, 1974-1977, 1969-1969",,,,,,,,,,2200; 
87146,King Fahd University of Petroleum and Minerals Research Institute Annual Catalysts in Petroleum Refining and Petrochemicals Symposium Papers,,,,"2015, 2007-2013, 2004-2005, 1999-2002",,0.101,0.000,,0.101,0.000,,,,2102; 2103; 1600; 1503; 
74582,Kyushu Tokai Daigaku Nogakubu Kiyo/Proceedings of School of Agriculture Kyushu Tokai University,02868180,,,"2005-2006, 2001-2002",,,,,,,,,,1101; 
21100229106,"Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)",16175468,,,2004-2019,0.5,0.144,0.253,0.7,0.137,0.264,0.7,0.187,0.400,1706; 
21100421887,Lecture Notes in Information Systems and Organisation,21954968,21954976,,2013-2020,0.8,0.117,0.310,0.9,0.110,0.186,1.0,0.125,0.158,1405; 1802; 1706; 1710; 1404; 
21100244929,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,,,2008-2020,1.2,0.363,0.825,1.4,0.512,0.886,1.5,0.537,0.800,1712; 
15535,LEOS Summer Topical Meeting,10994742,,,"1994-2009, 1991-1992",,,,,,,,,,2208; 3107; 
50015,"Light Metals: Proceedings of Sessions, AIME Annual Meeting (Warrendale, Pennsylvania)",,,,"1993-2002, 1989, 1982-1987, 1978-1980",,,,,,,,,,2506; 
21100316064,MATEC Web of Conferences,,2261236X,Discontinued by Scopus,2012-2018,0.3,0.151,0.390,,0.169,0.556,0.8,0.166,0.714,2200; 2500; 1600; 
28698,Materials Research Society Symposium - Proceedings,02729172,,,"1993-2016, 1980-1987",0.6,0.139,0.145,,0.141,0.132,,0.114,0.121,2210; 2211; 3104; 2500; 
21100370037,Materials Today: Proceedings,,22147853,,"2014-2020, 2005",0.7,0.314,0.806,0.9,0.299,0.727,1.3,0.304,0.576,2500; 
51415,"Mathematical Methods in Electromagnetic Theory, MMET, Conference Proceedings",,,,"2010, 2008, 2006, 2004, 2002, 1998, 1996",,,,,,,,,,2604; 3104; 2610; 2611; 
26047,Midwest Symposium on Circuits and Systems,15483746,,,"1989-2019, 1983-1985, 1976-1977",0.7,0.163,0.387,0.8,0.154,0.288,1.0,0.214,0.553,2208; 2504; 
87912,"National Radio Science Conference, NRSC, Proceedings",,,,"2011-2016, 2000-2009, 1998, 1996",1.3,0.125,0.389,,0.135,0.623,,0.158,0.561,2208; 3104; 2504; 
15446,NIST Special Publication,1048776X,,,"2004-2011, 1990-1993",,,,,,,,,,2200; 
63903,NPRA Annual Meeting Papers,,,,2000-2004,,,,,,,,,,2100; 
20747,NPRA Computer Conference Papers,,,,"2002, 1999",,,,,,,,,,1700; 
17631,NPRA Environmental Conference Papers,,,,"2008-2011, 2004-2006, 2002, 1998-1999",,,,,,,,,,2102; 2103; 1500; 
68307,NPRA International Petrochemical Conference Papers,,,,"2010, 2008, 2002-2003, 1999-2000",,,,,,,,,,2102; 2103; 1500; 
17634,NPRA National Safety Conference Papers,,,,"2009-2011, 2004, 2002, 2000",,,,,,,,,,2102; 2213; 2103; 1500; 
17635,NPRA Question and Answer Session on Refining and Petrochemical Technology,01620770,,,"2008, 2001-2002",,,,,,,,,,2102; 2103; 1500; 
13654,Oceans Conference Record (IEEE),01977385,,,"2007, 1994-2003, 1990-1991, 1980-1987, 1971-1972",,,,,0.100,,,0.100,,1910; 
64457,Offshore Europe Conference - Proceedings,,,,"2007, 2005, 2003, 1997, 1995",,,,,,,,,,2100; 2200; 
99863,"Pacific Rim Conference on Lasers and Electro-Optics, CLEO - Technical Digest",,,,"2013, 2009, 2007, 2005, 1999-2003, 1997",,,,,,,,,,2208; 3104; 3107; 2504; 
96564,"Parallel and Distributed Computing, Applications and Technologies, PDCAT Proceedings",,,,"2014-2015, 2005-2012, 2003",,0.148,0.439,,0.111,0.542,,,,1706; 1708; 2614; 1712; 
26125,"Parallel Architectures and Compilation Techniques - Conference Proceedings, PACT",1089795X,,,1996-2019,3.9,0.365,1.518,3.3,0.295,0.944,2.7,0.271,0.927,1708; 2614; 1712; 
26742,Performance Evaluation Review,01635999,,,"1996-2019, 1994, 1986-1989, 1984, 1982, 1980",2.7,0.383,0.915,2.5,0.358,0.749,1.2,0.339,0.610,1705; 1708; 1712; 
29048,PESC Record - IEEE Annual Power Electronics Specialists Conference,02759306,,,"2015, 1978-2008, 1971-1976",,0.100,0.062,,0.103,0.354,,0.125,,2208; 2102; 3104; 2611; 
29136,Physica Status Solidi C: Conferences,16101634,,,2002-2006,,,,,,,,,,3104; 
12400154705,Physics Procedia,18753884,18753892,,2008-2017,1.3,0.351,0.601,1.7,0.248,0.891,,0.318,1.395,3100; 
68514,PIRA International Conference Proceedings,,,,"2003-2004, 1999",,,,,,,,,,2200; 
61636,Portland International Conference on Management of Engineering and Technology,,,,"2015, 2005-2007, 2003",,0.111,0.168,,0.127,0.340,,,,1408; 2200; 
17700156418,Procedia - Social and Behavioral Sciences,18770428,,,2009-2012,,,,,,,,,,3200; 3300; 
19400158915,Procedia Chemistry,18766196,,,2009-2011,,,,,,,,,,1500; 1600; 
21100243809,Procedia CIRP,22128271,,,2012-2020,2.4,0.668,0.992,2.7,0.725,1.280,3.6,0.728,1.144,2209; 2207; 
19700182801,Procedia Computer Science,,18770509,,2010-2019,1.5,0.258,0.776,2.2,0.281,0.966,2.5,0.342,1.000,1700; 
19500157009,Procedia Earth and Planetary Science,18785220,,,"2011, 2009",,,,,,,,,,1900; 
18700156717,Procedia Engineering,18777058,,,2009-2018,1.1,0.282,0.793,1.8,0.277,0.808,2.7,0.316,1.333,2200; 
90911,Proceeding of the International Conference on Telecommunications,,,,2002-2003,,,,,,,,,,1705; 2214; 
19700202708,"Proceedings - 2010 International Conference on Intelligent System Design and Engineering Application, ISDEA 2010",,,,2010-2011,,,,,,,,,,1702; 1706; 2207; 
88419,Proceedings - Annual Meeting of the Decision Sciences Institute,,,,"2002-2003, 1996-1998",,,,,,,,,,1708; 1404; 
52209,Proceedings - Annual SAFE Symposium (Survival and Flight Equipment Association),,,,"2011-2018, 2000-2009, 1995-1998, 1991, 1989, 1987, 1985, 1980-1983",0.0,0.101,0.047,0.0,0.100,0.000,0.0,0.100,0.000,2202; 2213; 
90216,"Proceedings - Annual Stability Conference, Structural Stability Research Council",,,,"2004, 2002",,,,,,,,,,2200; 
110406,"Proceedings - Annual Technical Session, Structural Stability Research Council",,,,"2003, 2000-2001, 1997-1998, 1995",,,,,,,,,,2200; 
26432,Proceedings - Conference of the Australian Road Research Board,05721431,,,"2003, 2000, 1998, 1994, 1992, 1990, 1984, 1981-1982, 1978, 1976",,,,,0.101,,,0.101,,3313; 
39140,Proceedings - Electronic Components and Technology Conference,05695503,,,"1983-2019, 1980-1981, 1975-1978",2.0,0.341,0.808,2.1,0.337,0.909,2.4,0.313,0.847,2208; 2504; 
67055,Proceedings - Euromicro Conference on Real-Time Systems,10683070,,,1991-2016,8.5,0.405,5.244,,0.592,4.300,,0.702,2.331,1708; 1712; 
16719,"Proceedings - Frontiers in Education Conference, FIE",15394565,,,"2019, 2015-2017, 1991-2013, 1978-1989, 1976",0.7,0.218,0.685,1.2,0.155,0.559,0.9,0.322,0.708,1706; 3304; 1712; 
25516,Proceedings - Graphics Interface,07135424,,,"2001-2019, 1989-1998, 1983-1987",2.2,0.232,0.574,1.9,0.215,0.561,1.6,0.275,0.576,1704; 
110544,"Proceedings - ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing",07367791,,,"1981-2019, 1976-1977",3.4,0.402,0.956,3.5,0.478,1.046,4.2,0.672,1.091,2208; 1711; 1712; 
18705,Proceedings - IEEE Computer Society's International Computer Software and Applications Conference,07306512,,,1979-2019,1.2,0.177,0.697,1.4,0.192,0.655,1.7,0.246,0.643,1706; 1712; 
18204,Proceedings - IEEE INFOCOM,0743166X,,,1983-2019,6.6,0.779,1.842,6.6,0.849,1.716,7.4,1.425,1.766,2208; 1700; 
26669,Proceedings - IEEE International Conference on Computer Design: VLSI in Computers and Processors,10636404,,,"2009-2012, 1993-2005, 1988-1991",,,,,,,,,,2208; 1708; 
25456,Proceedings - IEEE International Conference on Robotics and Automation,10504729,,,"1991-2019, 1984-1985",4.7,0.911,1.412,5.5,0.911,1.605,5.8,1.412,1.799,2208; 1702; 2207; 1712; 
56190,Proceedings - IEEE International Symposium on Circuits and Systems,02714310,,,"2013-2019, 2011, 1984-2009, 1980-1981, 1976-1978",1.4,0.237,0.586,1.5,0.237,0.596,1.8,0.285,0.598,2208; 
87683,Proceedings - IEEE Military Communications Conference,,,,"2019, 1983-2017",1.5,0.222,0.581,1.9,0.192,0.721,1.0,0.337,0.775,2208; 
56164,Proceedings - International Air Transportation Conference,,,,"2000-2002, 1998, 1996",,,,,,,,,,3313; 
58745,Proceedings - International Conference on Data Engineering,,,,"2019, 2017, 1991-2015, 1986",4.6,0.578,2.280,5.3,0.383,1.910,2.6,0.626,1.707,1710; 1711; 1712; 
26104,Proceedings - International Conference on Distributed Computing Systems,10636927,,,"1986-2019, 1984, 1982",2.5,0.539,1.817,2.4,0.353,0.912,3.5,0.654,1.100,1705; 1708; 1712; 
24282,Proceedings - International Conference on Pattern Recognition,10514651,,,"2018, 2016, 2014, 2012, 2010, 2008, 2006, 2004, 2002, 2000, 1998, 1996, 1994, 1992, 1990, 1988, 1986, 1984, 1982",2.1,0.307,0.714,0.9,0.265,0.902,2.9,0.453,0.972,1707; 
19242,Proceedings - International Conference on Software Engineering,02705257,,,"2018-2019, 1997-2016, 1987-1995, 1984-1985, 1980-1982, 1978, 1976",8.5,0.377,3.252,4.2,0.436,3.403,5.1,0.518,1.727,1712; 
18707,Proceedings - International Symposium on Computers and Communications,15301346,,,"1999-2019, 1997, 1995",1.3,0.193,0.518,1.5,0.214,0.634,2.4,0.305,0.603,1705; 1706; 2600; 1711; 1712; 
130018,"Proceedings - International Symposium on Discharges and Electrical Insulation in Vacuum, ISDEIV",10932941,,,"2018, 2016, 2014, 2012, 2010, 2008, 2006, 2004",0.6,0.138,0.515,0.4,0.186,0.320,0.8,0.158,0.385,1705; 1712; 
66503,Proceedings - International Symposium on Electrets,,,,"2011, 2008, 2005, 2002, 1999, 1996, 1992",,,,,,,,,,2505; 2208; 3104; 2504; 
27918,Proceedings - Rapid Excavation and Tunneling Conference,10459065,,,"2019, 2017, 2015, 2013, 2011, 2009, 2007, 2005, 2003, 2001, 1995, 1993, 1991, 1989, 1987, 1983, 1980-1981",0.2,0.180,0.132,0.4,0.107,0.078,0.2,0.191,0.177,2210; 1909; 2205; 
85329,Proceedings - Real-Time Systems Symposium,,,,"2015-2019, 1983-2013",3.8,0.278,1.979,4.3,0.413,1.444,3.2,0.505,1.396,1705; 1708; 1712; 
61068,Proceedings - SPE Annual Technical Conference and Exhibition,,,,"1990-2019, 1976-1986",1.0,0.250,0.640,1.4,0.271,0.597,1.6,0.314,0.628,2102; 2103; 
89749,Proceedings - SPE Eastern Regional Conference and Exhibition,,,,"2002-2003, 2000, 1993-1997, 1991",,,,,,,,,,2200; 
97616,Proceedings - SPE International Symposium on Formation Damage Control,,,,"2020, 2018, 2016, 2012, 2010, 2008, 2006, 2004, 2002, 2000, 1998, 1996, 1994, 1988, 1986, 1984, 1982, 1980, 1978, 1976, 1974",0.9,0.165,0.698,1.3,0.206,0.325,2.1,0.267,0.475,1909; 2102; 
74553,Proceedings - SPE Production Operations Symposium,,,,"2003, 2001, 1997, 1995",,,,,,,,,,1909; 
94730,Proceedings - SPE Symposium on Improved Oil Recovery,,,,"2018, 2016, 2014, 2012, 2010, 2008, 2006, 2004, 2002, 1998, 1996, 1994, 1972, 1969",2.9,0.295,0.961,2.7,0.491,1.342,4.3,0.447,1.160,1909; 2102; 
74910,Proceedings - Symposium on Computer Arithmetic,,,,"2018-2019, 2015, 2013, 2011, 2009, 2007, 2005, 2003, 2001, 1999, 1997, 1995, 1993, 1991, 1989, 1987, 1985, 1983, 1972",,0.255,2.106,1.9,0.176,0.863,0.4,0.230,0.829,1708; 2614; 1712; 
79631,Proceedings - Symposium on Fusion Engineering,,,,"2016, 2011, 2009, 2005-2007, 2002-2003, 1998-1999, 1995, 1993, 1991, 1989",0.3,0.140,0.168,,0.157,0.166,,0.115,0.068,2104; 3106; 
25562,Proceedings - Symposium on Logic in Computer Science,10436871,,,"2015-2019, 2013, 1990-2011, 1986-1987",2.2,0.645,2.266,3.0,0.802,1.650,3.5,1.128,1.772,2600; 1712; 
26019,Proceedings - Virtual Reality Annual International Symposium,,,,1995-2004,,,,,,,,,,1712; 
145228,Proceedings - Winter Simulation Conference,08917736,,,"2015-2019, 2004-2013, 1992-1993, 1976-1980, 1973-1974, 1971",1.1,0.369,0.564,1.4,0.357,0.330,1.5,0.410,0.822,1706; 2611; 1712; 
30306,Proceedings ACM SIGUCCS User Services Conference,,,,"2013-2015, 2010-2011, 2004-2008, 2000-2002, 1997-1998, 1989",,0.112,0.173,,0.101,0.086,,,,1706; 3304; 1710; 1712; 
62221,Proceedings AESF/EPA Conference for Environmental Excellence,,,,"2002, 2000",,,,,,,,,,2200; 
120123,Proceedings of ACM Symposium on Access Control Models and Technologies (SACMAT 2002),,,,2002-2004,,,,,,,,,,1700; 
84734,"Proceedings of Computer Graphics International Conference, CGI",15301052,,,"2009, 2003-2005, 2000-2001, 1996-1997",,,,,,,,,,1704; 1712; 
74882,Proceedings of IEEE Sensors,,,,"2018-2019, 2016, 2014, 2002-2012",,0.166,0.466,0.0,,0.679,0.3,0.160,0.232,2208; 
21100215110,Proceedings of Meetings on Acoustics,1939800X,,,2008-2018,0.5,0.180,0.282,0.6,0.213,0.254,1.0,0.188,0.409,3102; 
21100253049,Proceedings of Science,,18248039,,1998-2019,0.2,0.115,0.042,0.1,0.106,0.023,0.1,0.107,0.015,1000; 
40067,Proceedings of SPIE - The International Society for Optical Engineering,0277786X,1996756X,,1963-2020,1.0,0.234,0.373,1.0,0.238,0.411,1.0,0.215,0.320,2208; 2604; 1706; 3104; 2504; 
22598,Proceedings of Stapp Car Crash Conference,0585086X,,,"1999, 1994-1997, 1980-1982, 1975",,,,,,,,,,2203; 
74295,Proceedings of the 2002 International Conference on Dependable Systems and Networks,,,,"2002, 2000",,,,,,,,,,2200; 
110362,Proceedings of the ACM Conference on Computer and Communications Security,,,,"1996-2019, 1994",6.4,0.880,3.013,7.3,1.026,3.776,9.1,1.829,3.569,1705; 1712; 
30160,Proceedings of the ACM Conference on Computer Supported Cooperative Work,,,,"2002, 2000, 1998, 1996, 1992",,,,,,,,,,1708; 
144857,"Proceedings of the ACM Conference on Computer Supported Cooperative Work, CSCW",,,,"2010-2016, 2008, 2006, 2004",6.2,0.222,1.685,,0.314,1.549,,0.527,1.824,1705; 1709; 1712; 
92503,Proceedings of the ACM Conference on Electronic Commerce,,,,"2008-2013, 2003-2006, 2001",,,,,,,,,,1705; 1706; 1712; 
89451,Proceedings of the ACM Conference on Hypertext,,,,"1996-2004, 1993",,,,,,,,,,1708; 1712; 
1100147106,"Proceedings of the ACM Great Lakes Symposium on VLSI, GLSVLSI",,,,2005-2016,2.9,0.278,1.187,,0.277,1.206,,0.229,1.032,2200; 
62702,Proceedings of the ACM International Conference on Digital Libraries,,,,"2010, 2007-2008, 2004, 1996-2002",,,,,,,,,,3309; 1706; 1710; 1712; 
34334,Proceedings of the ACM International Multimedia Conference and Exhibition,,,,"2006-2007, 1999-2003, 1995-1997",,,,,,,,,,1700; 
81474,Proceedings of the ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,,,,"1998-2019, 1990-1995, 1984, 1982",5.0,1.056,1.896,4.7,0.957,2.193,4.3,1.082,1.875,1708; 1710; 1712; 
110364,Proceedings of the ACM SIGCPR Conference,,,,"1993-2002, 1991, 1988, 1985",,,,,,,,,,1712; 
72267,Proceedings of the ACM SIGGRAPH Conference on Computer Graphics,,,,"2007, 2000-2002, 1995-1998",,,,,,,,,,1700; 
101510,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,"2005-2015, 2002-2003",,1.005,5.460,,1.004,5.952,,,,1710; 1712; 
58145,Proceedings of the ACM SIGMIS CPR Conference,,,,2003-2004,,,,,,,,,,3308; 1400; 1700; 
30611,Proceedings of the ACM SIGMOD International Conference on Management of Data,,,,"2010-2019, 2001-2008, 1994, 1991-1992, 1988-1989, 1986, 1974-1984, 1970-1972",7.5,1.231,2.830,7.7,1.110,2.952,7.2,1.926,2.322,1710; 1712; 
95610,"Proceedings of the ACM SIGPLAN Conference on Languages, Compilers, and Tools for Embedded Systems (LCTES)",,,,2003-2016,2.4,0.156,1.025,,0.151,0.662,,0.154,0.978,1712; 
90600,Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),,,,"1994-2019, 1990-1991, 1988",8.1,0.593,1.969,6.3,0.571,2.288,6.1,1.048,2.924,1712; 
72247,"Proceedings of the ACM SIGPLAN International Conference on Functional Programming, ICFP",,,,1996-2015,,0.475,2.375,,0.585,2.731,,,,1712; 
55056,Proceedings of the ACM SIGPLAN Symposium on Partial Evaluation and Semantics-Based Program Manipulation,,,,"2010, 2006-2008, 2002-2004, 2000, 1997, 1993",,,,,,,,,,1712; 
57354,"Proceedings of the ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming, PPOPP",,,,"2005-2016, 2003, 2001, 1999, 1997, 1995",5.6,0.272,1.669,,0.387,2.664,,0.424,2.576,1712; 
85109,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,,,,"2010, 2008, 2006, 2000-2004, 1998, 1995-1996",,,,,,,,,,1712; 
89358,Proceedings of the ACM Symposium on Applied Computing,,,,"2002-2016, 1999-2000, 1997, 1995",2.0,0.204,0.751,,0.211,0.844,,0.221,0.700,1712; 
98571,Proceedings of the ACM Workshop on Advances in Geographic Information Systems,,,,"2000-2002, 1996-1997",,,,,,,,,,1700; 
18692,Proceedings of the American Control Conference,07431619,,,"2011-2019, 1997-2009, 1990-1995, 1982-1988",2.1,0.500,0.698,2.1,0.452,0.646,2.2,0.493,0.581,2208; 
30389,"Proceedings of the American Gas Association, Operating Section",00997250,,,"2006-2017, 2002, 1995, 1991, 1981-1982, 1973-1978, 1970",0.0,0.100,0.059,0.0,0.100,0.000,,0.100,0.000,2102; 
13168,Proceedings of the American Philosophical Society,0003049X,,,"1967-2016, 1945-1949",,0.109,0.096,,0.102,0.184,,0.112,0.009,1200; 3312; 3316; 
94067,Proceedings of the Annual ACM Symposium on Principles of Distributed Computing,,,,"1985-2019, 1982",3.7,0.554,1.553,2.7,0.782,1.807,2.3,0.802,1.501,1705; 1708; 1712; 
2300147402,Proceedings of the Annual ACM Symposium on Theory of Computing,07378017,,,"2005-2019, 2000, 1996, 1991-1994, 1988, 1984, 1969-1982",8.4,1.405,3.326,7.9,2.322,3.454,7.4,2.562,2.845,1712; 
110527,Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms,,,,"2018-2019, 1994-2016, 1990-1992",7.3,0.852,3.137,5.8,1.334,3.769,5.1,1.543,3.411,2600; 1712; 
120081,Proceedings of the Annual Conference on Explosives and Blasting Technique,0732619X,,,"2001-2003, 1996, 1990-1991, 1979-1986",,,,,,,,,,1909; 2215; 
23136,Proceedings of the Annual IEEE Conference on Computational Complexity,10930159,,,1996-2014,,0.864,2.360,,,,,,,2605; 2614; 1712; 
91532,"Proceedings of the Annual International Conference on Computational Molecular Biology, RECOMB",,,,1998-2004,,,,,,,,,,1300; 1700; 
70461,"Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM",,,,"2000-2015, 1995-1997",,0.888,5.216,,1.098,5.144,,,,1705; 1708; 1712; 
145699,Proceedings of the Annual ISA Analysis Division Symposium,10506527,,,"2018-2019, 2012-2016, 2002-2010, 1996-2000",0.2,0.102,0.002,,0.100,0.000,0.0,0.100,0.000,3105; 
56833,Proceedings of the Annual Meeting - Institute of Navigation,,,,"2007, 2004-2005, 1995-1997, 1993, 1991, 1982-1984",,,,,,,,,,2202; 3313; 
110624,Proceedings of the Annual Offshore Technology Conference,01603663,,,"2007-2019, 1969-2005",0.6,0.270,0.569,0.6,0.216,0.547,0.5,0.202,0.526,2210; 2102; 2212; 2213; 
83331,Proceedings of the Annual Southeastern Symposium on System Theory,,,,"2001-2013, 1996-1997, 1994, 1987-1990, 1983-1985, 1980",,,,,0.124,,,0.125,,2600; 2207; 
92003,Proceedings of the Annual Southwestern Petroleum Short Course,03615987,,,"2005, 2003, 2001, 1998-1999, 1991-1993, 1980-1984",,,,,0.124,,,0.125,,1907; 1909; 
91064,Proceedings of the Annual Symposium on Computational Geometry,,,,"1994-2014, 1991, 1989",,0.581,1.459,,,,,,,2605; 2608; 2614; 
40832,Proceedings of the Annual Symposium on Instrumentation for the Process Industries,00967963,,,"2011, 2002-2009, 1992, 1990, 1980-1985, 1978",,,,,0.124,,,0.125,,2209; 3105; 2207; 
77904,"Proceedings of the Asia and South Pacific Design Automation Conference, ASP-DAC",,,,"2003-2014, 2000-2001, 1997-1998, 1995",,0.259,1.134,,,,,,,2208; 1704; 1706; 
14494,Proceedings of the Asian Test Symposium,10817735,,,"2018-2019, 1993-2016",1.6,0.181,0.800,1.0,0.191,0.847,1.0,0.172,0.444,2208; 
91976,Proceedings of the ASME Design Engineering Technical Conference,,,,"2008-2015, 2006, 2001-2004",,0.145,0.310,,0.146,0.286,,,,1704; 1706; 2210; 2611; 
68895,Proceedings of the ASME Summer Heat Transfer Conference,,,,"2005, 2003",,,,,,,,,,2200; 
100147003,Proceedings of the ASME Turbo Expo,,,,"2005-2015, 1993-2001, 1991, 1980-1989, 1956-1978",,0.209,0.641,,0.206,0.583,,,,2200; 
62157,Proceedings of the Australian Asian Pacific Conference on Aluminium Cast House Technology,,,,"2003, 2001",,,,,,,,,,2200; 
97668,"Proceedings of the Australian Software Engineering Conference, ASWEC",,,,"2013-2014, 2004-2010, 2000-2001",,0.177,0.612,,,,,,,1712; 
58932,"Proceedings of the Conference on Object-Oriented Programming Systems, Languages, and Applications, OOPSLA",,,,"1999-2015, 1997, 1995, 1991",,0.382,2.506,,0.378,2.355,,,,1712; 
90641,"Proceedings of the Conference on Traffic and Transportation Studies, ICTTS",,,,"2010, 2008, 2006, 2004, 2002, 2000, 1998",,,,,,,,,,2210; 
13875,Proceedings of the Corporate Aviation Safety Seminar,07364709,,,"2008-2012, 2004-2006, 2001-2002, 1999, 1984",,,,,,,,,,2213; 2202; 
83444,Proceedings of the Custom Integrated Circuits Conference,08865930,,,"2019, 2017, 2015, 1985-2013, 1982-1983",1.2,0.469,0.973,2.5,0.542,0.993,1.6,0.880,1.349,2208; 
13706,Proceedings of the Data Compression Conference,10680314,,,1991-2019,1.6,0.348,0.800,2.0,0.311,0.946,2.1,0.370,0.808,1705; 
85865,Proceedings of the Drilling Conference,,,,"2001-2004, 1996-1997",,,,,,,,,,2200; 
42091,Proceedings of the Eigtht IASTED International Conference on Software Engineering and Applications,,,,2003-2004,,,,,,,,,,2200; 
18657,"Proceedings of the Euromicro Conference on Software Maintenance and Reengineering, CSMR",15345351,,,"1999-2013, 1997",,,,,,,,,,1712; 
87237,"Proceedings of the European Conference on Radiation and its Effects on Components and Systems, RADECS",,,,"2015, 2013, 2011, 2007-2009, 2005, 2002, 1998, 1995",,0.131,0.352,,0.133,0.560,,,,2208; 3108; 
21100814501,"Proceedings of the European Conference on Synthetic Aperture Radar, EUSAR",21974403,,,"2018, 2016, 2014, 2012, 2010",1.4,0.232,0.644,0.9,0.322,0.605,1.3,0.221,0.493,3105; 1711; 
89254,Proceedings of the European Petroleum Conference,,,,"2002, 2000, 1998, 1996, 1992",,,,,,,,,,1907; 1909; 
12267,Proceedings of the Hawaii International Conference on System Science,00731129,,,"2014, 2004-2005, 1997-2002, 1994-1995, 1992, 1977-1990",,0.123,0.000,,,,,,,1700; 
