Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Hartmann, K.","36790721600","Focus and tone",2008,"Acta Linguistica Hungarica",55,"3-4",,415,426,,1,10.1556/ALing.55.2008.3-4.13,"https://www.scopus.com/inward/record.url?eid=2-s2.0-53349120245&partnerID=40&md5=48946e8ee7cf704f82d4085b927b6d6e",Article,Final,,Scopus,2-s2.0-53349120245
"Selkirk, E.O.","19337926000","Contrastive focus, givenness and the unmarked status of ""discourse-new""",2008,"Acta Linguistica Hungarica",55,"3-4",,331,346,,51,10.1556/ALing.55.2008.3-4.8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-53349099128&partnerID=40&md5=b998507ff387c78f2a241ed5d5f2eae5",Article,Final,,Scopus,2-s2.0-53349099128
"Rooth, M.","25223620600","Notions of focus anaphoricity",2008,"Acta Linguistica Hungarica",55,"3-4",,277,285,,2,10.1556/ALing.55.2008.3-4.3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-53349091681&partnerID=40&md5=ca5ed401ff6df2858e94a0e89f97dc9b",Article,Final,,Scopus,2-s2.0-53349091681
"Loftsson, H.","16022410900","Tagging icelandic text: A linguistic rule-based approach",2008,"Nordic Journal of Linguistics",31,"1",,47,72,,23,10.1017/S03325S6508001820,"https://www.scopus.com/inward/record.url?eid=2-s2.0-52149088858&partnerID=40&md5=43a2e3e93e967ea053a0bd2067527288",Article,Final,,Scopus,2-s2.0-52149088858
"Wee, L.-H.","25636635000","Opacity from constituency",2008,"Language and Linguistics",9,"1",,127,160,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51249137649&partnerID=40&md5=7bd58216914c0a20b5da624653e35929",Article,Final,,Scopus,2-s2.0-51249137649
"Cooper, M.C.","7404411031","Measuring the semantic distance between languages from a statistical analysis of bilingual dictionaries",2008,"Journal of Quantitative Linguistics",15,"1",,1,33,,5,10.1080/09296170701794260,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51249136721&partnerID=40&md5=333066f37237f1e5fe8538cfbd057793",Article,Final,,Scopus,2-s2.0-51249136721
"Moisl, H., Maguire, W.","11739467400; 26039323500","Identifying the main determinants of phonetic variation in the Newcastle Electronic Corpus of Tyneside English",2008,"Journal of Quantitative Linguistics",15,"1",,46,69,,4,10.1080/09296170701794302,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51249136303&partnerID=40&md5=ea467c9b5508cc3680d5ff648503038c",Article,Final,,Scopus,2-s2.0-51249136303
"Sio, J.U.-S.","25824440400","The encoding of referential properties in the Chinese nominal",2008,"Language and Linguistics",9,"1",,101,126,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51249133592&partnerID=40&md5=78301bb206be369aa9babbaf7f9222df",Article,Final,,Scopus,2-s2.0-51249133592
"Chui, K.","6701855048","Complementary gestures and information types",2008,"Language and Linguistics",9,"1",,1,22,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51249133177&partnerID=40&md5=1d21bb1de23cb951ee4729eb8b3c753b",Article,Final,,Scopus,2-s2.0-51249133177
"Lee, C.-Y.","7410158999","Rethinking of the regularity and consistency effects in reading",2008,"Language and Linguistics",9,"1",,177,186,,7,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51249131745&partnerID=40&md5=1b5f39cd2177985fd8e333c1204836c9",Review,Final,,Scopus,2-s2.0-51249131745
"Hammarstrom, H.","15074045500","Counting languages in dialect continua using the criterion of mutual intelligibility",2008,"Journal of Quantitative Linguistics",15,"1",,34,45,,6,10.1080/09296170701794278,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51249130998&partnerID=40&md5=0d7ab26152b2b8f77f85ceaddfe8df4b",Article,Final,,Scopus,2-s2.0-51249130998
"Huang, S.-M., Hsieh, S.C.-Y.","55339919700; 57194068407","Grammaticalization of directional complements in Mandarin Chinese",2008,"Language and Linguistics",9,"1",,49,68,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51249130397&partnerID=40&md5=9b6e21430c6a23548b9e60ed3c58cd34",Article,Final,,Scopus,2-s2.0-51249130397
"Hsu, C.-C.N.","55797307300","Revisit relative clause islands in Chinese",2008,"Language and Linguistics",9,"1",,23,48,,5,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51249130391&partnerID=40&md5=38d850971ad2473720edf51ecf87345a",Article,Final,,Scopus,2-s2.0-51249130391
"Chen, S.-C.","55340434400","Nature of consistency effect in naming non-phonetic phonograms",2008,"Language and Linguistics",9,"1",,161,175,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51249129641&partnerID=40&md5=a9d4e7748cbfb7080a061a64c1f1b6b4",Review,Final,,Scopus,2-s2.0-51249129641
"Bagavandas, M., Manimannan, G.","26631937500; 26632302400","Style consistency and authorship attribution: A statistical investigation",2008,"Journal of Quantitative Linguistics",15,"1",,100,110,,7,10.1080/09296170701803426,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51249126052&partnerID=40&md5=bca1aeb189e47d72bc613cefeed09f95",Article,Final,,Scopus,2-s2.0-51249126052
"Fetzer, A.","10839769800","The expression of non-alignment in British and German political interviews: Preferred and dispreferred variants",2008,"Functions of Language",15,"1",,35,63,,3,10.1075/fol.15.1.04fet,"https://www.scopus.com/inward/record.url?eid=2-s2.0-45849153185&partnerID=40&md5=9265e93feddc154f5498d7c23f21ed0b",Review,Final,,Scopus,2-s2.0-45849153185
"Paradis, C.","22986285800","Configurations, construals and change: Expressions of DEGREE",2008,"English Language and Linguistics",12,"2",,317,343,,73,10.1017/S1360674308002645,"https://www.scopus.com/inward/record.url?eid=2-s2.0-45849102453&partnerID=40&md5=c3ebe9d5dc0723e0c2119849207a8b88",Article,Final,,Scopus,2-s2.0-45849102453
"Liu, C.-S.L.","7409789934","The light verb lai in the Chinese comparative correlative",2008,"Language and Linguistics",9,"1",,69,99,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-44949120400&partnerID=40&md5=07ecc65aa8a744d94b566a32141c65e4",Article,Final,,Scopus,2-s2.0-44949120400
"Sobin, N.","6507018801","Do so and VP",2008,"Linguistic Inquiry",39,"1",,147,160,,2,10.1162/ling.2008.39.1.147,"https://www.scopus.com/inward/record.url?eid=2-s2.0-40549145525&partnerID=40&md5=828de1ef154080386c5412d544b672af",Review,Final,,Scopus,2-s2.0-40549145525
"Darzi, A.","35948319100","On the vP analysis of Persian finite control constructions",2008,"Linguistic Inquiry",39,"1",,103,116,,13,10.1162/ling.2008.39.1.103,"https://www.scopus.com/inward/record.url?eid=2-s2.0-40549140413&partnerID=40&md5=0833100066479e17a5775941b44ae0ae",Article,Final,,Scopus,2-s2.0-40549140413
"Hazout, I.","23972688200","On the relation between expletive there and its associate: A reply to Williams",2008,"Linguistic Inquiry",39,"1",,117,128,,2,10.1162/ling.2008.39.1.117,"https://www.scopus.com/inward/record.url?eid=2-s2.0-40549138088&partnerID=40&md5=a2442806d2403d98673458f925f49af4",Review,Final,,Scopus,2-s2.0-40549138088
"Embick, D., Marantz, A.","16028642900; 6701578482","Architecture and blocking",2008,"Linguistic Inquiry",39,"1",,1,53,,142,10.1162/ling.2008.39.1.1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-40549131877&partnerID=40&md5=7039d146488338b4560b3dabb41d0e0e",Article,Final,,Scopus,2-s2.0-40549131877
"MacDonald, J.E.","23972695500","Domain of aspectual interpretation",2008,"Linguistic Inquiry",39,"1",,128,147,,12,10.1162/ling.2008.39.1.128,"https://www.scopus.com/inward/record.url?eid=2-s2.0-40549111636&partnerID=40&md5=a83427089fb077f89a43194d7727023b",Review,Final,,Scopus,2-s2.0-40549111636
"Legate, J.A.","22135819600","Morphological and abstract Case",2008,"Linguistic Inquiry",39,"1",,55,101,,133,10.1162/ling.2008.39.1.55,"https://www.scopus.com/inward/record.url?eid=2-s2.0-40549106188&partnerID=40&md5=b9f6c45b8276b72f5098bd3da3791c5f",Article,Final,,Scopus,2-s2.0-40549106188
"Ke, J., Yao, Y.","57196630303; 54399544000","Analysing language development from a network approach",2008,"Journal of Quantitative Linguistics",15,"1",,70,99,,45,10.1080/09296170701794286,"https://www.scopus.com/inward/record.url?eid=2-s2.0-40249117058&partnerID=40&md5=0a75dd519a6784bf236369f45839c705",Article,Final,,Scopus,2-s2.0-40249117058
"Mead, H.","57159406700","T.E. Hulme, Bergson, and the New Philosophy",2008,"European Journal of English Studies",12,"3",,245,260,,1,10.1080/13825570802420925,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84960121493&partnerID=40&md5=5faa4b6f271f2301ad0f29aa5b2d6129",Article,Final,,Scopus,2-s2.0-84960121493
"Marsh, A.","26033927900","Counterfeit Kulchur",2008,"European Journal of English Studies",12,"3",,261,276,,,10.1080/13825570802420909,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84960110594&partnerID=40&md5=e8df5d5a4108a0615dac78fbea1098fa",Article,Final,,Scopus,2-s2.0-84960110594
"Bontila, R.","57160062100","Lolita's Take on History",2008,"European Journal of English Studies",12,"3",,277,289,,,10.1080/13825570802420891,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84960095445&partnerID=40&md5=7db1ac98f63b2aba7cc09caaacca116e",Article,Final,,Scopus,2-s2.0-84960095445
"Aji, H., Dennis, H.M.","8452718500; 56579182800","Reading the Modernist Past",2008,"European Journal of English Studies",12,"3",,227,230,,,10.1080/13825570802420933,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84960090893&partnerID=40&md5=866cc33a26c913ce2547aaa8f4c33ea4",Article,Final,,Scopus,2-s2.0-84960090893
"Bernard, C.","56247108300","Thinking Against the Grain",2008,"European Journal of English Studies",12,"3",,231,243,,1,10.1080/13825570802420883,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84960075725&partnerID=40&md5=26e1607bd26a872f9fe9dff345ec81a5",Article,Final,,Scopus,2-s2.0-84960075725
"Sánchez-Pardo, E.","36816411700","Decline and Regeneration in Modernist (Hi)Stories",2008,"European Journal of English Studies",12,"3",,291,305,,1,10.1080/13825570802420917,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84948173930&partnerID=40&md5=0efba462a59cb1fdd06b0933c6d515c7",Article,Final,,Scopus,2-s2.0-84948173930
"Reynolds, M.","56051907800","On judging the Oxford-Weidenfeld translation prize",2008,"Translation and Literature",17,"1",,65,69,,,10.3366/E096813610800006X,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84893184555&partnerID=40&md5=3659b9b946cffdaf631b5c1ed59e0e91",Article,Final,,Scopus,2-s2.0-84893184555
"Looby, R.","55807622000","Looking for the censor in the works of sean O'Casey (and others) in Polish translation",2008,"Translation and Literature",17,"1",,47,64,,4,10.3366/E0968136108000058,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84893175691&partnerID=40&md5=03599af6fae93e3ad8f1ca1765649a2d",Article,Final,,Scopus,2-s2.0-84893175691
