ArticleID,name,coder_1,coder_2,easy_screen,answer
140ff9b3,Replication,,There is no clear statement that the article reports a replication study (or studies),,
140ff9b3,CountryAuthor,,USA,,
140ff9b3,EmpiricalStudyData,,Observational study,,
09a75114,ArticleLanguage,,English,,
09a75114,JIF,,NA,,
09a75114,StudyType,,Empirical data (specify the study type in the next step),,
09a75114,PreReg,,"No, there is no preregistration. (GO TO SECTION 4)",,
09a75114,RawData,,Text file,,
09a75114,RawDataAvl,,"No, raw data are not available.  (GO TO SECTION 4.6)",,
09a75114,ProcessData,,"No, processed data are not available. (GO TO SECTION 5)",,
09a75114,AnalysisScript,,"No, analysis scripts are not available. (GO TO SECTION 6)",,
09a75114,Materials,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,
09a75114,COI,,"No, there is no conflict of interest statement",,
09a75114,Replication,,There is no clear statement that the article reports a replication study (or studies),,
09a75114,CountryAuthor,,USA,,
09a75114,EmpiricalStudyData,,Experimental study,,
3ed5f9b7,JIFYear,2020.0,,,
4c82f2bc,ArticleLanguage,,Universal,,
4c82f2bc,JIF,,NA,,
4c82f2bc,StudyType,,Empirical data (specify the study type in the next step),,
4c82f2bc,PreReg,,"No, there is no preregistration. (GO TO SECTION 4)",,
4c82f2bc,RawData,,Audio,,
4c82f2bc,RawDataAvl,,"No, raw data are not available.  (GO TO SECTION 4.6)",,
4c82f2bc,ProcessData,,"No, processed data are not available. (GO TO SECTION 5)",,
4c82f2bc,AnalysisScript,,"No, analysis scripts are not available. (GO TO SECTION 6)",,
4c82f2bc,Materials,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,
4c82f2bc,COI,,"No, there is no conflict of interest statement",,
4c82f2bc,Replication,,There is no clear statement that the article reports a replication study (or studies),,
4c82f2bc,CountryAuthor,,USA,,
4c82f2bc,EmpiricalStudyData,,Survey or interview,,
8c013c3c,EmpiricalStudyData,Meta-analysis,,,
1bbe2aee,RawDataWhere,,Available from a third party,,
1bbe2aee,RawDataAccess,,Can't find,,
1bbe2aee,RawDataDocument,,Unclear,,
1bbe2aee,JIFYear,2020.0,,,
d3efc028,JIFYear,2019.0,,,
5ff4ba27,RawDataWhere,,Statement sats that the data will be available in the future when database is completed,,
5ff4ba27,RawDataAccess,,Statement sats that the data will be available in the future when database is completed,,
5ff4ba27,RawDataDocument,,Unclear,,
5ff4ba27,ProcessDataWhere,,Statement sats that the data will be available in the future when database is completed,,
5ff4ba27,ProcessDataAccess,,Statement sats that the data will be available in the future when database is completed,,
5ff4ba27,ProcessDataDocument,,Unclear,,
30e21b3b,JIFYear,,2014.0,,
2bfa9134,ProcessDataWhere,Upon request from the authors,,,
2bfa9134,ProcessDataAccess,No,,,
2bfa9134,ProcessDataDocument,Unclear,,,
2bfa9134,AnalysisScriptWhere,Unclear,,,
2bfa9134,AnalysisScriptAccess,No,,,
2bfa9134,JIFYear,,2010.0,,
5918a6d7,JIFYear,,2015.0,,
f2e8b410,JIFYear,,2010.0,,
1d708c07,RawDataWhere,Unclear,,,
1d708c07,RawDataAccess,No,,,
1d708c07,RawDataDocument,Unclear,,,
1d708c07,JIFYear,,2008.0,,
2a8c4cf5,JIFYear,2017.0,,,
4f6001c2,MaterialsWhere,,Some available through a third party,,
4f6001c2,MaterialsAccess,,No,,
4f6001c2,JIFYear,2019.0,,,
5e0d1073,JIFYear,2020.0,,,
b192ec7e,ArticleLanguage,,English,,
b192ec7e,JIF,,0.32,,
b192ec7e,StudyType,,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,
b192ec7e,COI,,"No, there is no conflict of interest statement",,
b192ec7e,CountryAuthor,,USA,,
b192ec7e,JIFYear,,2009.0,,
58049d3a,JIFYear,,2008.0,,
b4634b48,PreReg,"No, there is no preregistration. (GO TO SECTION 4)",,,
b4634b48,RawData,"Text file, individual examples in article >> text files?",,,
b4634b48,RawDataAvl,"Yes, the statement says that the raw data are available.",,,
b4634b48,RawDataWhere,raw data are available as individual examples in the article,,,
b4634b48,RawDataAccess,No,,,
b4634b48,RawDataDocument,Unclear,,,
b4634b48,ProcessData,"No, processed data are not available. (GO TO SECTION 5)",,,
b4634b48,AnalysisScript,"No, analysis scripts are not available. (GO TO SECTION 6)",,,
b4634b48,Materials,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,
b4634b48,Replication,There is no clear statement that the article reports a replication study (or studies),,,
b4634b48,EmpiricalStudyData,Field study or language description,,,
548f6c5a,JIFYear,2019.0,,,
8776f3ff,ArticleLanguage,"Brazilian, English",,,
8776f3ff,JIF,1.596,,,
8776f3ff,StudyType,Empirical data (specify the study type in the next step),,,
8776f3ff,PreReg,"No, there is no preregistration. (GO TO SECTION 4)",,,
8776f3ff,RawData,Text file,,,
8776f3ff,RawDataAvl,"No, raw data are not available.  (GO TO SECTION 4.6)",,,
8776f3ff,ProcessData,"No, processed data are not available. (GO TO SECTION 5)",,,
8776f3ff,AnalysisScript,"No, analysis scripts are not available. (GO TO SECTION 6)",,,
8776f3ff,Materials,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,
8776f3ff,COI,"No, there is no conflict of interest statement",,,
8776f3ff,Replication,There is no clear statement that the article reports a replication study (or studies),,,
8776f3ff,CountryAuthor,Canada,,,
8776f3ff,EmpiricalStudyData,Observational study,,,
8776f3ff,JIFYear,2021.0,,,
b0e7d5b3,ArticleLanguage,,English,,
b0e7d5b3,JIF,,NA,,
b0e7d5b3,StudyType,,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,
b0e7d5b3,COI,,"No, there is no conflict of interest statement",,
b0e7d5b3,CountryAuthor,,USA,,
dc9bcac8,JIFYear,,2014.0,,
15561653,ArticleLanguage,,English,,
15561653,JIF,,NA,,
15561653,StudyType,,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,
15561653,COI,,"No, there is no conflict of interest statement",,
15561653,CountryAuthor,,Netherlands,,
001719cf,RawDataWhere,,Available from a third party,,
001719cf,RawDataAccess,,No,,
001719cf,RawDataDocument,,No,,
001719cf,JIFYear,,2018.0,,
ec834df1,RawDataWhere,,Link to one corpus,,
ec834df1,RawDataAccess,,No,,
ec834df1,RawDataDocument,,Unclear,,
ec834df1,MaterialsWhere,,Available from a third party,,
ec834df1,MaterialsAccess,,No,,
914047d6,MaterialsWhere,"No, link provided is broken",,,
914047d6,MaterialsAccess,No,,,
914047d6,JIFYear,,2019.0,,
fd5b7ec5,JIFYear,,2017.0,,
a4895415,JIFYear,,2019.0,,
a584e7b1,JIFYear,,NA,,
1deba029,MaterialsWhere,,Some available in the appendix,,
1deba029,MaterialsAccess,,Yes,,
9555e6f3,JIFYear,,2018.0,,
93d54a22,MaterialsWhere,,Supplementary materials hosted by the journal,,
93d54a22,MaterialsAccess,,Yes,,
93d54a22,JIFYear,,2022.0,,
7da82b85,RawDataWhere,,"Corpus cited, other data not available",,
7da82b85,RawDataAccess,,No,,
7da82b85,RawDataDocument,,Unclear,,
7da82b85,MaterialsWhere,,Some available in appendix,,
7da82b85,MaterialsAccess,,Yes,,
4d8c4194,JIFYear,,2018.0,,
030a348b,ArticleLanguage,universal,,,
030a348b,JIF,NA,,,
030a348b,StudyType,Empirical data (specify the study type in the next step),,,
030a348b,PreReg,"No, there is no preregistration. (GO TO SECTION 4)",,,
030a348b,RawData,Text file,,,
030a348b,RawDataAvl,"No, raw data are not available.  (GO TO SECTION 4.6)",,,
030a348b,ProcessData,"No, processed data are not available. (GO TO SECTION 5)",,,
030a348b,AnalysisScript,"No, analysis scripts are not available. (GO TO SECTION 6)",,,
030a348b,Materials,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,
030a348b,COI,"No, there is no conflict of interest statement",,,
030a348b,Replication,There is no clear statement that the article reports a replication study (or studies),,,
030a348b,CountryAuthor,Canada,,,
030a348b,EmpiricalStudyData,Observational study,,,
370493ca,JIFYear,,2019.0,,
259ca9da,MaterialsWhere,,Some available through a third party,,
259ca9da,MaterialsAccess,,No,,
d3c6c187,MaterialsWhere,,Dead link to the test application,,
d3c6c187,MaterialsAccess,,No,,
d3c6c187,JIFYear,,NA,,
ceb0e434,JIFYear,,2017.0,,
659126a2,JIFYear,,2018.0,,
91c8d5b5,ArticleLanguage,,"English, Spanish",,
91c8d5b5,JIF,,0.132,,
91c8d5b5,StudyType,,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,
91c8d5b5,COI,,"No, there is no conflict of interest statement",,
91c8d5b5,CountryAuthor,,Spain,,
91c8d5b5,JIFYear,,2011.0,,
3d3e175d,ProcessData,,"No, processed data are not available. (GO TO SECTION 5)",,
2a118a86,RawDataWhere,,Available from a third party,,
2a118a86,RawDataAccess,,No,,
2a118a86,RawDataDocument,,Unclear,,
2a118a86,ProcessData,,"No, processed data are not available. (GO TO SECTION 5)",,
ca78d5c0,ProcessData,,"No, processed data are not available. (GO TO SECTION 5)",,
ca78d5c0,JIFYear,,2009.0,,
4626f7e3,ProcessData,,"No, processed data are not available. (GO TO SECTION 5)",,
4626f7e3,JIFYear,,2009.0,,
902a08b1,ProcessData,,"No, processed data are not available. (GO TO SECTION 5)",,
902a08b1,JIFYear,,2014.0,,
c7fc9c27,ProcessData,,"No, processed data are not available. (GO TO SECTION 5)",,
5b30f988,JIFYear,,2014.0,,
a265d9b5,MaterialsWhere,"Some materials from a third party, some unavailable",,,
a265d9b5,MaterialsAccess,No,,,
98963718,JIFYear,,2019.0,,
87700a27,EmpiricalStudyData,,Experimental study,,
87700a27,JIFYear,,NA,,
4918b08b,ArticleLanguage,Chinese,,,
4918b08b,JIF,NO ACCESS,,,
4918b08b,StudyType,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,
4918b08b,COI,"No, there is no conflict of interest statement",,,
4918b08b,CountryAuthor,Canada,,,
8183a3b8,ArticleLanguage,Spanish,,,
8183a3b8,JIF,NO ACCESS,,,
8183a3b8,StudyType,Empirical data (specify the study type in the next step),,,
8183a3b8,PreReg,"No, there is no preregistration. (GO TO SECTION 4)",,,
8183a3b8,RawData,Text file,,,
8183a3b8,RawDataAvl,"No, raw data are not available.  (GO TO SECTION 4.6)",,,
8183a3b8,ProcessData,"No, processed data are not available. (GO TO SECTION 5)",,,
8183a3b8,AnalysisScript,"No, analysis scripts are not available. (GO TO SECTION 6)",,,
8183a3b8,Materials,"Yes, materials or additional information about the method are freely available",,,
8183a3b8,MaterialsWhere,"An online, third-party repository (e.g. OSF, GitHub, FigShare, etc.)",,,
8183a3b8,MaterialsAccess,No,,,
8183a3b8,COI,"No, there is no conflict of interest statement",,,
8183a3b8,Replication,There is no clear statement that the article reports a replication study (or studies),,,
8183a3b8,CountryAuthor,USA,,,
8183a3b8,EmpiricalStudyData,"Survey or interview, Intervention study",,,
6e7fcfb0,JIFYear,2010.0,,,
1a481136,JIFYear,2010.0,,,
51173c44,JIFYear,2011.0,,,
38c5c978,PreReg,"No, there is no preregistration. (GO TO SECTION 4)",,,
38c5c978,RawData,Text file,,,
38c5c978,RawDataAvl,"No, raw data are not available.  (GO TO SECTION 4.6)",,,
38c5c978,ProcessData,"No, processed data are not available. (GO TO SECTION 5)",,,
38c5c978,AnalysisScript,"No, analysis scripts are not available. (GO TO SECTION 6)",,,
38c5c978,Materials,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,
38c5c978,Replication,There is no clear statement that the article reports a replication study (or studies),,,
38c5c978,EmpiricalStudyData,Survey or interview,,,
34bd38f5,MaterialsWhere,,Available from a third party,,
34bd38f5,MaterialsAccess,,No,,
8328c7d1,ArticleLanguage,English,,,
8328c7d1,JIF,0.64,,,
8328c7d1,StudyType,Empirical data (specify the study type in the next step),,,
8328c7d1,PreReg,"No, there is no preregistration. (GO TO SECTION 4)",,,
8328c7d1,RawData,Text file,,,
8328c7d1,RawDataAvl,"No, raw data are not available.  (GO TO SECTION 4.6)",,,
8328c7d1,ProcessData,"No, processed data are not available. (GO TO SECTION 5)",,,
8328c7d1,AnalysisScript,"No, analysis scripts are not available. (GO TO SECTION 6)",,,
8328c7d1,Materials,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,
8328c7d1,COI,"No, there is no conflict of interest statement",,,
8328c7d1,Replication,There is no clear statement that the article reports a replication study (or studies),,,
8328c7d1,CountryAuthor,USA,,,
8328c7d1,EmpiricalStudyData,Survey or interview,,,
8328c7d1,JIFYear,2019.0,,,
a1d6bec3,ArticleLanguage,universal,,,
a1d6bec3,JIF,NA,,,
a1d6bec3,StudyType,Empirical data (specify the study type in the next step),,,
a1d6bec3,PreReg,"No, there is no preregistration. (GO TO SECTION 4)",,,
a1d6bec3,RawData,"Text file, Audio",,,
a1d6bec3,RawDataAvl,"No, raw data are not available.  (GO TO SECTION 4.6)",,,
a1d6bec3,ProcessData,"No, processed data are not available. (GO TO SECTION 5)",,,
a1d6bec3,AnalysisScript,"No, analysis scripts are not available. (GO TO SECTION 6)",,,
a1d6bec3,Materials,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,
a1d6bec3,COI,"No, there is no conflict of interest statement",,,
a1d6bec3,Replication,There is no clear statement that the article reports a replication study (or studies),,,
a1d6bec3,CountryAuthor,Turkey,,,
a1d6bec3,EmpiricalStudyData,Survey or interview,,,
04a09446,JIFYear,,2018.0,,
584bac7f,MaterialsWhere,Available from a third party,,,
584bac7f,MaterialsAccess,No,,,
836dc5fa,RawDataWhere,Available from a third party,,,
836dc5fa,RawDataAccess,No,,,
836dc5fa,RawDataDocument,Unclear,,,
836dc5fa,JIFYear,,2019.0,,
e36ab195,JIFYear,,2019.0,,
cd4622f8,PreReg,,"No, there is no preregistration. (GO TO SECTION 4)",,
cd4622f8,RawData,,Text file,,
cd4622f8,RawDataAvl,,"No, raw data are not available.  (GO TO SECTION 4.6)",,
cd4622f8,ProcessData,,"No, processed data are not available. (GO TO SECTION 5)",,
cd4622f8,AnalysisScript,,"No, analysis scripts are not available. (GO TO SECTION 6)",,
cd4622f8,Materials,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,
cd4622f8,Replication,,There is no clear statement that the article reports a replication study (or studies),,
cd4622f8,EmpiricalStudyData,,observational study,,
cd4622f8,JIFYear,,2008.0,,
47b9d84d,JIFYear,,2015.0,,
d3ebac3a,JIFYear,,2018.0,,
5408749b,JIFYear,,2019.0,,
239b8bc4,ArticleIssues,There are no issues,,,
239b8bc4,ArticleLanguage,"Chinese, Portuguese, English",,,FALSE
239b8bc4,JIF,0.03,,,FALSE
239b8bc4,StudyType,Empirical data (specify the study type in the next step),,,
239b8bc4,PreReg,"No, there is no preregistration. (GO TO SECTION 4)",,,
239b8bc4,RawData,Text file,,,
239b8bc4,RawDataAvl,"No, raw data are not available.  (GO TO SECTION 4.6)",,,
239b8bc4,ProcessData,"No, processed data are not available. (GO TO SECTION 5)",,,
239b8bc4,AnalysisScript,"No, analysis scripts are not available. (GO TO SECTION 6)",,,
239b8bc4,Materials,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,
239b8bc4,COI,"No, there is no conflict of interest statement",,,
239b8bc4,Replication,There is no clear statement that the article reports a replication study (or studies),,,
239b8bc4,CountryAuthor,China,,,
239b8bc4,EmpiricalStudyData,Typological study,,,TRUE
239b8bc4,JIFYear,2014.0,,,
