JIF,JIFYear,ArticleID,Source.title,Year
0.067,,4e6a7a61,Indogermanische Forschungen,2009
0.413,2008.0,a73edc22,Language Sciences,2008
0.76,2011.0,1b0ce6e9,International Journal of Corpus Linguistics,2008
0.19,2008.0,789cce23,Interpreter and Translator Trainer,2009
1.7,2008.0,a337bf1b,Language Learning and Technology,2008
2.347,2009.0,4e4a74ea,"Journal of Speech, Language, and Hearing Research",2009
0.417,2010.0,0e08def6,Canadian Modern Language Review,2009
0.476,2009.0,70354c5f,Folia Linguistica,2009
1.196,2009.0,005d3923,Speech Communication,2009
0.622,2011.0,96498326,Language Teaching,2008
,NA,77ea3a66,English Linguistics,2009
,,c93704ca,DELTA Documentacao de Estudos em Linguistica Teorica e Aplicada,2008
1.0,2008.0,b24d8f61,Metaphor and Symbol,2008
,NA,3c3dc7c3,Transactions of the Philological Society,2009
0.711,2008.0,0fba09d1,Language Teaching Research,2008
5.747,2019.0,9586644,Artificial Intelligence Review,2019
,NA,f9a2d810,ELOPE: English Language Overseas Perspectives and Enquiries,2019
,NA,5fb1aadd,inTRAlinea,2018
2.444,2018.0,8e62c0dd,"Language, Cognition and Neuroscience",2018
0.769,2019.0,760ff74a,Linguistic Typology,2019
,,e5abf7f0,Language and Intercultural Communication,2018
1.93,2019.0,5d889cb8,Linguistic Approaches to Bilingualism,2019
0.677,2019.0,dd190482,Journal of Psycholinguistic Research,2019
1.463,2017.0,da673183,International Journal of Bilingualism,2018
1.893,2019.0,85395d45,Journal of English for Academic Purposes,2019
,,8cb4290e,Public Relations Inquiry,2019
,,918dde75,System,2019
,NA,0ee9f197,Journal of Asia TEFL,2018
,NA,be2e4027,Fachsprache,2019
,,084a026d,Asian EFL Journal,2018
,,f9011640,Language and Cognitive Processes,2009
,,fa06ff37,Journal of Early Modern Studies,2019
,,1c630356,Children's Literature in Education,2018
,,7bfff2dd,Journal of Language and Politics,2018
,NA,3598d9e8,Reading and Writing (South Africa),2019
0.377,2018.0,e64c46ed,Southern African Linguistics and Applied Language Studies,2018
,NA,95e2b224,Transactions of the Philological Society,2019
1.741,2016.0,096bc6a0,Language Teaching Research,2018
0.963,2018.0,02741b0b,Lingua,2018
,NA,481c4788,Jezikoslovlje,2018
1.233,2017.0,adb83706,Journal of Language and Social Psychology,2018
0.263,2018.0,730a2ad1,Circulo de Linguistica Aplicada a la Comunicacion,2018
,NA,c80c7d95,Teanga,2018
,,5e35ef20,Study Abroad Research in Second Language Acquisition and International Education,2019
,,b0cecb39,Language and Literature,2019
5.747,2019.0,fde4cf0e,Artificial Intelligence Review,2019
,NA,88fe1acb,Asian-Pacific Journal of Second and Foreign Language Education,2018
1.311,2019.0,c55bef99,Reading Teacher,2019
,,ff2483c9,Linguistics Journal,2019
0.846,2019.0,5c31bef1,Language Awareness,2019
,,642de1f3,Speech Communication,2018
1.014,2018.0,81d11c4d,Journal of Language and Social Psychology,2019
,NA,b1407c08,Journal of Research in Applied Linguistics,2019
0.5,2019.0,0d859c02,English Language and Linguistics,2019
1.315,2019.0,9b194f85,Journal of Communication Disorders,2019
3.762,2019.0,1d651e5b,Modern Language Journal,2018
0.64,2019.0,2f1b28e7,Journal of East Asian Linguistics,2019
,,a2160d42,European Journal of Humour Research,2019
1.538,2018.0,fc2c16ca,"Language, Speech, and Hearing Services in Schools",2018
,NA,8a7c985c,Theory and Practice of Second Language Acquisition,2019
,,ac4ee2fb,Journal of Language and Politics,2008
0.95,2011.0,dcc5034a,ReCALL,2008
0.69,2007.0,907382bd,Speech Communication,2008
0.4,2020.0,c86ce509,Meta,2009
,,9e6b6a1a,L1 Educational Studies in Language and Literature,2008
0.798,2009.0,b462cff9,Journal of Pragmatics,2009
0.404,2010.0,250a51b7,Journal of Multilingual and Multicultural Development,2009
0.547,2009.0,a1e6e720,Lingua,2009
0.56,2020.0,b6d74041,Studies in Philology,2008
0.273,2014.0,cbe665d3,Linguistic Typology,2008
0.273,2010.0,d81e130b,Journal of French Language Studies,2008
0.273,2010.0,5c1a61ff,Journal of French Language Studies,2009
1.038,2008.0,27c6a391,Journal of Second Language Writing,2008
1.525,2009.0,a7e24b5d,Journal of Phonetics,2009
1.22,2020.0,39ada745,Catalan Journal of Linguistics,2008
0.29,2020.0,d5e813de,International Journal of Speech Technology,2008
0.537,2008.0,ab8171c9,Linguistics and Philosophy,2008
0.955,2008.0,484788f3,Aphasiology,2008
2.13,2008.0,183f2e7a,Applied Psycholinguistics,2008
,,50d10f60,Child Language Teaching and Therapy,2008
1.4,2008.0,68eef7a5,First Language,2008
1.452,2008.0,3b39a4d2,Journal of Communication Disorders,2008
,NA,5edbdaa9,Bilingual Research Journal,2009
0.8,,4419bc62,Journal of Pragmatics,2008
1.66,,d256d617,Journal of Neurolinguistics,2009
1.217,,6f4dc53a,Metaphor and Symbol,2009
,,18902ff9,"Journal of Speech, Language, and Hearing Research",2009
,,0c7f90e8,Porta Linguarum,2008
,,2dfe0da0,Written Language and Literacy,2009
,,3313a18a,Lingua,2009
0.378,2009.0,9a30d00d,Foreign Language Annals,2009
,,3c3541e8,Quarterly Journal of Speech,2008
0.375,2008.0,c29210ec,Journal of East Asian Linguistics,2008
0.738,2008.0,adcd88ca,Language and Communication,2008
0.823,2009.0,d9c7a6c3,Reading and Writing,2009
0.74,2008.0,1ef12aea,English for Specific Purposes,2008
0.677,2011.0,bb21b84d,ELT Journal,2008
0.229,2009.0,fda28461,Journal of Language and Politics,2008
0.382,2010.0,c88d4a27,Multilingua,2008
0.798,2009.0,b74fef4b,Journal of Pragmatics,2009
,,bd6141be,"Language, Speech, and Hearing Services in Schools",2009
1.04,2010.0,543e2ef3,Journal of English Linguistics,2009
0.966,2009.0,eac0c983,Artificial Intelligence,2008
0.881,2019.0,efed3434,Interpreter and Translator Trainer,2019
0.798,2009.0,377b96b2,Journal of Pragmatics,2009
2.178,2021.0,bf5f9a93,Second Language Research,2019
0.677,2011.0,151a6fa0,ELT Journal,2009
,NA,86897574,International Journal of the Sociology of Language,2008
,NA,c8dfbf73,TESOL Journal,2019
,NA,d0cac14b,Altorientalische Forschungen,2018
,NA,c662cb90,Dictionaries,2019
,,4937a608,Asian Englishes,2019
0.934,2018.0,cec3cc40,Reading and Writing Quarterly,2018
1.289,2019.0,9f5836ec,Linguistics and Education,2019
0.798,2009.0,35147373,Journal of Pragmatics,2009
1.942,2018.0,c4d31be7,Reading and Writing,2018
1.238,2009.0,e47bb3c0,Applied Psycholinguistics,2009
1.899,2018.0,a81616b9,Language,2018
,,77d397e2,International Journal of Bilingual Education and Bilingualism,2019
0.583,2008.0,1dd7221d,Clinical Linguistics and Phonetics,2008
1.417,2019.0,bc2d270c,Speech Communication,2019
,NA,678bb87b,Neophilologus,2018
,NA,2dc5d8a0,Italian Journal of Linguistics,2018
0.756,2010.0,82e85e07,Language Testing,2008
,NA,fb7f587c,Journal of Historical Linguistics,2018
0.84,2010.0,23b1e110,Natural Language Semantics,2008
,,22be090d,"Journal of Speech, Language, and Hearing Research",2008
0.756,2010.0,30fb3579,Language Testing,2009
1.201,2008.0,a2c35590,International Journal of Audiology,2008
1.341,2009.0,0ddaefdf,Language in Society,2009
,,dee94dec,NOWELE,2008
0.6,2010.0,30fa4e50,Corpus Linguistics and Linguistic Theory,2008
1.58,2020.0,5ba83feb,Morphology,2008
0.8,2008.0,44a75265,Journal of Pragmatics,2008
1.596,2020.0,578b9ded,RELC Journal,2009
,NA,4c18d71e,Studia Anglica Posnaniensia,2009
,,140ff9b3,"TTR: Traduction, Terminologie et Redaction",2009
,,3ebf4add,Current Issues in Language Planning,2009
,NA,7246c90d,"Language, Speech, and Hearing Services in Schools",2009
0.24,2015.0,ed2d44c4,Historiographia Linguistica,2009
0.441,2010.0,e57b8761,Language and Intercultural Communication,2009
,,09a75114,Journal of Communication Disorders,2008
0.8,2008.0,405ba197,Journal of Pragmatics,2008
3.271,2008.0,34004670,Journal of Memory and Language,2008
,NA,7ec4eaeb,Language Learning Journal,2018
0.533,2018.0,dac84da4,English Today,2019
2.838,2019.0,455201d7,Studies in Second Language Acquisition,2019
0.647,2019.0,1770de5b,IRAL - International Review of Applied Linguistics in Language Teaching,2019
0.94,2020.0,3ed5f9b7,Bilingual Research Journal,2019
,,4c82f2bc,Linguistics and Education,2019
,NA,5149062c,Ampersand,2019
2.462,2018.0,8c013c3c,Journal of Phonetics,2018
1.039,2017.0,bfd89fc9,Journal of Pragmatics,2018
1.147,2018.0,1bd48d3f,Language Acquisition,2018
0.29,2020.0,1bbe2aee,International Journal of Speech Technology,2018
0.327,2019.0,d3efc028,Southern African Linguistics and Applied Language Studies,2019
1.893,2019.0,e6612cb3,Journal of English for Academic Purposes,2019
0.769,2019.0,a9eca9d5,Linguistic Typology,2019
0.91,2020.0,5ff4ba27,Journal of Greek Linguistics,2018
,NA,7ced3d88,Research in Language,2018
,NA,b77ff4cf,"Journal of Speech, Language, and Hearing Research",2019
,,549cdf01,Linguistics Journal,2019
0.22,2020.0,429582a1,Sociolinguistic Studies,2018
0.413,2018.0,5977089a,American Speech,2018
0.86,2020.0,4166b232,Language and Dialogue,2018
,,65ff6c8c,Cognition,2008
,,565d8b79,Poznan Studies in Contemporary Linguistics,2008
,,fec5f16c,Second Language Research,2008
,,6d003942,Lingua Posnaniensis,2009
,,30e21b3b,"Journal of Speech, Language, and Hearing Research",2008
,,304d415e,Spanish in Context,2009
,,ec9e35a3,Discourse and Society,2009
,,2bfa9134,Applied Psycholinguistics,2009
,,2745bc94,Lingua,2009
,,5918a6d7,"Journal of Logic, Language and Information",2008
,,dc41ee86,Journal of Second Language Writing,2009
,,5ff87b79,Journal of Fluency Disorders,2008
,,9e468617,Cognition,2009
,,fcd73116,Journal of Sociolinguistics,2008
,,2c6891cf,TESOL Quarterly,2008
,,9d800b73,"3L: Language, Linguistics, Literature",2008
,,e511ad4e,Cognition,2008
,,5d2ff4a3,Aphasiology,2009
,,0617bbb8,Oceanic Linguistics,2009
,,f2e8b410,Language and Education,2009
,,1d708c07,Cognition,2008
,,f0c0bed9,Studies in Language,2008
0.544,2018.0,eefe5c4d,Folia Phoniatrica et Logopaedica,2018
0.54,2020.0,0f09a41a,Corpora,2019
0.79,2020.0,fb5cb873,Asian Englishes,2018
0.89,2020.0,40ab556a,GEMA Online Journal of Language Studies,2018
2.13,2018.0,1ff49fa5,Computational Linguistics,2018
1.66,2018.0,1be96eb9,Mind and Language,2018
1.93,2018.0,b3d97c6b,System,2018
0.9,2019.0,e225faa8,Current Issues in Language Planning,2019
,NA,19d39f5f,"Language, Speech, and Hearing Services in Schools",2019
3.408,2019.0,c52c0403,Language Learning,2019
1.93,2018.0,29e6fb91,System,2018
,NA,46fb6dde,CALL-EJ,2019
1.2,2017.0,2a8c4cf5,Corpus Linguistics and Linguistic Theory,2019
,,482af7c9,Children's Literature in Education,2019
,,62af86d5,Journal of Celtic Linguistics,2008
,,ef694826,Speech Communication,2009
,,9d93dbbf,Studia Anglica Posnaniensia,2009
0.838,2019.0,4f6001c2,Reading and Writing Quarterly,2019
1.445,2019.0,b58a40bf,Reading and Writing,2019
1.942,2018.0,e7c4f6e9,Reading and Writing,2018
0.72,2018.0,92d9c5b3,Communication Disorders Quarterly,2018
1.63,2020.0,35a111fa,Russian Journal of Linguistics,2018
,,e71f9172,Journal of Memory and Language,2008
,,c3a7784a,International Journal of Language and Communication Disorders,2009
,,fcec4fcc,Italian Journal of Linguistics,2008
0.11,2020.0,33442876,Jezikoslovlje,2018
,,bc9c82ba,Reading Teacher,2018
0.3,2020.0,5e0d1073,Glottometrics,2019
0.489,2018.0,f8851df6,Lexikos,2018
0.775,2019.0,2ac1a9a4,Phonology,2019
1105.0,2010.0,63eb8491,System,2009
,,b192ec7e,Research in the Teaching of English,2008
,,693a0b10,Linguistica Uralica,2008
2.347,,7dccf3fb,"Journal of Speech, Language, and Hearing Research",2009
3.344,,67de56e6,Journal of Experimental Psychology: Learning Memory and Cognition,2009
,,787d901e,Topics in Language Disorders,2008
0.543,,58049d3a,Journal of Language and Social Psychology,2008
0.9,2010.0,f0df89c3,Computer Assisted Language Learning,2008
0.942,,12670d7b,TESOL Quarterly,2009
,,39f7fee7,Anthropological Linguistics,2009
0.934,2010.0,66233d34,World Englishes,2009
0.333,,be6d12b4,Journal of Pidgin and Creole Languages,2008
0.053,2010.0,b4634b48,Linguistica Uralica,2008
,,6cbe809e,Interpreter and Translator Trainer,2009
,,90f11384,Discourse and Communication,2008
,,0b46a075,Language and Education,2009
2.462,2018.0,c3dfba24,Journal of Phonetics,2018
1.292,2019.0,548f6c5a,Language and Intercultural Communication,2019
1.329,2018.0,0c65cdd8,Journal of Pragmatics,2018
1.899,2018.0,8fe7b38b,Language,2019
,NA,204d833e,Philologia Estonica Tallinnensis,2018
,NA,72ce5267,Dilbilim Arastirmalari Dergisi,2019
1.733,2019.0,bc5e5b11,International Journal of Speech-Language Pathology,2019
1.596,2021.0,8776f3ff,RELC Journal,2018
,NA,61c86948,XLinguae,2018
,,0caa1667,Journal of Literacy Research,2019
1.661,2018.0,7c4201d9,Speech Communication,2018
2.6,2018.0,7964bf9b,Studies in Second Language Acquisition,2018
,,b0e7d5b3,Reading Teacher,2019
0.4,2020.0,9f0d125b,Journal of Asia TEFL,2018
1.516,2018.0,81fba1e6,Linguistics and Education,2018
,,5992ac31,Foreign Language Annals,2008
,,dc9bcac8,Brain and Language,2008
,,f8b1fd03,Brain and Language,2008
,,e9f25eb9,Journal of Pragmatics,2008
,,38560d37,Intercultural Pragmatics,2008
,,e6592272,TESOL Quarterly,2009
,,158348bf,Lingua Posnaniensis,2009
,,7726ca7b,Bilingualism,2009
,,e0b19c7e,"Mind, Culture, and Activity",2008
,,ddac6f5a,Journal of Child Language,2008
,,0346337d,Computer Assisted Language Learning,2009
,,7f67e37f,Aphasiology,2009
,,756da72f,Language and Speech,2009
,,53780209,Journal of Chinese Linguistics,2008
,,e4f158dd,Language Acquisition,2009
,,15561653,Neuphilologische Mitteilungen,2009
,,bc9ff2b4,Communication Education,2008
,,0ed96ed5,Language Sciences,2009
,,4ef2213a,Linguistics and Language Compass,2008
,,6881ecbb,Journal of Memory and Language,2009
,,ce8b0bce,Language and Cognitive Processes,2008
,,f03d8e7d,Languages in Contrast,2018
,,c103fcfd,American Journal of Speech-Language Pathology,2018
,,001719cf,Languages in Contrast,2019
,,beb8095c,International Journal of Bilingualism,2019
,,d28ff3d4,Journal of Phonetics,2019
,,ec834df1,Across Languages and Cultures,2019
,,405643c5,International Journal of the Sociology of Language,2018
,,914047d6,Journal of Phonetics,2019
,,fd064e7e,Studia Linguistica Universitatis Iagellonicae Cracoviensis,2019
,,aa9e6e2d,Jazykovedny Casopis,2019
,,fd5b7ec5,"Language, Cognition and Neuroscience",2019
,,a4895415,Word,2019
,,17af5aa0,Laboratory Phonology,2019
,,4b363385,Journal of Slavic Linguistics,2019
,,cd2842a2,International Journal of Language and Communication Disorders,2018
,,7edbfeaa,Reading and Writing,2019
,,ab11bec5,Machine Translation,2019
,,a584e7b1,Kemanusiaan,2018
,,e6bbb0ac,Language and Speech,2019
,,b0b85ef4,Journal of Child Language,2018
,,e52d9d65,International Journal of English Language and Literature Studies,2019
,,eec1773f,"Journal of Speech, Language, and Hearing Research",2019
,,5b436f6b,Reading and Writing Quarterly,2019
,,4.16E+06,Reading & Writing Quarterly,2019
,,1f3a4a10,Reading and Writing,2018
,,cc8eb677,Reading and Writing,2018
,,1deba029,System,2018
,,98056778,"Language, Cognition and Neuroscience",2018
,,3873eebe,Applied Linguistics,2018
,,746a8f5c,Journal of Pragmatics,2019
,,74a007fe,Brain and Language,2019
,,9555e6f3,Bilingualism,2019
,,8abf1f7e,Computer Assisted Language Learning,2019
,,075880b6,"Journal of Speech, Language, and Hearing Research",2019
,,93d54a22,International Journal of Multilingualism,2019
,,a2a0bf33,Cognition,2018
,,a9a37ce5,Language Variation and Change,2019
,,e9d86699,Journal of Neurolinguistics,2019
,,9d1758b4,Nordic Journal of Linguistics,2018
,,5414370d,Linguistica Pragensia,2018
,,2c915016,Reading Teacher,2018
,,7da82b85,Linguistics,2019
,,4d8c4194,Langage et Societe,2018
,,f2e832a1,Cognition,2019
,,92bf9cce,Open Linguistics,2018
,,8b7664fe,Philologus,2019
,,030a348b,Reading and Writing,2018
,,c6c2b7b5,SKASE Journal of Theoretical Linguistics,2019
,,fff54b79,Journal of Semantics,2018
,,7582c7c8,Journal of Neurolinguistics,2019
,,370493ca,Lingua,2019
,,8c5e2ed3,International Journal of Bilingualism,2019
,,259ca9da,"Journal of Speech, Language, and Hearing Research",2019
,,ff19fa6a,Dictionaries,2018
,,8be9412e,Language Sciences,2018
,,75279ffa,IRAL - International Review of Applied Linguistics in Language Teaching,2019
,,d3c6c187,Communication Sciences and Disorders,2019
,,ceb0e434,Journal of Pragmatics,2018
,,f9ab7d13,Studia Anglica Posnaniensia,2019
,,659126a2,Bilingualism,2019
NO ACCESS,,13e813fe,Brain and Language,2009
NO ACCESS,,3ad32412,Journal of Linguistics,2008
,,91c8d5b5,European Journal of English Studies,2008
NO ACCESS,,beaf7420,"Journal of Logic, Language and Information",2008
NO ACCESS,,2511c577,Lingua,2009
NO ACCESS,,a205f1b7,International Journal of Multilingualism,2009
NO ACCESS,,3d3e175d,Aphasiology,2008
NO ACCESS,,da02c553,Journal of Communication Disorders,2009
NO ACCESS,,27a44cea,Journal of Sociolinguistics,2009
NO ACCESS,,9ae3b180,Natural Language and Linguistic Theory,2008
NO ACCESS,,1993be3f,Theoretical Linguistics,2008
,,d5e7a0e0,Spanish Journal of Psychology,2008
,,45d033d0,Reading Teacher,2008
NO ACCESS,,b1aca576,Speech Communication,2008
NO ACCESS,,3c7447b5,Current Issues in Language Planning,2009
NO ACCESS,,34cf39be,TESOL Quarterly,2009
NO ACCESS,,2a118a86,Psychology of Language and Communication,2008
NO ACCESS,,ca78d5c0,Journal of Neurolinguistics,2009
NO ACCESS,,014c07ed,L1 Educational Studies in Language and Literature,2009
NO ACCESS,,4626f7e3,Brain and Language,2009
,,8170e696,Southern African Linguistics and Applied Language Studies,2009
,,b99b7997,International Journal of Corpus Linguistics,2009
NO ACCESS,,dd55d2ed,Journal of Communication Disorders,2008
NO ACCESS,,227f86a0,RELC Journal,2008
NO ACCESS,,f3d3cffd,Oceanic Linguistics,2008
NO ACCESS,,ef9596c7,Lexikos,2008
NO ACCESS,,016f6343,RELC Journal,2008
NO ACCESS,,c119349f,Gesture,2008
NO ACCESS,,7f3c36a2,Reading and Writing Quarterly,2009
NO ACCESS,,c18386b8,Reading Psychology,2009
,,9316a4ab,Language and Cognitive Processes,2009
NO ACCESS,,0a3fbaf7,Cognitive Linguistics,2008
NO ACCESS,,b96a1a09,Foreign Language Annals,2009
NO ACCESS,,902a08b1,"Journal of Speech, Language, and Hearing Research",2009
NO ACCESS,,342b8288,Aphasiology,2008
NO ACCESS,,c7fc9c27,"Language, Speech, and Hearing Services in Schools",2008
NO ACCESS,,e79c34ad,Language Sciences,2009
NO ACCESS,,193e3857,Discourse Processes,2008
NO ACCESS,,489b17dd,World Englishes,2008
NO ACCESS,,509dc446,English Today,2008
NO ACCESS,,72b23617,Linguistics and Philosophy,2009
NO ACCESS,,9923056,Applied Linguistics,2009
NO ACCESS,,f885aaba,L1 Educational Studies in Language and Literature,2009
NO ACCESS,,8f7973eb,Pragmatics,2008
,,f6af0f9f,Social Semiotics,2008
NO ACCESS,,340aedf8,Language and Speech,2009
NO ACCESS,,cc93f14a,AILA Review,2009
,,8992df83,Western Journal of Communication,2009
NO ACCESS,,239b8bc4,Babel,2009
NO ACCESS,,18efb321,Language Learning,2008
NO ACCESS,,5b30f988,Australian Review of Applied Linguistics,2009
,,bd36726a,Literary and Linguistic Computing,2009
NO ACCESS,,227ae62f,Journal of Language and Politics,2009
NO ACCESS,,342999d9,Language and Cognitive Processes,2009
NO ACCESS,,da25fca0,Journal of English for Academic Purposes,2008
NO ACCESS,,2116a965,Language in Society,2009
NO ACCESS,,c6477a0e,First Language,2008
NO ACCESS,,ff99b829,Journal of Psycholinguistic Research,2008
NO ACCESS,,d6d318db,English Text Construction,2009
,,cf6126a7,Assessing Writing,2008
,,d21775e7,Applied Linguistics,2018
NO ACCESS,,67395332,Studia Anglica Posnaniensia,2018
NO ACCESS,,5.84E+59,"Language, Culture and Curriculum",2019
NO ACCESS,,70a59948,Reading and Writing,2019
,,15e8383d,Language Problems and Language Planning,2019
,,a2127c4e,Research in the Teaching of English,2008
,,3c79ea11,"Journal of Speech, Language, and Hearing Research",2008
,,ce16f889,Text and Talk,2009
,,fdc9d6b4,International Journal of Audiology,2008
NO ACCESS,,82ad5550,Language,2018
,,96c0fe0b,Journal of Chinese Linguistics,2019
NO ACCESS,,b809dff3,First Language,2019
NO ACCESS,,6bcbce4e,Topics in Cognitive Science,2018
NO ACCESS,,358da09b,Language Testing,2018
NO ACCESS,,29ad2132,Electronic Journal of Foreign Language Teaching,2019
,,ae44da3b,Journal of Child Language,2018
NO ACCESS,,27f4ec74,Journal of Visual Languages and Computing,2018
NO ACCESS,,67e696fe,International Journal of American Linguistics,2018
,,eb87300c,Sign Language Studies,2008
,,3935a75c,Sign Language and Linguistics (Online),2009
NO ACCESS,,a5289cd4,Poznan Studies in Contemporary Linguistics,2019
NO ACCESS,,cc8ea0e7,Pragmatics and Society,2018
NO ACCESS,,48d22375,Journal of Communication Disorders,2019
NO ACCESS,,5e185110,American Journal of Speech-Language Pathology,2018
NO ACCESS,,a265d9b5,Applied Psycholinguistics,2019
NO ACCESS,,7958c153,Speech Communication,2018
NO ACCESS,,98963718,Written Language and Literacy,2019
NO ACCESS,,4b662f31,Language Documentation and Conservation,2018
,,cdb33e3b,Aphasiology,2018
,,c1812adb,Biosemiotics,2009
,,d1df7e5e,CALICO Journal,2009
,,a4756719,Journal of Research in Applied Linguistics,2019
,,07641c49,Journal of Child Language,2018
,,69f774ea,ELT Journal,2019
NO ACCESS,,52e2b434,Speech Communication,2018
NO ACCESS,,9114a156,Linguistic Inquiry,2019
NO ACCESS,,7f382de1,Semiotica,2019
NO ACCESS,,20880301,Digital Scholarship in the Humanities,2019
NO ACCESS,,5e69bd2b,Jazykovedny Casopis,2019
NO ACCESS,,db234c5c,Corpus Pragmatics,2018
,,84e9811a,System,2018
NO ACCESS,,1702fc63,Modern Language Journal,2019
NO ACCESS,,87700a27,Asian-Pacific Journal of Second and Foreign Language Education,2018
NO ACCESS,,262119ee,Linguistics and Education,2019
NO ACCESS,,6e498852,Review of Cognitive Linguistics,2018
NO ACCESS,,a8046b54,Slovenski Jezik,2019
NO ACCESS,,cb42972d,System,2019
NO ACCESS,,6704ab0b,Loquens,2019
NO ACCESS,,89f0a10f,Journal of Research in Applied Linguistics,2019
NO ACCESS,,bafc1281,Studia Linguistica,2019
NO ACCESS,,07816a05,Revista Brasileira de Linguistica Aplicada,2019
,,07193b56,Journal for Multicultural Education,2019
,,832b3f5a,Taiwan Journal of TESOL,2018
NO ACCESS,,e3042f06,Cognitive Studies,2018
NO ACCESS,,4918b08b,Semiotica,2018
NO ACCESS,,56f43bad,Neophilologus,2019
NO ACCESS,,8183a3b8,Foreign Language Annals,2019
NO ACCESS,,714edbdd,Lingua,2019
0.62,2020.0,2e207f82,Sign Language and Linguistics (Online),2008
0.441,2010.0,50db91aa,Language and Intercultural Communication,2009
,,98e604d4,Communication Education,2009
0.404,2010.0,6e7fcfb0,Journal of Multilingual and Multicultural Development,2008
0.449,2008.0,a5d06adb,Canadian Modern Language Review,2008
0.484,2007.0,381dbc12,Journal of Pragmatics,2008
1.603,2008.0,e20aae7a,Language and Cognitive Processes,2008
0.688,2009.0,2df0bfbc,Discourse and Communication,2008
0.579,2009.0,96f6b2bd,Language and Education,2009
0.449,2008.0,285c0f1d,Canadian Modern Language Review,2008
,NA,7c3ee583,"Language, Culture and Curriculum",2009
3.481,2008.0,149b3172,Cognition,2008
2.347,2009.0,841e4719,"Journal of Speech, Language, and Hearing Research",2009
,NA,4ad36a28,English Linguistics,2008
,,0a0f51a8,Lingua Posnaniensis,2009
1.302,2009.0,5367f827,Natural Language and Linguistic Theory,2009
0.97,2020.0,f1d5193c,Studia Linguistica,2008
0.968,2009.0,eb8f30c8,Linguistic Review,2009
0.147,2010.0,1a481136,International Journal of American Linguistics,2009
0.0,2011.0,51173c44,Govor,2018
0.42,2020.0,1219375f,Cognitive Studies,2019
0.935,2008.0,26d646f0,Reading and Writing,2008
0.375,2011.0,e5d2bdaf,English World-Wide,2008
1.16,2018.0,0f6d23ca,Language Learning Journal,2018
1.596,2020.0,94ea02fe,RELC Journal,2019
,,c7908485,Asian ESP Journal,2018
1.596,2020.0,aa0f2804,RELC Journal,2019
0.419,2020.0,c6c513d7,Onomazein,2018
1.433,2018.0,38c5c978,Language and Intercultural Communication,2018
,NA,8df4b9ae,International Journal of Computer-Assisted Language Learning and Teaching,2018
