row_num,ID,clickable_doi,Title,Year,Authors,year_split,first_code_initials,first_code_include,first_code_reason,second_code_include,second_code_reason,second_code_initials,new_id,coder
818,fa06ff37,http://doi.org/10.13128/JEMS-2279-7149-24880,About french vernacular traditions: Medieval roots of modern theatre practices,2019,"Smith, D.",After-OS,emb 68,Yes,NA,NA,NA,NA,16,tr
1092,1c630356,http://doi.org/10.1007/s10583-016-9293-3,A Case Study of Russification in Two Translations of Alice’s Adventures in Wonderland by Vladimir Nabokov and Boris Zakhoder,2018,"Park, M.R.",After-OS,emb 141,Yes,NA,NA,NA,NA,17,tr
955,7bfff2dd,http://doi.org/10.1075/jlp.16035.fuk,Partisan follow-ups Editorial slant among newspapers during the 2013 Japanese Upper House election,2018,"Fukushima, T.",After-OS,kc 4,Yes,(note: discourse studies on newspaper),NA,NA,NA,18,tr
825,3598d9e8,http://doi.org/10.4102/rw.v10i1.209,English vocabulary exposure in South African township schools: Pitfalls and opportunities,2019,"Stoffelsma, L.",After-OS,emb 75,Yes,NA,NA,NA,NA,19,tr
817,e64c46ed,http://doi.org/10.2989/16073614.2018.1450638,Language learning applications for Sepedi: a user experience study,2018,"Wilken, I., Taljard, E., de Wet, F.",After-OS,emb 67,Yes,NA,NA,NA,NA,20,tr
1042,95e2b224,http://doi.org/10.1111/1467-968X.12154,Documenting Feature Pools in Language Expansion Situations: Sibilants in Early Colonial Latin American Spanish,2019,"Sanz-Sánchez, I.",After-OS,kc 91,Yes,NA,NA,NA,NA,21,tr
1093,096bc6a0,http://doi.org/10.1177/1362168816657851,Situated willingness to communicate in an L2: Interplay of individual characteristics and context,2018,"Yashima, T., MacIntyre, P.D., Ikeda, M.",After-OS,emb 142,Yes,NA,NA,NA,NA,22,tr
1313,02741b0b,http://doi.org/10.1016/j.lingua.2017.10.006,Semantic domains of demonstratives and articles: A view of deictic referentiality explored on the paradigm of Croatian demonstratives,2018,"Gärdenfors, P., Brala-Vukanović, M.",After-OS,kc 162,Yes,NA,NA,NA,NA,23,tr
1117,481c4788,http://doi.org/,The l2 motivational self system: Differences among learners | Razlike među studentima unutar inojezičnog motivacijskog sustava pojma o sebi,2018,"Martinović, A.",After-OS,emb 166,Yes,NA,NA,NA,NA,24,tr
1040,adb83706,http://doi.org/10.1177/0261927X17706943,The Strategic Manipulation of Linguistic Complexity: A Test of Two Models of Lying,2018,"Repke, M.A., Conway, L.G., Houck, S.C.",After-OS,kc 89,Yes,NA,NA,NA,NA,25,tr
799,730a2ad1,http://doi.org/10.5209/CLAC.60520,The process of academic literacy in Civil Engineering Computer Science. An approach to academic writing and its genres in a learning community,2018,"Marinkovich, J., Sologuren, E., Shawky, M.",After-OS,emb 49,Yes,NA,NA,NA,NA,26,tr
982,c80c7d95,http://doi.org/10.35903/teanga.v25i0.49,Examining character recognition and recall skills of cfl beginner learners under four different approaches,2018,"Osborne, C.",After-OS,kc 31,Yes,NA,NA,NA,NA,27,tr
1279,5e35ef20,http://doi.org/10.1075/sar.17012.bej,Adult second language learners' social network development and perceived fluency gain in an intensive English program abroad,2019,"Bejarano, M., Dewey, D.P., Baker-Smemoe, W., Henrichsen, L.E., Hall, T.",After-OS,kc 128,Yes,NA,NA,NA,NA,28,tr
1127,b0cecb39,http://doi.org/10.1177/0963947019827074,Relevance theory and metaphor: An analysis of Tom Waits’ ‘Emotional Weather Report’,2019,"Price, H., Wilson, J.",After-OS,emb 176,Yes,NA,NA,NA,NA,29,tr
1317,fde4cf0e,http://doi.org/10.1007/s10462-017-9599-6,A survey on classification techniques for opinion mining and sentiment analysis,2019,"Hemmatian, F., Sohrabi, M.K.",After-OS,kc 166,Yes,NA,NA,NA,NA,30,tr
1031,88fe1acb,http://doi.org/10.1186/s40862-018-0054-2,"An exploration of strategies used by Chinese graduate students in electrical engineering and education: integrating questionnaire, task performance, and post-task recall data",2018,"Zhou, J., Huang, L.-S.",After-OS,kc 80,Yes,NA,NA,NA,NA,31,tr
757,c55bef99,http://doi.org/10.1002/trtr.1845,"Language, Race, and Critical Conversations in a Primary-Grade Writers' Workshop",2019,"Hartman, P., Machado, E.",After-OS,emb 7,Yes,NA,NA,NA,NA,32,tr
1280,ff2483c9,http://doi.org/,The rule of law and the threat of civil disobedience in hong kong: Metaphorical structures in local media coverage,2019,"Cheng, W.",After-OS,kc 129,Yes,NA,NA,NA,NA,33,tr
946,5c31bef1,http://doi.org/10.1080/09658416.2019.1636802,The construction of conflict talk across workplace contexts: (towards) a theory of conflictual compact,2019,"Handford, M., Koester, A.",After-OS,iac 95,Yes,NA,NA,NA,NA,34,tr
1217,642de1f3,http://doi.org/10.1016/j.specom.2018.03.009,Single-channel speech enhancement using inter-component phase relations,2018,"Barysenka, S.Y., Vorobiov, V.I., Mowlaee, P.",After-OS,iac 166,Yes,NA,NA,NA,NA,35,tr
977,81d11c4d,http://doi.org/10.1177/0261927X18815930,College Students’ Perceptions of Gender-Inclusive Language Use Predict Attitudes Toward Transgender and Gender Nonconforming Individuals,2019,"Patev, A.J., Dunn, C.E., Hood, K.B., Barber, J.M.",After-OS,kc 26,Yes,NA,NA,NA,NA,36,tr
1009,b1407c08,http://doi.org/10.22055/rals.2019.15150,Metaphoric terms in tatar toponyms as the reflection of the national world-view,2019,"Khadieva, G.K., Galiullina, G.R., Kuzmina, K.K., Abdrakhmanova, A.A.",After-OS,kc 58,Yes,NA,NA,NA,NA,37,tr
779,0d859c02,http://doi.org/10.1017/S1360674317000442,Is vowel nasalisation phonological in English? A systematic review,2019,"Krämer, M.",After-OS,emb 29,Yes,NA,NA,NA,NA,38,tr
813,e86871b8,http://doi.org/10.1016/j.compcom.2018.03.001,"Digital Writing, Multimodality, and Learning Transfer: Crafting Connections between Composition and Online Composing",2018,"Shepherd, R.P.",After-OS,emb 63,Yes,NA,NA,NA,NA,39,tr
1100,9b194f85,http://doi.org/10.1016/j.jcomdis.2019.03.001,Verb and sentence processing patterns in healthy Italian participants: Insight from the Northwestern Assessment of Verbs and Sentences (NAVS),2019,"Barbieri, E., Brambilla, I., Thompson, C.K., Luzzatti, C.",After-OS,emb 149,Yes,NA,NA,NA,NA,40,tr
988,1d651e5b,http://doi.org/10.1111/modl.12461,"Motivation, Comprehensibility, and Accentedness in L2 Spanish: Investigating Motivation as a Time-Varying Predictor of Pronunciation Development",2018,"Nagle, C.",After-OS,kc 37,Yes,NA,NA,NA,NA,41,tr
1060,2f1b28e7,http://doi.org/10.1007/s10831-019-09192-6,Chinese possesses Japanese style scrambling: the case of Xining Mandarin,2019,"Bell, D.",After-OS,emb 109,Yes,NA,NA,NA,NA,42,tr
1138,a2160d42,http://doi.org/10.7592/EJHR2019.7.2.bendi,Hybrid humour as cultural translation: The example of Beur humour,2019,"Bendi, M.",After-OS,emb 187,Yes,NA,NA,NA,NA,43,tr
1292,fc2c16ca,http://doi.org/10.1044/2018_LSHSS-17-0130,Language sample practices with children who are deaf and hard of hearing,2018,"Blaiser, K.M., Shannahan, M.A.",After-OS,kc 141,Yes,NA,NA,NA,NA,44,tr
1061,8a7c985c,http://doi.org/10.31261/TAPSLA.2019.05.05,L2 gain or L2 Pain? A comparative case study of the target language development among Erasmus+ mobility students and at-home students,2019,"Ozanska-Ponikwia, K., Carlet, A., Valls, M.P.",After-OS,emb 110,Yes,NA,NA,NA,NA,45,tr
835,efed3434,http://doi.org/10.1080/1750399X.2019.1617653,Acquisition of interpreting strategies by student interpreters,2019,"Dong, Y., Li, Y., Zhao, N.",After-OS,emb 85,Yes,NA,NA,NA,NA,46,tr
922,bf5f9a93,http://doi.org/10.1177/0267658319877666,Language proficiency is only part of the story: Lexical access in heritage and non-heritage bilinguals,2019,"Wiener, S., Tokowicz, N.",After-OS,iac 71,Yes,NA,NA,NA,NA,47,tr
854,c8dfbf73,http://doi.org/10.1002/tesj.377,Experienced teachers’ beliefs and practices toward communicative approaches in teaching English as a foreign language in rural Ukraine,2019,"Mason, A., Payant, C.",After-OS,iac 4,Yes,NA,NA,NA,NA,48,tr
752,d0cac14b,http://doi.org/10.1515/aofo-2018-0020,Searching for hattian-hittite 'quasi-bilingual' texts: new tools for the continued research of hattian,2018,"Steitler, C.W.",After-OS,emb 2,Yes,NA,NA,NA,NA,49,tr
830,c662cb90,http://doi.org/10.1353/dic.2019.0015,Etymology and the doctrine of correctness: Word meaning in dictionaries of english usage,2019,"Chapman, D.",After-OS,emb 80,Yes,NA,NA,NA,NA,50,tr
850,4937a608,http://doi.org/10.1080/13488678.2018.1471639,"Negotiating ‘ares,’ ‘cans,’ and ‘shoulds’ of being and becoming in English language teaching: two teacher accounts from one Japanese university",2019,"Rudolph, N., Yazan, B., Rudolph, J.",After-OS,emb 100,Yes,NA,NA,NA,NA,51,tr
1082,cec3cc40,http://doi.org/10.1080/10573569.2018.1462745,"The Role of Gender, Socioeconomic Status, and Ethnicity in Predicting ESL Learners’ Reading Comprehension",2018,"Ismail, S.A.M.M., Karim, A., Mohamed, A.R.",After-OS,emb 131,Yes,NA,NA,NA,NA,52,tr
1048,9f5836ec,http://doi.org/10.1016/j.linged.2018.12.003,Are females and males equitably represented? A study of early readers,2019,"Lee, J.F.K., Chin, A.C.O.",After-OS,kc 97,Yes,NA,NA,NA,NA,53,tr
776,c4d31be7,http://doi.org/10.1007/s11145-017-9767-8,Copying helps novice learners build orthographic knowledge: methods for teaching Devanagari akshara,2018,"Bhide, A.",After-OS,emb 26,Yes,NA,NA,NA,NA,54,tr
1079,a81616b9,http://doi.org/10.1353/lan.2018.0000,The lexicalist hypothesis: Both wrong and superfluous,2018,"Bruening, B.",After-OS,emb 128,Yes,NA,NA,NA,NA,55,tr
1177,77d397e2,http://doi.org/10.1080/13670050.2019.1689917,English-medium instruction in higher education and the ELT gaze: STEM lecturers’ self-positioning as NOT English language teachers,2019,"Block, D., Moncada-Comas, B.",After-OS,iac 126,Yes,NA,NA,NA,NA,56,tr
1245,bc2d270c,http://doi.org/10.1016/j.specom.2019.01.007,A network-modeling approach to investigating individual differences in articulatory-to-acoustic relationship strategies,2019,"Carignan, C.",After-OS,iac 194,Yes,NA,NA,NA,NA,57,tr
1149,678bb87b,http://doi.org/10.1007/s11061-017-9548-2,"Your eigning hert: A Hapax Legomenon in Cursor Mundi, Line 28339",2018,"Barootes, B.S.W.",After-OS,emb 198,Yes,NA,NA,NA,NA,58,tr
1047,2dc5d8a0,http://doi.org/10.26346/1120-2726-123,Revisiting the cartography of (Italian) postverbal subjects from different angles with reference to canonicality considerations,2018,"Belletti, A.",After-OS,kc 96,Yes,NA,NA,NA,NA,59,tr
1137,fb7f587c,http://doi.org/10.1075/jhl.17014.lam,The replacement of diminutive suffixes in the New High German period: A time series analysis in word formation,2018,"Lameli, A.",After-OS,emb 186,Yes,NA,NA,NA,NA,60,tr
1014,f03d8e7d,http://doi.org/10.1075/lic.15019.lab,Crossed transposition in a corpus-based study of motion in English and Spanish,2018,"Labrador, B.",After-OS,kc 63,Yes,NA,NA,NA,NA,61,jc
831,c103fcfd,http://doi.org/10.1044/2018_AJSLP-16-0239,The effects of parent training on vocabulary scores of young children with hearing loss,2018,"Lund, E.",After-OS,emb 81,Yes,NA,NA,NA,NA,62,jc
974,001719cf,http://doi.org/10.1075/lic.17007.mal,English presentative semantic patterns as seen through a parallel translation corpus,2019,"Malá, M., Brůhová, G.",After-OS,kc 23,Yes,NA,NA,NA,NA,63,jc
986,beb8095c,http://doi.org/10.1177/1367006917728392,El book or the libro? Insights from acceptability judgments into determiner/noun code-switches,2019,"Parafita Couto, M.C., Stadthagen-Gonzalez, H.",After-OS,kc 35,Yes,NA,NA,NA,NA,64,jc
777,d28ff3d4,http://doi.org/10.1016/j.wocn.2018.08.004,Coordinative patterns underlying cross-linguistic rhythmic differences,2019,"Lancia, L., Krasovitsky, G., Stuntebeck, F.",After-OS,emb 27,Yes,NA,NA,NA,NA,65,jc
1297,ec834df1,http://doi.org/10.1556/084.001,That again: A multivariate analysis of the factors conditioning syntactic explicitness in translated English,2019,"Kruger, H.",After-OS,kc 146,Yes,NA,NA,NA,NA,66,jc
971,405643c5,http://doi.org/10.1515/ijsl-2017-0055,"\""No-one told me it would all be in Catalan!\"" - Narratives and language ideologies in the Latin American community at school",2018,"Patiño-Santos, A.",After-OS,kc 20,Yes,NA,NA,NA,NA,67,jc
1222,914047d6,http://doi.org/10.1016/j.wocn.2019.100935,Visible amplitude: Towards quantifying prominence in sign language,2019,"Tkachman, O., Hall, K.C., Fuhrman, R., Aonuki, Y.",After-OS,iac 171,Yes,NA,NA,NA,NA,68,jc
1098,fd064e7e,http://doi.org/10.4467/20834624SL.19.023.11316,In defence of Lydgate: Lydgate's use of binomials in his Troy book (Part 2),2019,"Sauer, H.",After-OS,emb 147,Yes,NA,NA,NA,NA,69,jc
1210,aa9e6e2d,http://doi.org/10.2478/jazcas-2019-0049,Slovak Comparative Correlatives: New Insights,2019,"Horsch, J.",After-OS,iac 159,Yes,NA,NA,NA,NA,70,jc
898,fd5b7ec5,http://doi.org/10.1080/23273798.2017.1404114,From words-as-mappings to words-as-cues: the role of language in semantic knowledge,2019,"Lupyan, G., Lewis, M.",After-OS,iac 47,Yes,NA,NA,NA,NA,71,jc
947,a4895415,http://doi.org/10.1080/00437956.2019.1567038,Reading the word in a foreign tongue: Islam’s scripture and non-Arab Muslims <sup>†</sup>,2019,"Barlas, A.",After-OS,iac 96,Yes,NA,NA,NA,NA,72,jc
751,17af5aa0,http://doi.org/10.5334/labphon.163,Prosodic features of stances in conversation,2019,"Freeman, V.",After-OS,emb 1,Yes,NA,NA,NA,NA,73,jc
1110,4b363385,http://doi.org/10.1353/jsl.2019.0003,The effects of animacy and givenness on object order in croatian child language,2019,"Velnić, M.",After-OS,emb 159,Yes,NA,NA,NA,NA,74,jc
1114,cd2842a2,http://doi.org/10.1111/1460-6984.12325,"Brief mindfulness meditation group training in aphasia: exploring attention, language and psychophysiological outcomes",2018,"Marshall, R.S., Laures-Gore, J., Love, K.",After-OS,emb 163,Yes,NA,NA,NA,NA,75,jc
1007,7edbfeaa,http://doi.org/10.1007/s11145-018-9925-7,Content-area reading comprehension and teachers’ use of instructional time: effects on middle school students’ social studies knowledge,2019,"Toste, J.R., Vaughn, S., Martinez, L.R., Bustillos-SoRelle, D.A.",After-OS,kc 56,Yes,NA,NA,NA,NA,76,jc
1312,ab11bec5,http://doi.org/10.1007/s10590-019-09229-6,Post-editing neural machine translation versus phrase-based machine translation for English–Chinese,2019,"Jia, Y., Carl, M., Wang, X.",After-OS,kc 161,Yes,NA,NA,NA,NA,77,jc
809,a584e7b1,http://doi.org/10.21315/kajh2018.25.1.2,The implication of conjunctive element shifts in the translation of argumentative texts,2018,"Sheng, S.H., Kwee, S.B., Ling, L.W.",After-OS,emb 59,Yes,NA,NA,NA,NA,78,jc
1029,e6bbb0ac,http://doi.org/10.1177/0023830918796691,Vocabulary as a Central Link between Phonological Working Memory and Narrative Competence: Evidence from Monolingual and Bilingual Four-Year-Olds from Different Socioeconomic Backgrounds,2019,"Korecky-Kröll, K., Dobek, N., Blaschitz, V., Sommer-Lolei, S., Boniecki, M., Uzunkaya-Sharma, K., Dressler, W.U.",After-OS,kc 78,Yes,NA,NA,NA,NA,79,jc
775,b0b85ef4,http://doi.org/10.1017/S0305000917000125,Preposition accuracy on a sentence repetition task in school age Spanish-English bilinguals,2018,"Taliancich-Klinger, C.L., Bedore, L.M., Peña, E.D.",After-OS,emb 25,Yes,NA,NA,NA,NA,80,jc
919,e52d9d65,http://doi.org/10.18488/journal.23.2019.84.135.145,Extra-linguistic elements in learning second language,2019,"Kamaruddin, R., Rosli, M.N.A., Hamid, T.N.A.T.A., Hamzah, N.S., Salleh, M.M.",After-OS,iac 68,Yes,NA,NA,NA,NA,81,jc
1218,eec1773f,http://doi.org/10.1044/2018_JSLHR-H-18-0107,"Eliciting naturalistic conversations: A method for assessing communication ability, subjective experience, and the impacts of noise and hearing impairment",2019,"Beechey, T., Buchholz, J.M., Keidser, G.",After-OS,iac 167,Yes,NA,NA,NA,NA,82,jc
1212,5b436f6b,http://doi.org/10.1080/10573569.2018.1541770,"Designing, Implementing, and Evaluating a School-Based Literacy Program for Adolescent Learners With Reading Difficulties: A Mixed-Methods Study",2019,"Farkas, W.A., Jang, B.G.",After-OS,iac 161,Yes,NA,NA,NA,NA,83,jc
1259,4160000.0,http://doi.org/10.1080/10573569.2018.1548952,Primary Readers’ Perceptions of a Camp Guided Reading Intervention: A Qualitative Case Study of Motivation and Engagement,2019,"Erickson, J.D.",After-OS,kc 108,Yes,NA,NA,NA,NA,84,jc
791,1f3a4a10,http://doi.org/10.1007/s11145-017-9815-4,Investigating the validity of two widely used quantitative text tools,2018,"Cunningham, J.W., Hiebert, E.H., Mesmer, H.A.",After-OS,emb 41,Yes,NA,NA,NA,NA,85,jc
853,cc8eb677,http://doi.org/10.1007/s11145-018-9829-6,Identifying the unique role of orthographic working memory in a componential model of Hong Kong kindergarteners’ Chinese written spelling,2018,"Mo, J., McBride, C., Yip, L.",After-OS,iac 3,Yes,NA,NA,NA,NA,86,jc
832,1deba029,http://doi.org/10.1016/j.system.2018.04.009,Collaborative writing in the EFL classroom: The effects of L1 and L2 use,2018,"Zhang, M.",After-OS,emb 82,Yes,NA,NA,NA,NA,87,jc
1173,9.8056778E7,http://doi.org/10.1080/23273798.2018.1484148,Eyetracking of coarticulatory cue responses in children and adults,2018,"Cross, A.M., Joanisse, M.F.",After-OS,iac 122,Yes,NA,NA,NA,NA,88,jc
1167,3873eebe,http://doi.org/10.1093/applin/amw001,Exploring Inner Speech as a Psycho-educational Resource for Language Learning Advisors,2018,"McCarthy, T.M.",After-OS,iac 116,Yes,NA,NA,NA,NA,89,jc
1241,746a8f5c,http://doi.org/10.1016/j.pragma.2018.12.002,Context formulation and the invocation of membership categories in an L2 classroom setting,2019,"Moutinho, R.",After-OS,iac 190,Yes,NA,NA,NA,NA,90,jc
994,74a007fe,http://doi.org/10.1016/j.bandl.2016.06.001,The peri-Sylvian cortical network underlying single word repetition revealed by electrocortical stimulation and direct neural recordings,2019,"Leonard, M.K., Cai, R., Babiak, M.C., Ren, A., Chang, E.F.",After-OS,kc 43,Yes,NA,NA,NA,NA,91,jc
984,9555e6f3,http://doi.org/10.1017/S1366728918000858,Bilingualism as a desirable difficulty: Advantages in word learning depend on regulation of the dominant language,2019,"Bogulski, C.A., Bice, K., Kroll, J.F.",After-OS,kc 33,Yes,NA,NA,NA,NA,92,jc
761,8abf1f7e,http://doi.org/10.1080/09588221.2018.1527366,Corpora and dictionaries as learning aids: inductive versus deductive approaches to constructing vocabulary knowledge,2019,"Tsai, K.-J.",After-OS,emb 11,Yes,NA,NA,NA,NA,93,jc
1073,075880b6,http://doi.org/10.1044/2019_JSLHR-L-18-0418,Effects of Verb Overlap on Structural Priming in Dialogue: Implications for Syntactic Learning in Aphasia,2019,"Man, G., Meehan, S., Branigan, H., Martin, N., Lee, J.",After-OS,emb 122,Yes,NA,NA,NA,NA,94,jc
1301,93d54a22,http://doi.org/10.1080/14790718.2019.1632315,Multilingual boost vs. cognitive abilities: testing two theories of multilingual language learning in a primary school context,2019,"Berthele, R., Udry, I.",After-OS,kc 150,Yes,NA,NA,NA,NA,95,jc
1008,a2a0bf33,http://doi.org/10.1016/j.cognition.2018.06.002,Nonword repetition depends on the frequency of sublexical representations at different grain sizes: Evidence from a multi-factorial analysis,2018,"Szewczyk, J.M., Marecka, M., Chiat, S., Wodniecka, Z.",After-OS,kc 57,Yes,NA,NA,NA,NA,96,jc
975,a9a37ce5,http://doi.org/10.1017/S0954394519000036,Variable past participles in Portuguese perfect constructions,2019,"Schwenter, S.A., Hoff, M., Christodulelis, E., Pflum, C., Dauphinais, A.",After-OS,kc 24,Yes,NA,NA,NA,NA,97,jc
1041,e9d86699,http://doi.org/10.1016/j.jneuroling.2018.07.003,Episodic future thinking and narrative discourse generation in children with Autism Spectrum Disorders,2019,"Marini, A., Ferretti, F., Chiera, A., Magni, R., Adornetti, I., Nicchiarelli, S., Vicari, S., Valeri, G.",After-OS,kc 90,Yes,(note:narrative tasks),NA,NA,NA,98,jc
1066,9d1758b4,http://doi.org/10.1017/S0332586518000197,"A cross-linguistic puzzle and its theoretical implications: Norwegian jo, German doch and ja, and an advertisement",2018,"Unger, C.",After-OS,emb 115,Yes,NA,NA,NA,NA,99,jc
1196,5414370d,http://doi.org/,"Discourse particles, interaction and enunciative approach",2018,"Rodríguez, V.G.",After-OS,iac 145,Yes,NA,NA,NA,NA,100,jc
996,2c915016,http://doi.org/10.1002/trtr.1680,Close Sentence Reading to Foster Decoding and Comprehension,2018,"Minnery, A., Smith, A.T.",After-OS,kc 45,Yes,NA,NA,NA,NA,101,jc
968,7da82b85,http://doi.org/10.1515/ling-2019-0019,(Inter)subjective uses of the Dutch progressive constructions,2019,"Anthonissen, L., De Wit, A., Mortelmans, T.",After-OS,kc 17,Yes,NA,NA,NA,NA,102,jc
1146,4d8c4194,http://doi.org/10.3917/ls.165.0095,"Language, communication, and the politics of hope: Solidarity and work in the Italian migration infrastructure",2018,"Percio, A.D.",After-OS,emb 195,Yes,NA,NA,NA,NA,103,jc
908,f2e832a1,http://doi.org/10.1016/j.cognition.2019.06.002,Using what's there: Bilinguals adaptively rely on orthographic and color cues to achieve language control,2019,"Fadlon, J., Li, C., Prior, A., Gollan, T.H.",After-OS,iac 57,Yes,NA,NA,NA,NA,104,jc
953,92bf9cce,http://doi.org/10.1515/opli-2018-0026,Inferences in interaction and language change,2018,"Ehmer, O., Rosemeyer, M.",After-OS,kc 2,Yes,NA,NA,NA,NA,105,jc
1257,8b7664fe,http://doi.org/10.1515/phil-2018-0028,Miszelle,2019,"Panegyres, K.",After-OS,kc 106,Yes,NA,NA,NA,NA,106,jc
1337,030a348b,http://doi.org/10.1007/s11145-018-9837-6,The apple doesn’t fall from the tree: parents’ reading-related knowledge and children’s reading outcomes,2018,"Segal, A., Martin-Chang, S.",After-OS,kc 186,Yes,NA,NA,NA,NA,107,jc
902,c6c2b7b5,http://doi.org/,Resyllabification in standard Arabic: A constraint-based approach,2019,"Btoosh, M.A.",After-OS,iac 51,Yes,NA,NA,NA,NA,108,jc
1185,fff54b79,http://doi.org/10.1093/jos/ffx016,The scalar inferences of strong scalar terms under negative quantifiers and constraints on the theory of alternatives,2018,"Gotzner, N., Romoli, J.",After-OS,iac 134,Yes,NA,NA,NA,NA,109,jc
1341,7582c7c8,http://doi.org/10.1016/j.jneuroling.2018.09.001,Are there similarities between emotional and familiarity-based processing in visual word recognition?,2019,"Kuchinke, L., Mueller, C.J.",After-OS,kc 190,Yes,NA,NA,NA,NA,110,jc
969,370493ca,http://doi.org/10.1016/j.lingua.2019.02.007,Home and away – Implications of short-term sojourning of young Australian bilinguals,2019,"Eisenchlas, S.A., Schalley, A.C., Qi, G.Y., Tsai, P.-S.",After-OS,kc 18,Yes,NA,NA,NA,NA,111,jc
800,8c5e2ed3,http://doi.org/10.1177/1367006918763140,The effect of language on recognition memory in first language and second language speakers: The case of placement events,2019,"Koster, D., Cadierno, T.",After-OS,emb 50,Yes,NA,NA,NA,NA,112,jc
1208,259ca9da,http://doi.org/10.1044/2019_JSLHR-S-18-0440,Vowel and tone identification for Mandarin congenital amusics: Effects of vowel type and semantic content,2019,"Li, M., Tang, W., Liu, C., Nan, Y., Wang, W., Dong, Q.",After-OS,iac 157,Yes,NA,NA,NA,NA,113,jc
1231,ff19fa6a,http://doi.org/10.1353/dic.2018.0010,“among the new words”: The prospects and challenges of short-term historical lexicography,2018,"Zimmer, B., Carson, C.E.",After-OS,iac 180,Yes,NA,NA,NA,NA,114,jc
1088,8be9412e,http://doi.org/10.1016/j.langsci.2017.02.004,Linguistic creativity and the production of cisheteropatriarchy: A comparative analysis of improvised rap battles in Los Angeles and Cape Town,2018,"Alim, H.S., Lee, J., Carris, L.M., Williams, Q.E.",After-OS,emb 137,Yes,NA,NA,NA,NA,115,jc
