"row_num","ID","clickable_doi","Title","Year","Authors","year_split"
15,"1d708c07","http://doi.org/10.1016/j.cognition.2008.09.006","A probabilistic corpus-based model of syntactic parallelism",2008,"Dubey, A., Keller, F., Sturt, P.","Pre-OS"
16,"8c948288","http://doi.org/10.1080/10570310701827604","Emotional reactions to and perceived effectiveness of media messages: Appraisal and message sensation value",2008,"Kang, Y., Cappella, J.N.","Pre-OS"
17,"201807ac","http://doi.org/10.1016/j.cogpsych.2008.01.001","An improved algorithm for predicting free recalls",2008,"Laming, D.","Pre-OS"
18,"f7d32e5f","http://doi.org/10.1080/14992020701703547","Universal newborn hearing screening: A question of evidence",2008,"Durieux-Smith, A., Fitzpatrick, E., Whittingham, J.","Pre-OS"
19,"953e268c","http://doi.org/","Adaptation of Greek feminine α-declension nouns ending in -η in Medieval Slavonic sources: The evidence of Croato-Glagolitic missals",2009,"Dimitrova, M.","Pre-OS"
20,"4b291010","http://doi.org/10.1111/j.1468-0017.2008.00354.x","William James, 'the world of sense' and trust in testimony",2008,"Harris, P.L., Richert, R.A.","Pre-OS"
21,"41cdead8","http://doi.org/10.1016/j.artint.2007.11.008","Complexity results and algorithms for possibilistic influence diagrams",2008,"Garcia, L., Sabbadin, R.","Pre-OS"
22,"0346337d","http://doi.org/10.1080/09588220802613781","When is it appropriate to talk? Managing overlapping talk in multi-participant voice-based chat rooms",2009,"Jenks, C.J.","Pre-OS"
23,"f2654cb6","http://doi.org/10.1093/fmls/cqp113","Une nouvelle révolution permanente: The making of African modernity in Sékou Touré's Guinea",2009,"Dave, N.","Pre-OS"
24,"44cf705f","http://doi.org/10.1017/s0008413100004503","Coercion without lexical decomposition: Type-shifting effects revisited",2008,"De Almeida, R.G., Dwivedi, V.D.","Pre-OS"
25,"342861bd","http://doi.org/10.1515/zrph.2008.073","Paola Benincà / Laura Vanelli, Linguistica friulana",2008,"Heinemann, S.","Pre-OS"
26,"4224f639","http://doi.org/10.1007/s11196-009-9113-9","Meaning, time and the law: Ex post and ex ante perspectives",2009,"Hutton, C.","Pre-OS"
27,"047a69fa","http://doi.org/10.1016/j.system.2008.02.004","Using wikis to enhance and develop writing skills among secondary school students in Hong Kong",2008,"Mak, B., Coniam, D.","Pre-OS"
28,"925a631b","http://doi.org/","El Libro de Recuerdos (Book of Memories): A Latina student's exploration of self and religion in public school",2009,"Reyes, C.C.","Pre-OS"
29,"45d033d0","http://doi.org/10.1598/RT.61.7.8","Lights, cameras, pencils! Using descriptive video to enhance writing",2008,"Hoffner, H., Baker, E., Quinn, K.B.","Pre-OS"
30,"03bc7180","http://doi.org/10.1016/j.jml.2007.08.004","How does knowledge promote memory? The distinctiveness theory of skilled memory",2008,"Rawson, K.A., Van Overschelde, J.P.","Pre-OS"
31,"a022b02e","http://doi.org/10.1080/19388160802711410","Are tour guides in china ready for the booming tourism industry?",2009,"Kong, H., Cheung, C., Baum, T.","Pre-OS"
32,"30e21b3b","http://doi.org/10.1044/1092-4388(2008/046)","Is parent-child interaction therapy effective in reducing stuttering?",2008,"Millard, S.K., Nicholas, A., Cook, F.M.","Pre-OS"
33,"1aef8bce","http://doi.org/","The importance of harmony: An ecological metaphor for writing research",2008,"Fleckenstein, K.S., Spinuzzi, C., Rickly, R.J., Papper, C.C.","Pre-OS"
34,"5e50d83e","http://doi.org/10.1080/14992020801991729","Clinical application of long-term intensity and pitch matches in fluctuating low-frequency hearing loss",2008,"Jonas Brännstrom, K., Grenner, J.","Pre-OS"
35,"2bc377da","http://doi.org/10.1017/S0142716407080101","Lexical frequency and third-graders' stress accuracy in derived English word production",2008,"Jarmulowicz, L., Taran, V.L., Hay, S.E.","Pre-OS"
36,"149b3172","http://doi.org/10.1016/j.cognition.2008.08.002","The link between speech perception and production is phonological and abstract: Evidence from the shadowing task",2008,"Mitterer, H., Ernestus, M.","Pre-OS"
37,"bd36726a","http://doi.org/10.1093/llc/fqn030","What text really is not, and why editors have to learn to swim",2009,"Robinson, P.","Pre-OS"
38,"b324e024","http://doi.org/10.1177/001458580804200204","The dying diva: Violent ends for Clara Calamai in Ossessione and Profondo rosso",2008,"Past, E.","Pre-OS"
39,"e569cf5d","http://doi.org/10.1163/157007208X265737","Genesis 1-3 as source for the anthropology of origen",2008,"Jacobsen, A.L.","Pre-OS"
40,"c5da0a2e","http://doi.org/10.1632/pmla.2009.124.5.1737","War is culture: Global counterinsurgency, visuality, and the Petraeus doctrine",2009,"Mirzoeff, N.","Pre-OS"
41,"110c9b7d","http://doi.org/10.1080/02666286.2008.10444072","Petrifaction and melancholia in dürer's lucretia",2008,"Hertel, C.","Pre-OS"
42,"0b0540e6","http://doi.org/10.1017/S1351324907004664","Automatic generation of weather forecast texts using comprehensive probabilistic generation-space models",2008,"Belz, A.","Pre-OS"
43,"09a75114","http://doi.org/10.1016/j.jcomdis.2007.10.003","University students' perceptions of pre-school and kindergarten children who stutter",2008,"Betz, I.R., Blood, G.W., Blood, I.M.","Pre-OS"
44,"571c9027","http://doi.org/10.1080/14992020701643800","Tone-evoked ABR in full-term and preterm neonates with normal hearing",2008,"Ribeiro, F.M., Carvallo, R.M.","Pre-OS"
45,"60fad671","http://doi.org/10.1016/j.jvlc.2009.04.005","Generic and reflective graph transformations for checking and enforcement of modeling guidelines",2009,"Legros, E., Amelunxen, C., Klar, F., Schürr, A.","Pre-OS"
46,"ae7b9f34","http://doi.org/10.1080/17489530903073336","Preference for specific manding topographies may emerge over time during functional communication training",2009,"Lang, R.","Pre-OS"
47,"dbe9017d","http://doi.org/","Voltaire's 'racine': The paradoxes of a transformation",2009,"Campbell, J.","Pre-OS"
48,"ea740780","http://doi.org/10.1007/s10988-010-9065-2","Presupposing acquaintance: A unified semantics for de dicto, de re and de se belief reports",2009,"Maier, E.","Pre-OS"
49,"1dd7221d","http://doi.org/10.1080/02699200801945120","The development of monophthongal vowels in Korean: Age and sex differences",2008,"Lee, S., Iverson, G.K.","Pre-OS"
50,"760148a7","http://doi.org/","Embracing wicked problems: The turn to design in composition studies",2009,"Marback, R.","Pre-OS"
51,"509dc446","http://doi.org/10.1017/S0266078408000254","Will CLT bail out the bogged down ELT in Bangladesh?",2008,"Hamid, M.O., Hamid, M.O., Baldauf, R.B.","Pre-OS"
52,"8170e696","http://doi.org/10.2989/SALALS.2009.27.1.5.753","Making connections through reflection: Writing and feedback in an academic literacy programme",2009,"Granville, S., Dison, L.","Pre-OS"
53,"902a08b1","http://doi.org/10.1044/1092-4388(2008/08-0119)","Effects of loud and amplified speech on sentence and word intelligibility in Parkinson disease",2009,"Neel, A.T.","Pre-OS"
54,"fffc3f14","http://doi.org/10.1111/j.1467-9434.2009.00542.x","A parable of misrecognition: Anagnorisis and the return of the repressed from the gulag",2009,"Etkind, A.","Pre-OS"
55,"c18386b8","http://doi.org/10.1080/02702710802411620","Readers’ theater: A process of developing fourth-graders’ reading fluency",2009,"Clark, R., Morrison, T.G., Wilcox, B.","Pre-OS"
56,"7d04ac5e","http://doi.org/10.1007/s10993-009-9127-x","From protector to producer: The role of the State in the discursive shift from minority rights to economic development",2009,"Da Silva, E., Heller, M.","Pre-OS"
57,"bf61ccbb","http://doi.org/10.1044/1092-4388(2008/07-0179)","Parameters to maximize 2f2-f1 distortion product otoacoustic emission levels",2008,"Horn, J.H., Pratt, S.R., Durrant, J.D.","Pre-OS"
58,"90f11384","http://doi.org/10.1177/1750481308095937","The interpersonal dynamics of call-centre interactions: Co-constructing the rise and fall of emotion",2008,"Hood, S., Forey, G.","Pre-OS"
59,"28239c02","http://doi.org/10.1080/17489530903399160","Teaching evidence-based practice in a problem-based learning course in speech-language pathology",2009,"Raghavendra, P.","Pre-OS"
60,"0e3e42b8","http://doi.org/10.1080/13670050802149531","Integration in two-way immersion education: Equalising linguistic benefits for all students",2009,"Jong, E.D., Howard, E.","Pre-OS"
61,"b4fe5daa","http://doi.org/10.1177/0075424208321142","\Which way?\: Difficult options for vulnerable witnesses in Australian Aboriginal land claim and native title cases",2008,"Walsh, M.","Pre-OS"
62,"39f7fee7","http://doi.org/","Metaphor, mythology, and a navajo verb: The role of cultural constructs in the Lexicography of Endangered Languages",2009,"Field, M.C.","Pre-OS"
63,"ab568dcc","http://doi.org/10.1142/S1793351X09000902","Mapping verbal argument preferences to deverbal nouns",2009,"Gurevich, O., Waterman, S.A.","Pre-OS"
64,"95667e01","http://doi.org/","Crossing borders, shifting paradigms: New perspectives on American studies",2008,"Fellner, A.M.","Pre-OS"
65,"5b30f988","http://doi.org/10.2104/aral0924","A study of EL2 pilots' radio communication in the general aviation environment",2009,"Estival, D., Molesworth, B.","Pre-OS"
66,"da82dbe2","http://doi.org/10.1515/LING.2008.016","The semantics of particles: Advantages of a contrastive and panchronic approach: A study of the polysemy of French déjà and Italian già",2008,"Hansen, M.-B.M., Strudsholm, E.","Pre-OS"
67,"1b3a7720","http://doi.org/10.1093/notesj/gjp211","Ruth 3:15 - The 'he' and 'she' bibles",2009,"Shaheen, N.","Pre-OS"
