row_num,ID,clickable_doi,Title,Year,Authors,year_split,first_code_initials,first_code_include,first_code_reason,second_code_include,second_code_reason,second_code_initials
30,,http://doi.org/10.1016/j.jml.2007.08.004,How does knowledge promote memory? The distinctiveness theory of skilled memory,2008,"Rawson, K.A., Van Overschelde, J.P.",Pre-OS,emb 30,No,memory,NA,NA,NA
31,,http://doi.org/10.1080/19388160802711410,Are tour guides in china ready for the booming tourism industry?,2009,"Kong, H., Cheung, C., Baum, T.",Pre-OS,emb 31,No,tourism,NA,NA,NA
32,,http://doi.org/10.1044/1092-4388(2008/046),Is parent-child interaction therapy effective in reducing stuttering?,2008,"Millard, S.K., Nicholas, A., Cook, F.M.",Pre-OS,emb 32,Yes,NA,NA,NA,NA
33,,http://doi.org/,The importance of harmony: An ecological metaphor for writing research,2008,"Fleckenstein, K.S., Spinuzzi, C., Rickly, R.J., Papper, C.C.",Pre-OS,emb 33,No,english writing,NA,NA,NA
34,,http://doi.org/10.1080/14992020801991729,Clinical application of long-term intensity and pitch matches in fluctuating low-frequency hearing loss,2008,"Jonas Brännstrom, K., Grenner, J.",Pre-OS,emb 34,No,audiology,NA,NA,NA
35,,http://doi.org/10.1017/S0142716407080101,Lexical frequency and third-graders' stress accuracy in derived English word production,2008,"Jarmulowicz, L., Taran, V.L., Hay, S.E.",Pre-OS,emb 35,Yes,NA,NA,NA,NA
36,,http://doi.org/10.1016/j.cognition.2008.08.002,The link between speech perception and production is phonological and abstract: Evidence from the shadowing task,2008,"Mitterer, H., Ernestus, M.",Pre-OS,emb 36,Yes,NA,NA,NA,NA
37,,http://doi.org/10.1093/llc/fqn030,"What text really is not, and why editors have to learn to swim",2009,"Robinson, P.",Pre-OS,emb 37,Yes,NA,NA,NA,NA
38,,http://doi.org/10.1177/001458580804200204,The dying diva: Violent ends for Clara Calamai in Ossessione and Profondo rosso,2008,"Past, E.",Pre-OS,emb 38,No,literature,NA,NA,NA
39,,http://doi.org/10.1163/157007208X265737,Genesis 1-3 as source for the anthropology of origen,2008,"Jacobsen, A.L.",Pre-OS,emb 39,No,religion,NA,NA,NA
40,,http://doi.org/10.1632/pmla.2009.124.5.1737,"War is culture: Global counterinsurgency, visuality, and the Petraeus doctrine",2009,"Mirzoeff, N.",Pre-OS,emb 40,No,politics,NA,NA,NA
41,,http://doi.org/10.1080/02666286.2008.10444072,Petrifaction and melancholia in dürer's lucretia,2008,"Hertel, C.",Pre-OS,emb 41,No,literature,NA,NA,NA
42,,http://doi.org/10.1017/S1351324907004664,Automatic generation of weather forecast texts using comprehensive probabilistic generation-space models,2008,"Belz, A.",Pre-OS,emb 42,Yes,NA,NA,NA,NA
43,,http://doi.org/10.1016/j.jcomdis.2007.10.003,University students' perceptions of pre-school and kindergarten children who stutter,2008,"Betz, I.R., Blood, G.W., Blood, I.M.",Pre-OS,emb 43,Yes,NA,NA,NA,NA
44,,http://doi.org/10.1080/14992020701643800,Tone-evoked ABR in full-term and preterm neonates with normal hearing,2008,"Ribeiro, F.M., Carvallo, R.M.",Pre-OS,emb 44,No,audiology,NA,NA,NA
45,,http://doi.org/10.1016/j.jvlc.2009.04.005,Generic and reflective graph transformations for checking and enforcement of modeling guidelines,2009,"Legros, E., Amelunxen, C., Klar, F., Schürr, A.",Pre-OS,emb 45,No,artificial intelligence/modeling,NA,NA,NA
46,,http://doi.org/10.1080/17489530903073336,Preference for specific manding topographies may emerge over time during functional communication training,2009,"Lang, R.",Pre-OS,emb 46,Unsure,communication,NA,NA,NA
47,,http://doi.org/,Voltaire's 'racine': The paradoxes of a transformation,2009,"Campbell, J.",Pre-OS,emb 47,No,literature,NA,NA,NA
48,,http://doi.org/10.1007/s10988-010-9065-2,"Presupposing acquaintance: A unified semantics for de dicto, de re and de se belief reports",2009,"Maier, E.",Pre-OS,emb 48,Yes,NA,NA,NA,NA
49,,http://doi.org/10.1080/02699200801945120,The development of monophthongal vowels in Korean: Age and sex differences,2008,"Lee, S., Iverson, G.K.",Pre-OS,emb 49,Yes,NA,NA,NA,NA
50,,http://doi.org/,Embracing wicked problems: The turn to design in composition studies,2009,"Marback, R.",Pre-OS,emb 50,No,digital media,NA,NA,NA
51,,http://doi.org/10.1017/S0266078408000254,Will CLT bail out the bogged down ELT in Bangladesh?,2008,"Hamid, M.O., Hamid, M.O., Baldauf, R.B.",Pre-OS,emb 51,Yes,NA,NA,NA,NA
52,,http://doi.org/10.2989/SALALS.2009.27.1.5.753,Making connections through reflection: Writing and feedback in an academic literacy programme,2009,"Granville, S., Dison, L.",Pre-OS,emb 52,Yes,NA,NA,NA,NA
53,,http://doi.org/10.1044/1092-4388(2008/08-0119),Effects of loud and amplified speech on sentence and word intelligibility in Parkinson disease,2009,"Neel, A.T.",Pre-OS,emb 53,Yes,NA,NA,NA,NA
54,,http://doi.org/10.1111/j.1467-9434.2009.00542.x,A parable of misrecognition: Anagnorisis and the return of the repressed from the gulag,2009,"Etkind, A.",Pre-OS,emb 54,No,literature/history,NA,NA,NA
55,,http://doi.org/10.1080/02702710802411620,Readers’ theater: A process of developing fourth-graders’ reading fluency,2009,"Clark, R., Morrison, T.G., Wilcox, B.",Pre-OS,emb 55,Yes,NA,NA,NA,NA
56,,http://doi.org/10.1007/s10993-009-9127-x,From protector to producer: The role of the State in the discursive shift from minority rights to economic development,2009,"Da Silva, E., Heller, M.",Pre-OS,emb 56,No,politics,NA,NA,NA
57,,http://doi.org/10.1044/1092-4388(2008/07-0179),Parameters to maximize 2f2-f1 distortion product otoacoustic emission levels,2008,"Horn, J.H., Pratt, S.R., Durrant, J.D.",Pre-OS,emb 57,No,audiology,NA,NA,NA
58,,http://doi.org/10.1177/1750481308095937,The interpersonal dynamics of call-centre interactions: Co-constructing the rise and fall of emotion,2008,"Hood, S., Forey, G.",Pre-OS,emb 58,Yes,NA,NA,NA,NA
59,,http://doi.org/10.1080/17489530903399160,Teaching evidence-based practice in a problem-based learning course in speech-language pathology,2009,"Raghavendra, P.",Pre-OS,emb 59,No,teaching,NA,NA,NA
60,,http://doi.org/10.1080/13670050802149531,Integration in two-way immersion education: Equalising linguistic benefits for all students,2009,"Jong, E.D., Howard, E.",Pre-OS,emb 60,Yes,NA,NA,NA,NA
61,,http://doi.org/10.1177/0075424208321142,"\""Which way?\"": Difficult options for vulnerable witnesses in Australian Aboriginal land claim and native title cases",2008,"Walsh, M.",Pre-OS,emb 61,No,legal studies,NA,NA,NA
62,,http://doi.org/,"Metaphor, mythology, and a navajo verb: The role of cultural constructs in the Lexicography of Endangered Languages",2009,"Field, M.C.",Pre-OS,emb 62,Yes,NA,NA,NA,NA
63,,http://doi.org/10.1142/S1793351X09000902,Mapping verbal argument preferences to deverbal nouns,2009,"Gurevich, O., Waterman, S.A.",Pre-OS,emb 63,Yes,NA,NA,NA,NA
64,,http://doi.org/,"Crossing borders, shifting paradigms: New perspectives on American studies",2008,"Fellner, A.M.",Pre-OS,emb 64,No,american studies,NA,NA,NA
65,,http://doi.org/10.2104/aral0924,A study of EL2 pilots' radio communication in the general aviation environment,2009,"Estival, D., Molesworth, B.",Pre-OS,emb 65,Yes,NA,NA,NA,NA
66,,http://doi.org/10.1515/LING.2008.016,The semantics of particles: Advantages of a contrastive and panchronic approach: A study of the polysemy of French déjà and Italian già,2008,"Hansen, M.-B.M., Strudsholm, E.",Pre-OS,emb 66,Yes,NA,NA,NA,NA
67,,http://doi.org/10.1093/notesj/gjp211,Ruth 3:15 - The 'he' and 'she' bibles,2009,"Shaheen, N.",Pre-OS,emb 67,No,history,NA,NA,NA
68,,http://doi.org/10.1016/j.pragma.2008.12.010,"Towards a unified theory of 'if\""s-The theory of conditional elements: Further evidence from conditionally self-falsifying utterances",2009,"Fulda, J.S.",Pre-OS,emb 68,Yes,NA,NA,NA,NA
69,,http://doi.org/10.1016/j.pragma.2007.10.007,Pre-empting 'trouble' in the homoeopathic consultation,2008,"Chatwin, J.",Pre-OS,emb 69,No,medicine,NA,NA,NA
70,,http://doi.org/10.1016/j.langsci.2008.12.008,Colloquial Hebrew imperatives revisited,2009,"Bolozky, S.",Pre-OS,emb 70,Yes,NA,NA,NA,NA
71,,http://doi.org/10.1179/007871909x475616,"Wenn man im Falle Weimars vom \""osten\"" sprechen darf': Memory and Place in the New Bundesländer",2009,"Paver, C.",Pre-OS,emb 71,No,history,NA,NA,NA
72,,http://doi.org/10.1353/bhs.0.0012,Memory in creation: The context of Rojas's literary recollection,2009,"Weiss, J.",Pre-OS,emb 72,No,literature,NA,NA,NA
73,,http://doi.org/,Language learning through tasks in a Content and Language Integrated Learning (CLIL) science classroom,2009,"Urmeneta, C.E., Sola, A.S.",Pre-OS,emb 73,Yes,NA,NA,NA,NA
74,,http://doi.org/10.1007/s10583-008-9074-8,Co-sleeping and the importation of picture books about bedtime,2009,"Chou, W.-H.",Pre-OS,emb 74,Unsure,about bedtime books,NA,NA,NA
75,,http://doi.org/10.1037/a0014555,"Additivity of Factor Effects in Reading Tasks Is Still a Challenge for Computational Models: Reply to Ziegler, Perry, and Zorzi (2009)",2009,"Besner, D., O'Malley, S.",Pre-OS,emb 75,Yes,NA,NA,NA,NA
76,,http://doi.org/10.1080/14992020801895144,LIST and LINT: Sentences and numbers for quantifying speech understanding in severely impaired listeners for Flanders and the Netherlands,2008,"Van Wieringen, A., Wouters, J.",Pre-OS,emb 76,Yes,NA,NA,NA,NA
77,,http://doi.org/10.1016/j.cognition.2008.10.011,Both motor prediction and conceptual congruency between preview and action-effect contribute to explicit judgment of agency,2009,"Sato, A.",Pre-OS,emb 77,No,perception/embodied cognition,NA,NA,NA
78,,http://doi.org/10.1080/15434300902801917,Q-matrix construction: Defining the link between constructs and test items in large-scale reading and listening comprehension assessments,2009,"Sawaki, Y., Kim, H.-J., Gentile, C.",Pre-OS,emb 78,Yes,NA,NA,NA,NA
79,,http://doi.org/10.1177/1461445608091884,The pragmatics of Akan greetings,2008,"Agyekum, K.",Pre-OS,emb 79,Yes,NA,NA,NA,NA
80,,http://doi.org/10.1177/0261927X08330608,Epilogue,2009,"Gallois, C.",Pre-OS,emb 80,No,editorial,NA,NA,NA
81,,http://doi.org/10.1080/00138380903180884,"\""love's bitter mystery\"": Stephen dedalus, drowning, and the burden of guilt in ulysses",2009,"Edmundson, M.",Pre-OS,emb 81,No,literature,NA,NA,NA
82,,http://doi.org/10.1086/596623,The salaries of judges in early Islam: The evidence of the documentary and literary sources,2009,"Al-Qadcombining dot belowi, W.",Pre-OS,emb 82,No,literature/history,NA,NA,NA
83,,http://doi.org/10.1007/s10583-008-9079-3,"\""we cooperate, or Die\"": Sustainable coexistence in terry pratchett's the amazing maurice and his educated rodents",2009,"Oziewicz, M.",Pre-OS,emb 83,No,literature,NA,NA,NA
84,,http://doi.org/10.17239/l1esll-2008.08.01.03,"\""Coming to know\"": Weaving aboriginal and western science knowledge, language, and literacy into the science classroom",2008,"Snively, G.J., Williams, L.B.",Pre-OS,emb 84,Yes,NA,NA,NA,NA
85,,http://doi.org/10.1080/10131750802348426,Conrad's ‘Embedded’ narratives,2008,"Fincham, G.",Pre-OS,emb 85,No,literature,NA,NA,NA
86,,http://doi.org/10.1075/pc.17.3.06tri,Languaging in Shakespeare's theatre,2009,"Tribble, E.",Pre-OS,emb 86,Unsure,literature but about the words,NA,NA,NA
87,,http://doi.org/10.1016/j.bandl.2009.03.001,The pars triangularis in dyslexia and ADHD: A comprehensive approach,2009,"Kibby, M.Y., Kroese, J.M., Krebbs, H., Hill, C.E., Hynd, G.W.",Pre-OS,emb 87,Yes,NA,NA,NA,NA
88,,http://doi.org/10.1558/cj.v26i2.231-245,"The relationship between scrolling, negotiation, and self-initiated self-repair in an SCMC environment",2009,"Smith, B.",Pre-OS,emb 88,Yes,NA,NA,NA,NA
89,,http://doi.org/,Pre-paid literacy: Negotiating the cost of adolescent mobile technology use,2009,"Taylor, C.",Pre-OS,emb 89,No Access,cannot find article,NA,NA,NA
90,,http://doi.org/10.1016/j.jml.2007.06.013,Anticipatory effects of intonation: Eye movements during instructed visual search,2008,"Ito, K., Speer, S.R.",Pre-OS,emb 90,Yes,NA,NA,NA,NA
91,,http://doi.org/,"Bilingual dictionaries, the lexicographer and the translator",2008,"Gauton, R.",Pre-OS,emb 91,Yes,NA,NA,NA,NA
92,,http://doi.org/10.1007/s11525-009-9127-8,Clausal order and the acquisition of Dutch deverbal compounds,2008,"Brisard, F., Laarman, E., Nicoladis, E.",Pre-OS,emb 92,Yes,NA,NA,NA,NA
93,,http://doi.org/,Financial report of the secretary-treasurer for 2008,2009,"Jensen, R.L.",Pre-OS,emb 93,No,Editorial,NA,NA,NA
94,,http://doi.org/10.1016/j.bandl.2008.07.001,Putative sex differences in verbal abilities and language cortex: A critical review,2009,"Wallentin, M.",Pre-OS,emb 94,Yes,NA,NA,NA,NA
95,,http://doi.org/10.1080/09571730801988470,Instructional discourse in bilingual settings. An empirical study of linguistic adjustments in content and language integrated learning,2008,"Lorenzo, F.",Pre-OS,emb 95,Yes,NA,NA,NA,NA
96,,http://doi.org/10.1080/03634520802515713,Relational turning point events and their outcomes in college teacher-Student relationships from Students' perspectives,2009,"Docan-Morgan, T., Manusov, V.",Pre-OS,emb 96,Yes,NA,NA,NA,NA
97,,http://doi.org/10.1163/156852507X194746,Xerxes' hubris and darius in aeschylus' persae,2008,"Papadimitropoulos, L.",Pre-OS,emb 97,No,literature,NA,NA,NA
98,,http://doi.org/10.1080/13825570802151389,Coherence in translated television commercials,2008,"Valdés, C., Fuentes Luque, A.",Pre-OS,emb 98,Yes,NA,NA,NA,NA
99,,http://doi.org/10.1075/nowele.56-57.03val,On descriptions and perceptions of the north in ancient and early medieval geography,2009,"Valtonen, I.",Pre-OS,emb 99,No,history,NA,NA,NA
100,,http://doi.org/10.2478/v10121-009-0006-5,On adjectival connotations,2009,"Kjellmer, G.",Pre-OS,emb 100,Yes,NA,NA,NA,NA
101,,http://doi.org/10.1075/dia.26.1.04hae,Histories of english,2009,"Haeberli, E.",Pre-OS,iac 1,No,History/Literature,NA,NA,NA
102,,http://doi.org/10.1111/j.1468-2958.2009.01343.x,Adolescents' exposure to sexually explicit internet material and sexual satisfaction: A longitudinal study,2009,"Peter, J., Valkenburg, P.M.",Pre-OS,iac 2,No,Sexuality,NA,NA,NA
103,,http://doi.org/10.1016/j.jml.2008.02.005,Computing and recomputing discourse models: An ERP study,2008,"Baggio, G., van Lambalgen, M., Hagoort, P.",Pre-OS,iac 3,Yes,NA,NA,NA,NA
104,,http://doi.org/10.1558/sols.v3i1.115,Gendered talk at work. Constructing gender identity through workplace discourse. Janet Holmes (2006),2009,"Ferreira, V.A.",Pre-OS,iac 4,No,whole book on gendered talk,NA,NA,NA
105,,http://doi.org/10.1017/S0047404509990224,"Style, indexicality, and the social meaning of tag questions",2009,"Moore, E., Podesva, R.",Pre-OS,iac 5,Yes,NA,NA,NA,NA
106,,http://doi.org/10.1016/j.lingua.2007.10.015,Less form - more meaning: Why bare singular nouns are special,2009,"de Swart, H., Zwarts, J.",Pre-OS,iac 6,Yes,NA,NA,NA,NA
107,,http://doi.org/10.2478/v10010-008-0019-6,Representational handling of poznan-cracow voicing in government phonology,2008,"Michalski, G.",Pre-OS,iac 7,Yes,NA,NA,NA,NA
108,,http://doi.org/10.1080/01638530701792867,Overhearing single and multiple perspectives,2008,"Tree, J.E.F., Mayer, S.A.",Pre-OS,iac 8,Yes,NA,NA,NA,NA
109,,http://doi.org/10.1177/1750481307085576,Surging ahead to a new way forward: The metaphorical foreshadowing of a policy shift,2008,"Hobbs, P.",Pre-OS,iac 9,Yes,NA,NA,NA,NA
110,,http://doi.org/10.1515/ZFSW.2008.008,Rezensionsexemplare,2008,[No author name available],Pre-OS,iac 10,No,Not in English,NA,NA,NA
111,,http://doi.org/10.1080/09500780802691744,Using the 'improper' language in the classroom: The conflict between language use and legitimate varieties in education. Evidence from a Greek Cypriot classroom,2009,"Ioannidou, E.",Pre-OS,iac 11,Yes,NA,NA,NA,NA
112,,http://doi.org/,"\""To make seclusion pleasant\"": Censorship and subordination in Rasselas",2009,"Brooks, C.",Pre-OS,iac 12,No,Book review; Rasselas,NA,NA,NA
113,,http://doi.org/10.1177/0265532208101006,A meta-analysis of test format effects on reading and listening test performance: Focus on multiple-choice and open-ended formats,2009,"In'nami, Y., Koizumi, R.",Pre-OS,iac 13,Yes,NA,NA,NA,NA
114,,http://doi.org/10.1515/css-2009-0114,The value and definition of intertextuality,2009,"Li, Y.",Pre-OS,iac 14,Unsure,Intertextuality,NA,NA,NA
115,,http://doi.org/10.1177/0261927X07313656,The implicit meta-theory that has inspired and restricted LCM research: Why some studies were conducted but others not,2008,"Fiedler, K.",Pre-OS,iac 15,Yes,NA,NA,NA,NA
116,,http://doi.org/10.1515/TEXT.2009.014,Ethnography and democracy: Hymes's political theory of language,2009,"Blommaert, J.",Pre-OS,iac 16,No,lit review; politics,NA,NA,NA
117,,http://doi.org/10.1422/29055,"Ontologies of public administrations: Towards semantic social networks for citizens, administrations, and enterprises | Ontologie della pubblica amministrazione: Verso reti sociali semantiche per cittadini, amministrazioni e imprese",2009,"Gangemi, A.",Pre-OS,iac 17,No Access,can't find it,NA,NA,NA
118,,http://doi.org/10.1177/0265659008098662,The content of children's definitions: The oral-written distinction,2009,"Marinellie, S.A.",Pre-OS,iac 18,Yes,NA,NA,NA,NA
119,,http://doi.org/10.1080/07908310802385949,"Language learning, heritage, and literacy in the USA: The case of Arabic",2008,"Sehlaoui, A.S.",Pre-OS,iac 19,Unsure,culture,NA,NA,NA
120,,http://doi.org/10.1515/tlir.2009.004,Recursive linearization,2009,"Kremers, J.",Pre-OS,iac 20,Yes,NA,NA,NA,NA
121,,http://doi.org/10.1111/j.1756-8765.2008.01003.x,The Place of Modeling in Cognitive Science,2009,"Mcclelland, J.L.",Pre-OS,iac 21,No,Cognition; not language-specific,NA,NA,NA
122,,http://doi.org/10.1093/res/hgn107,"Gerard Manley Hopkins, plainsong and the performance of poetry",2009,"Coren, P.",Pre-OS,iac 22,No,Verse review; Hopkins,NA,NA,NA
123,,http://doi.org/10.1080/23268263.2009.10767593,Essay Stress and the Voice: The Mind-Body Connection,2009,"DeVore, K.",Pre-OS,iac 23,No,Voice & Stress; not language,NA,NA,NA
124,,http://doi.org/10.1093/elt/ccp030,A tale of two songs: Singapore versus Hong Kong,2009,"Kirkpatrick, A., Moody, A.",Pre-OS,iac 24,Yes,NA,NA,NA,NA
125,,http://doi.org/10.1016/j.pragma.2007.05.001,Proximal' and 'distal' in language and cognition: Evidence from deictic demonstratives in Dutch,2008,"Piwek, P., Beun, R.-J., Cremers, A.",Pre-OS,iac 25,Yes,NA,NA,NA,NA
126,,http://doi.org/10.1080/15434300802606499,Language assessment in the management of international migration: A framework for considering the issues,2009,"Saville, N.",Pre-OS,iac 26,Unsure,migration & language assessement,NA,NA,NA
127,,http://doi.org/10.1016/j.system.2007.10.006,The role of linguistic knowledge in word-meaning inferencing,2008,"Kaivanpanah, S., Alavi, S.M.",Pre-OS,iac 27,Yes,NA,NA,NA,NA
128,,http://doi.org/10.2307/43630593,"Abduction, surgery, madness: An account of a little red man in Thomas Walsingham's Chronica maiora",2008,"Wade, J.",Pre-OS,iac 28,No,Lit review,NA,NA,NA
129,,http://doi.org/10.1017/S1138741600001955,"Social support, Burnout Syndrome and occupational exhaustion among Mexican traffic police agents",2009,"Beltrán, C.A., Moreno, M.P., Estrada, J.G.S., López, T.M.T., Rodríguez, M.G.A.",Pre-OS,iac 29,No,Police Stress;no language,NA,NA,NA
130,,http://doi.org/10.1111/j.1749-818X.2007.00038.x,Variation and morphosyntactic theory: Competition fractionated,2008,"Embick, D.",Pre-OS,iac 30,Yes,NA,NA,NA,NA
131,,http://doi.org/10.2478/v10122-009-0004-z,Typological assessment of reconstruction: Did indo-european have inclusive and exclusive first person plural personal pronouns?,2009,"Shields, K.",Pre-OS,iac 31,Yes,NA,NA,NA,NA
132,,http://doi.org/10.1093/ijl/ecn021,The Lexis of electronic gaming on the Web: A sinclairian approach,2008,"Ooi, V.B.Y.",Pre-OS,iac 32,Yes,NA,NA,NA,NA
133,,http://doi.org/,Observations on the use of manual signs and gestures in the communicative interactions between native Americans and Spanish explorers of North America: The Accounts of Bernal díaz del Castillo and álvar núnẽz Cabeza de Vaca,2008,"Bonvillian, J.D., Ingram, V.L., McCleary, B.M.",Pre-OS,iac 33,Unsure,nonverbal communication,NA,NA,NA
134,,http://doi.org/10.1598/RT.63.4.3,Digital storytelling: Extending the potential for struggling writers,2009,"Sylvester, R., Greenidge, W.-L.",Pre-OS,iac 34,No,computer literacy,NA,NA,NA
135,,http://doi.org/10.1515/COGL.2009.002,Caused motion'? the semantics of the English to-dative and the Dutch aan-dative,2009,"Colleman, T., De Clerck, B.",Pre-OS,iac 35,No Access,can't find it,NA,NA,NA
136,,http://doi.org/10.1075/is.9.2.03bar,The carrot and the stick: The role of praise and punishment in human-robot interaction,2008,"Bartneck, C., Reichenbach, J., Carpenter, J.",Pre-OS,iac 36,No,Praise/punishement in game,NA,NA,NA
137,,http://doi.org/10.1007/s10462-009-9131-8,Intelligent agent based artificial immune system for computer security-a review,2009,"Ramakrishnan, S., Srinivasan, S.",Pre-OS,iac 37,No,Cybersecurity,NA,NA,NA
138,,http://doi.org/10.1353/ajp.2008.0014,Libertas reverentiam remisit: Politics and metaphor in Statius Silvae 1.6,2008,"Chinn, C.",Pre-OS,iac 38,No,lit review; poetry,NA,NA,NA
