ID,Authors,Title,Year,Source.title,Volume,Issue,clickable_doi,unpaywall,scholar,linguistics,reason,erin code,reason,rand,year,count
3ebe0b98,"Snively, G.J., Williams, L.B.","\Coming to know\"": Weaving aboriginal and western science knowledge, language, and literacy into the science classroom""",2008,L1 Educational Studies in Language and Literature,8,1,http://doi.org/10.17239/l1esll-2008.08.01.03,yes,NA,maybe? ,not just English,no, education perspective,0.50369165,TRUE,9
12c34189,"Hunter, Z.R., Brysbaert, M.",Theoretical analysis of interhemispheric transfer costs in visual word recognition,2008,Language and Cognitive Processes,23,1,http://doi.org/10.1080/01690960701579813,yes,NA,yes,,yes,,0.03248768,TRUE,10
265acc69,"Robbins, J., Butler, S.G., Daniels, S.K., Gross, R.D., Langmore, S., Lazarus, C.L., Martin-Harris, B., McCabe, D., Musson, N., Rosenbek, J.C.",Swallowing and dysphagia rehabilitation: Translating principles of neural plasticity into clinically oriented evidence,2008,"Journal of Speech, Language, and Hearing Research",51,1,http://doi.org/10.1044/1092-4388(2008/021),no,yes,NA,Nervous system rehabilitation,no,biology,0.48689016,TRUE,11
63d1964b,"Sikka, T.",Ballistic missile defense and articulation theory an analysis of technology using a cultural studies approach,2008,Journal of Language and Politics,7,1,http://doi.org/10.1075/jlp.7.1.06sik,no,yes,NA,politics,yes,rhetoric analysis,0.54800173,TRUE,12
bdff3328,"Ferguson, G.",What next? Towards an agenda for classroom codeswitching research,2009,International Journal of Bilingual Education and Bilingualism,12,2,http://doi.org/10.1080/13670050802153236,no,yes,yes,,yes,,0.72347635,TRUE,13
057e3942,"Taboada, M., Zabala, L.H.",Deciding on units of analysis within Centering Theory,2008,Corpus Linguistics and Linguistic Theory,4,1,http://doi.org/10.1515/CLLT.2008.003,no,yes,yes,,yes,,0.82259987,TRUE,14
dc644515,"Jo Smith, T.",Komastai or ‘hephaistoi’? Visions of comic parody in archaic Greece,2009,Bulletin of the Institute of Classical Studies,52,1,http://doi.org/10.1111/j.2041-5370.2009.tb00747.x,no,yes,perhaps not,greek literature,no,literature interpretation,0.35891295,TRUE,15
016b8ada,"Harte, J., Frizelle, P., Gibbon, F.",The effect of different speaker accents on sentence comprehension in children with speech sound disorder,2018,Clinical Linguistics and Phonetics,32,8,http://doi.org/10.1080/02699206.2017.1419379,no,yes,yes,,yes,,0.34195862,FALSE,7
f30df8ee,"Plakans, L., Liao, J.-T., Wang, F.",Integrated assessment research: Writing-into-reading,2018,Language Teaching,51,3,http://doi.org/10.1017/S0261444818000149,no,no,yes,,yes,,0.63571,FALSE,8
0b556118,"Post, M.",Adjectives in Thai: Implications for a functionalist typology of word classes,2008,Linguistic Typology,12,3,http://doi.org/10.1515/LITY.2008.041,yes,NA,yes,,yes,,0.50659725,TRUE,16
8ea10bfc,"Butterworth, E.",Apothecaries' cornets: Books as waste paper in the Renaissance,2018,MLN - Modern Language Notes,133,4,http://doi.org/10.1353/mln.2018.0059,yes,NA,perhaps not,French literature,no,history and literature,0.03106634,FALSE,9
9168a69a,"Rand, E.J.","An inflammatory fag and a queer form: Larry Kramer, polemics, and rhetorical agency",2008,Quarterly Journal of Speech,94,3,http://doi.org/10.1080/00335630802210377,no,yes,maybe?,polemics,yes,discourse analysis,0.65283039,TRUE,17
fe52490a,"Absillis, K.","From now on we speak civilized Dutchgcirc: The authors of flanders, the language of the Netherlands, and the readers of A. manteau",2009,Language and Literature,18,3,http://doi.org/10.1177/0963947009105853,no,yes,perhaps not,literature ,no,literature interpretation,0.28017646,TRUE,18
b73320d1,"Gagliardi, P.",Adonis and Augustan poets,2018,Acta Antiqua Academiae Scientiarum Hungaricae,58,4-Jan,http://doi.org/10.1556/068.2018.58.1-4.42,no,no,NA,completely unavaliable,NA,,0.23927337,FALSE,10
4f20cb05,"Hongladarom, K.",Indexicality in Thai and in Tibetan: Implications for a Buddhism grounded approach,2009,Journal of Pragmatics,41,1,http://doi.org/10.1016/j.pragma.2008.09.004,no,no,yes,,yes,,0.60354104,TRUE,19
4fee1a8b,"Saito, K., Tran, M., Suzukida, Y., Sun, H., Magne, V., Ilkan, M.","How do second language listeners perceive the comprehensibility of foreign-accented speech? Roles of first language profiles, second language proficiency, age, experience, familiarity, and metacognition",2019,Studies in Second Language Acquisition,41,5,http://doi.org/10.1017/S0272263119000226,no,no,yes,,yes,,0.06988978,FALSE,11
a004aec5,"Shahab, S., Rashidi, N., Seddighi, F., Yamini, M.",Peeling the onion: A textual CDA of research articles in humanities and basic sciences,2019,Journal of Research in Applied Linguistics,10,1,http://doi.org/10.22055/rals.2019.14181,yes,NA,yes,,yes,,0.01457409,FALSE,12
203923ae,"Sreekumar, P.",Francis Whyte Ellis and the beginning of comparative Dravidian linguistics,2009,Historiographia Linguistica,36,1,http://doi.org/10.1075/hl.36.1.04sre,no,no,yes,,yes,,0.35130775,TRUE,20
3.01E+12,"Guillot, M.-N.",Freedoms and constraints in semi-institutional television discussions: The case of mixed format panel discussions,2008,Journal of Pragmatics,40,2,http://doi.org/10.1016/j.pragma.2007.07.016,no,no,yes,,yes,,0.55498933,TRUE,21
6e5882f6,"Wróblewska-Trochimiuk, E.",Performativity – politics – community | Performatywność – polityka – wspólnota,2019,Slavia Meridionalis,19,,http://doi.org/10.11649/sm.2190,yes,NA,maybe?,Performativity,no,lit review,0.85013982,FALSE,13
e1603b70,"Maciulewicz, J.",The pleasure of the eighteenth-century texts: The conflation of literary and critical discourse in the early novelistic tradition,2009,Studia Anglica Posnaniensia,45,2,http://doi.org/10.2478/v10121-009-0021-6,yes,NA,perhaps not, 18th C literature,no,literature interpretation,0.4719182,TRUE,22
9d6860b5,"Tutton, M.",When in means into: Towards an understanding of boundary-crossing in,2009,Journal of English Linguistics,37,1,http://doi.org/10.1177/0075424208329308,no,yes,yes,,yes,,0.84043201,TRUE,23
add985eb,"McCabe, P.J., Sheard, C., Code, C.",Communication impairment in the AIDS dementia complex (ADC): A case report,2008,Journal of Communication Disorders,41,3,http://doi.org/10.1016/j.jcomdis.2007.11.002,no,yes,yes,,yes,,0.20184103,TRUE,24
abc6070a,"Rossiter, M.J., Derwing, T.M., Manimtim, L.G., Thomson, R.I.",Oral fluency: The neglected component in the communicative language classroom,2009,Canadian Modern Language Review,66,4,http://doi.org/10.3138/cmlr.66.4.583,yes,NA,yes,,yes,,0.42079123,TRUE,25
4994fd08,"Glenberg, A.M., Mehta, S.",Constraint on covariation: It's not meaning,2008,Italian Journal of Linguistics,20,1,http://doi.org/,,,,,,,0.30697316,TRUE,
fecd074e,"Gearing, N., Roger, P.","‘I’m never going to be part of it’: identity, investment and learning Korean",2018,Journal of Multilingual and Multicultural Development,39,2,http://doi.org/10.1080/01434632.2017.1323909,no,yes,maybe?,identity & language learning,yes,L2 + socio,0.71095916,FALSE,14
adfaff61,"Burenhult, N., Levinson, S.C.",Language and landscape: a cross-linguistic perspective,2008,Language Sciences,30,3-Feb,http://doi.org/10.1016/j.langsci.2006.12.028,,,,,,,0.86626506,TRUE,
485af846,"Bonvillian, J.D., Ingram, V.L., McCleary, B.M.",Observations on the use of manual signs and gestures in the communicative interactions between native Americans and Spanish explorers of North America: The Accounts of Bernal díaz del Castillo and álvar núnẽz Cabeza de Vaca,2008,Sign Language Studies,9,2,http://doi.org/,,,,,,,0.21092715,TRUE,
56f53298,"Kupietz, M., Cosma, R., Witt, A.",The drukola project,2019,Revue Roumaine de Linguistique,64,3,http://doi.org/,yes,NA,yes,,yes,,0.08799494,FALSE,15
04effe9b,"Pearrow, M., Cosgrove, L.",The aftermath of combat-related PTSD: Toward an understanding of transgenerational trauma,2009,Communication Disorders Quarterly,30,2,http://doi.org/10.1177/1525740108328227,,,,,,,0.05056872,TRUE,
d044c763,"Rapetti, V.",Orrore e meraviglia: La narrazione autobiografica di Othello in Desdemona di Toni Morrison,2018,Altre Modernita,2018,19,http://doi.org/,yes,NA,NA,Not in English,NA,,0.97464292,FALSE,16
6847f10b,"Shirvan, M.E., Talebzadeh, N.",Foreign language anxiety and enjoyment in an imagined community,2018,Eurasian Journal of Applied Linguistics,4,2,http://doi.org/10.32601/ejal.464043,yes,NA,NA,open access link broken,NA,,0.03066578,FALSE,17
952b1f88,"Millar, R.M.",The origins and development of shetland dialect in light of dialect contact theories,2008,English World-Wide,29,3,http://doi.org/10.1075/eww.29.3.02mil,,,,,,,0.10238709,TRUE,
94943418,"Gibert, T.",MARGARET ATWOOD'S VISIONS AND REVISIONS OF THE WIZARD OF OZ,2019,Journal of English Studies,17,1,http://doi.org/10.18172/jes.3578,yes,NA,perhaps not,literature (Atwoods),no,literature interpretation,0.94117915,FALSE,18
77134dda,"Fincham, G.",Conrad's ‘Embedded’ narratives,2008,English Academy Review,25,2,http://doi.org/10.1080/10131750802348426,,,,,,,0.94124173,TRUE,
c66a5642,"Francez, N.",Diversification of Object-Languages for Propositional Logics,2018,"Journal of Logic, Language and Information",27,3,http://doi.org/10.1007/s10849-018-9266-6,no,no,yes,,yes,,0.50470168,FALSE,19
68726ae7,"Juthe, A.",Refutation by parallel argument,2009,Argumentation,23,2,http://doi.org/10.1007/s10503-008-9109-8,,,,,,,0.28609766,TRUE,
9ef03bef,"Wolny, R.W.","Multicultural Australia. Narratives of conflict, narratives of reconciliation: From politicians’ speeches to stolen generations narratives",2018,British and American Studies,24,,http://doi.org/,no,yes,perhaps not,literature,no,history,0.85917459,FALSE,20
63ce1b15,"Howell, P., Davis, S., Bartrip, J.",The university college london archive of stuttered speech (UCLASS),2009,"Journal of Speech, Language, and Hearing Research",52,2,http://doi.org/10.1044/1092-4388(2009/07-0129),,,,,,,0.70540709,TRUE,
4ed87a94,"Martin, M.",Wasting time in Ben Jonson's Epicoene,2008,Studies in Philology,105,1,http://doi.org/10.1353/sip.2008.0004,,,,,,,0.16928346,TRUE,
31abd118,"Jardine, A.",The Expressivity of Autosegmental Grammars,2019,"Journal of Logic, Language and Information",28,1,http://doi.org/10.1007/s10849-018-9270-x,no,no,NA,completely unavaliable,NA,,0.68861546,FALSE,21
37cc32aa,"Kuczok, M.",The biblical metaphors of SIN: A cognitive-semantic perspective on the english version of the Bible,2018,Linguistica Silesiana,39,,http://doi.org/10.24425/linsi.2018.124576,no,yes,yes,,yes,,0.34916023,FALSE,22
206a8fa1,"Pivovarov, E.",Mr. Rodionoff has taken his drop in prestige well,2018,Slavic and East European Information Resources,19,2-Jan,http://doi.org/10.1080/15228886.2018.1467700,no,no,perhaps not,Slavic literature,no,history and literature,0.14646206,FALSE,23
e754dd1b,"Belardinelli, F., Lomuscio, A.",Quantified epistemic logics for reasoning about knowledge in multi-agent systems,2009,Artificial Intelligence,173,10-Sep,http://doi.org/10.1016/j.artint.2009.02.003,,,,,,,0.8634645,TRUE,
be348a8e,"Feysa, M.",The Bachka-SREM rusin animal idioms and their english equivalents,2019,Rusin,56,,http://doi.org/10.17223/18572685/56/15,no,no,NA,Not in English,NA,,0.8667535,FALSE,24
cb0d39e6,"Macura-Nnamdi, E.","Omar Khadr, Guantánamo and carceral gastronomy",2018,European Journal of English Studies,22,2,http://doi.org/10.1080/13825577.2018.1478259,no,yes,NA,politics,no,politics,0.78570671,FALSE,25
69cbcb62,"Albuquerque, S.J.","Challenging Lusofonia: Transnationality, translationality, and appropriation in Tulio Carella’s orgía/orgia and Hermilo Borba Filho’s Deus no pasto",2019,Journal of Lusophone Studies,4,1 Special Issue,http://doi.org/10.21471/jls.v4i1.304,,,,,,,0.37776733,FALSE,
da4660f6,"Jordan, J.W.",Reshaping the pillow angel: Plastic bodies and the rhetoric of normal surgical solutions,2009,Quarterly Journal of Speech,95,1,http://doi.org/10.1080/00335630802621060,,,,,,,0.11599628,TRUE,
6578ed45,"Freidenreich, D.M.","Sharing meals with non-Christians in canon law commentaries, circa 1160-1260: A case study in legal development",2008,Medieval Encounters,14,1,http://doi.org/10.1163/138078507X254730,,,,,,,0.76402291,TRUE,
52f10874,"Hüttenrauch, H., Topp, E.A., Eklundh, K.S.",The art of gate-crashing bringing HRI into users homes,2009,Interaction Studies,10,3,http://doi.org/10.1075/is.10.3.02hut,,,,,,,0.65375064,TRUE,
ace09968,"Medved, C.E.",Reading with my mother: Books as objects,2019,Departures in Critical Qualitative Research,8,2,http://doi.org/10.1525/dcqr.2019.8.2.44,,,,,,,0.68176041,FALSE,
e0940dce,"Da Silva Freitas, T.M., Prudente, B.D.S., De Freitas, D.T.H., Benone, N.L., Leão, H., Dutra, G.M., De Assis Montag, L.F.",Fishes of caxiuanã national forest: 20 years (1993 to 2012) of sampling in a protected area in the Eastern Amazon,2018,Boletim do Museu Paraense Emilio Goeldi:Ciencias Humanas,13,2,http://doi.org/,,,,,,,0.0597951,FALSE,
cf00e89f,"Ivačič, Ž.J., Kadunc, B., Mlakar, Š., Schmid, Š.",Accessibility of the constitution of the Republic of Slovenia for persons with intellectual disabilities -Dilemmas and challenges | Dostopnost Ustave RS za ljudi z motnjami v duševnem razvoju -Dileme in izzivi,2018,Slavia Centralis,,2,http://doi.org/,,,,,,,0.23004299,FALSE,
b571a8b3,"Siegl, F.",A note on personal pronouns in Enets and Northern Samoyedic,2008,Linguistica Uralica,44,2,http://doi.org/10.3176/lu.2008.2.04,,,,,,,0.64623256,TRUE,
65cae563,"Lorenzo, F.",Instructional discourse in bilingual settings. An empirical study of linguistic adjustments in content and language integrated learning,2008,Language Learning Journal,36,1,http://doi.org/10.1080/09571730801988470,,,,,,,0.87662915,TRUE,
7bb1d7c9,"Lassen, A.",Perseverance and Purity in Flóamanna saga,2019,Journal of English and Germanic Philology,118,3,http://doi.org/10.5406/JENGLGERMPHIL.118.3.0313,,,,,,,0.10549176,FALSE,
8548ebe6,"Li, X., Liu, H.",Root and phrasal diminutive markers in gan Chinese,2019,Studia Linguistica,73,1,http://doi.org/10.1111/stul.12089,,,,,,,0.94783005,FALSE,
5db6f4c2,"Marcińczuk, M., Wawer, A.",Named entity recognition for Polish,2019,Poznan Studies in Contemporary Linguistics,55,2,http://doi.org/10.1515/psicl-2019-0010,,,,,,,0.34981247,FALSE,
0763af57,"Davydova, J.",Quotative like in the Englishes of the Outer and Expanding Circles,2019,World Englishes,38,4,http://doi.org/10.1111/weng.12404,,,,,,,0.78062179,FALSE,
52f65c6c,"Dougherty, D.S., Schraedley, M.A., Gist-Mackey, A.N., Wickert, J.","A Photovoice study of food (in)security, unemployment, and the discursive-material dialectic",2018,Communication Monographs,85,4,http://doi.org/10.1080/03637751.2018.1500700,,,,,,,0.29594782,FALSE,
d95fb036,"Hudíková, S., Malá, J.",Tractatus de matrimonio ad robertum,2018,Graeco-Latina Brunensia,23,1,http://doi.org/10.5817/GLB2018-1-4,,,,,,,0.71211002,FALSE,
4c4dcbe6,"Jetnikoff, A.","Digital storytelling, podcasts, blogs and vlogs: Exploring a range of new media texts and forms in English",2009,English in Australia,44,2,http://doi.org/,,,,,,,0.19105969,TRUE,
bad824a4,"Magazzù, G.","Transferring multilingual humour intralingually: The case of \Big Night\""""",2019,European Journal of Humour Research,7,1,http://doi.org/10.7592/EJHR2019.7.1.magazzu,,,,,,,0.35286038,FALSE,
dd2c569a,"Drew, S.V., Thomas, J.",Secondary science teachers’ implementation of CCSS and NGSS literacy practices: a survey study,2018,Reading and Writing,31,2,http://doi.org/10.1007/s11145-017-9784-7,,,,,,,0.11576978,FALSE,
36375f6e,"Walicek, J.",Strange showes: Spenser's double vision of imperial and papal vanities,2008,Studies in Philology,105,3,http://doi.org/,,,,,,,0.10272062,TRUE,
56dfa146,"Garzone, G.E.",Scientific knowledge and legislative drafting: Focus on surrogacy laws,2018,Languages Cultures Mediation,5,1,http://doi.org/10.7358/lcm-2018-001-garz,,,,,,,0.8365581,FALSE,
a4cc2662,"Deely, J.",The full vista of the action of signs-from semiosis to semioethics,2009,Chinese Semiotic Studies,1,1,http://doi.org/10.1515/css-2009-0020,,,,,,,0.85176602,TRUE,
289bed4a,"De Garavito, J.B.",The prosodic transfer hypothesis possible application to Spanish clitics,2019,Linguistic Approaches to Bilingualism,9,6,http://doi.org/10.1075/lab.19067.bru,,,,,,,0.01608267,FALSE,
c362590f,"Cullip, P.F.",A tale of two texts: Tracking developments in learner writing,2009,RELC Journal,40,2,http://doi.org/10.1177/0033688209105866,,,,,,,0.27903357,TRUE,
e9c81f4c,"Manan, S.A.",Myth of English teaching and learning: a study of practices in the low-cost schools in Pakistan,2019,Asian Englishes,21,2,http://doi.org/10.1080/13488678.2018.1503041,,,,,,,0.99016247,FALSE,
606692be,"Theriot, S., Tice, K.C.",Teachers' knowledge development and change: Untangling beliefs and practices,2009,Literacy Research and Instruction,48,1,http://doi.org/10.1080/19388070802226287,,,,,,,0.63561612,TRUE,
bbae12c9,"Cho, J.",Political Ads and citizen communication,2008,Communication Research,35,4,http://doi.org/10.1177/0093650208315976,,,,,,,0.78538852,TRUE,
e0434abb,"Szemán, R.K.",Slavic antiquities and forgeries as means for the shaping of Canons,2019,Studia Slavica Academiae Scientiarum Hungaricae,64,1,http://doi.org/10.1556/060.2019.64105,,,,,,,0.74317743,FALSE,
676fc4a8,"Rahman, R.A., Melinger, A.",Semantic context effects in language production: A swinging lexical network proposal and a review,2009,Language and Cognitive Processes,24,5,http://doi.org/10.1080/01690960802597250,,,,,,,0.58762198,TRUE,
8a999ece,"Peralta, M.D., Piñero, G.P., Domínguez, M.J.G.",Ideology and language selection in historical texts: The Spanish translation of History of the Conquest of Mexico by W.H. Prescott | Ideología y selección lingüística en los textos históricos Las traducciones españolas de History of the Conquest of Mexico de W. H. Prescott,2008,Babel,54,3,http://doi.org/,,,,,,,0.05299218,TRUE,
3bd02f04,"Hope, L., Gabbert, F.",Memory at the Sharp End: The Costs of Remembering With Others in Forensic Contexts,2019,Topics in Cognitive Science,11,4,http://doi.org/10.1111/tops.12357,,,,,,,0.28930891,FALSE,
7c0863e9,"Reis, L.",Odd couple(t)s: (The) Guiot (copy) and (the) Chrétien (corpus),2009,French Studies Bulletin,30,112,http://doi.org/10.1093/frebul/ktp023,,,,,,,0.27545877,TRUE,
856a3669,"In'nami, Y., Koizumi, R.",A meta-analysis of test format effects on reading and listening test performance: Focus on multiple-choice and open-ended formats,2009,Language Testing,26,2,http://doi.org/10.1177/0265532208101006,,,,,,,0.79449146,TRUE,
54563fea,"Thiong’o, N.W.",Translated by the author my life in between languages,2009,Translation Studies,2,1,http://doi.org/10.1080/14781700802496134,,,,,,,0.59039712,TRUE,
20dfa27d,"Rautakoski, P., Korpijaakko-Huuhka, A.-M., Klippi, A.",People with severe and moderate aphasia and their partners as estimators of communicative skills: A client-centred evaluation,2008,Aphasiology,22,12,http://doi.org/10.1080/02687030802374788,,,,,,,0.78903997,TRUE,
f4fc641b,"Mak, B., Coniam, D.",Using wikis to enhance and develop writing skills among secondary school students in Hong Kong,2008,System,36,3,http://doi.org/10.1016/j.system.2008.02.004,,,,,,,0.18169937,TRUE,
f8dda93c,"Tao, J.T., Gao, X.A.",Identity constructions of ESP teachers in a Chinese university,2018,English for Specific Purposes,49,,http://doi.org/10.1016/j.esp.2017.09.003,,,,,,,0.37168502,FALSE,
d1b249ab,"Milani, T.M.",Language testing and citizenship: A language ideological debate in Sweden,2008,Language in Society,37,1,http://doi.org/10.1017/S0047404508080020,,,,,,,0.7733153,TRUE,
1a1aac5d,"Majstorović, D.","Hansen, Lene. Security as practice discourse analysis and the bosnian war",2008,Journal of Language and Politics,7,3,http://doi.org/10.1075/jlp.7.3.08maj,,,,,,,0.89861787,TRUE,
fafee975,"Moghaddasi, S., Graves, H.A.B., Graves, R., Gutierrez, X.",“See Figure 1”: Visual moves in discrete mathematics research articles,2019,English for Specific Purposes,56,,http://doi.org/10.1016/j.esp.2019.08.001,,,,,,,0.02160385,FALSE,
33e8b084,"Blasco, E.","Carsten Sinner / Andreas Wesch (edd.), El castellano en las tierras de habla catalana",2009,Zeitschrift fur Romanische Philologie,125,4,http://doi.org/10.1515/zrph.2009.073,,,,,,,0.93149496,TRUE,
3f87ac2c,"Pell, M.D., Monetta, L.",How Parkinson's disease affects non-verbal communication and language processing,2008,Linguistics and Language Compass,2,5,http://doi.org/10.1111/j.1749-818X.2008.00074.x,,,,,,,0.19566491,TRUE,
2693d1ff,"Forrest, J., Wolfram, W.",The status of (ING) in African American Language: A quantitative analysis of social factors and internal constraints,2019,American Speech,94,1,http://doi.org/10.1215/00031283-7308049,,,,,,,0.96786305,FALSE,
1784b25b,"Namaziandost, E., Shatalebi, V., Nasri, M.",The impact of cooperative learning on developing speaking ability and motivation toward learning English,2019,Journal of Language and Education,5,3,http://doi.org/10.17323/jle.2019.9809,,,,,,,0.29415324,FALSE,
e91e4b42,"Terkourafi, M., Catedral, L., Haider, I., Karimzad, F., Melgares, J., Mostacero-Pinilla, C., Nelson, J., Weissman, B.",Uncivil Twitter: A sociopragmatic analysis,2018,Journal of Language Aggression and Conflict,6,1,http://doi.org/10.1075/jlac.00002.ter,,,,,,,0.21627162,FALSE,
459d7673,"Hollenback, G.M.",Polybius’ Description of the kestros,2009,Mnemosyne,62,3,http://doi.org/10.1163/156852509X339941,,,,,,,0.9134262,TRUE,
a780e998,"Smith-Lock, K.M., Nickels, L., Mortensen, L.",Story writing skills of adults with a history language-impairment,2009,Reading and Writing,22,6,http://doi.org/10.1007/s11145-008-9138-6,,,,,,,0.56194917,TRUE,
375070f6,"Downey, S.S., Hallmark, B., Cox, M.P., Norquest, P., Lansing, J.S.",Computational feature-sensitive reconstruction of language relationships: Developing the ALINE distance for comparative historical linguistic reconstruction,2008,Journal of Quantitative Linguistics,15,4,http://doi.org/10.1080/09296170802326681,,,,,,,0.76972464,TRUE,
7bdf59aa,"Norouzian, R., de Miranda, M., Plonsky, L.",The Bayesian Revolution in Second Language Research: An Applied Approach,2018,Language Learning,68,4,http://doi.org/10.1111/lang.12310,,,,,,,0.37684571,FALSE,
b51f1184,"Mooshammer, C., Tiede, M., Shattuck-Hufnagel, S., Goldstein, L.",Towards the Quantification of Peggy Babcock: Speech Errors and Their Position within the Word,2019,Phonetica,76,5,http://doi.org/10.1159/000494140,,,,,,,0.22926449,FALSE,
ef5ef2dc,"Fleckenstein, K.S., Spinuzzi, C., Rickly, R.J., Papper, C.C.",The importance of harmony: An ecological metaphor for writing research,2008,College Composition and Communication,60,2,http://doi.org/,,,,,,,0.61767376,TRUE,
6441865,"Wasserscheidt, P.","A usage-based approach to \language\"" in language contact""",2019,Applied Linguistics Review,,,http://doi.org/10.1515/applirev-2019-0032,,,,,,,0.36315811,FALSE,
f025da95,"Spowage, K.",Beyond “Fashoda Syndrome”: The Rwandan Civil War and the Politics of La Francophonie in Africa,2019,Language Matters,50,3,http://doi.org/10.1080/10228195.2019.1684978,,,,,,,0.77400284,FALSE,
e3087eca,"Pérez, A., Duñabeitia, J.A.",Speech perception in bilingual contexts: Neuropsychological impact of mixing languages at the inter-sentential level,2019,Journal of Neurolinguistics,51,,http://doi.org/10.1016/j.jneuroling.2019.04.002,,,,,,,0.68558425,FALSE,
647f4abc,"Milani, T.M., Johnson, S.",Language politics and legitimation crisis in Sweden: A Habermasian approach,2008,Language Problems and Language Planning,32,1,http://doi.org/10.1075/lplp.32.1.02mil,,,,,,,0.87218927,TRUE,
9f1990cf,"Wee, L.",The technologization of discourse and authenticity in English language teaching,2008,International Journal of Applied Linguistics,18,3,http://doi.org/10.1111/j.1473-4192.2008.00207.x,,,,,,,0.36114623,TRUE,
36fb4385,"Madisson, M.-L., Ventsel, A.",Groupuscular identity-creation in online-communication of the Estonian extreme right,2018,Semiotica,2018,222,http://doi.org/10.1515/sem-2016-0077,,,,,,,0.09784416,FALSE,
7fbec622,"Artmann, S.",Basic semiosis as code-based control,2009,Biosemiotics,2,1,http://doi.org/10.1007/s12304-008-9037-x,,,,,,,0.39074698,TRUE,
