"row_num","ID","clickable_doi","Title","Year","Authors","year_split"
15,"1d708c07","http://doi.org/10.1016/j.cognition.2008.09.006","A probabilistic corpus-based model of syntactic parallelism",2008,"Dubey, A., Keller, F., Sturt, P.","Pre-OS"
16,"8c948288","http://doi.org/10.1080/10570310701827604","Emotional reactions to and perceived effectiveness of media messages: Appraisal and message sensation value",2008,"Kang, Y., Cappella, J.N.","Pre-OS"
17,"201807ac","http://doi.org/10.1016/j.cogpsych.2008.01.001","An improved algorithm for predicting free recalls",2008,"Laming, D.","Pre-OS"
18,"f7d32e5f","http://doi.org/10.1080/14992020701703547","Universal newborn hearing screening: A question of evidence",2008,"Durieux-Smith, A., Fitzpatrick, E., Whittingham, J.","Pre-OS"
19,"953e268c","http://doi.org/","Adaptation of Greek feminine α-declension nouns ending in -η in Medieval Slavonic sources: The evidence of Croato-Glagolitic missals",2009,"Dimitrova, M.","Pre-OS"
20,"4b291010","http://doi.org/10.1111/j.1468-0017.2008.00354.x","William James, 'the world of sense' and trust in testimony",2008,"Harris, P.L., Richert, R.A.","Pre-OS"
21,"41cdead8","http://doi.org/10.1016/j.artint.2007.11.008","Complexity results and algorithms for possibilistic influence diagrams",2008,"Garcia, L., Sabbadin, R.","Pre-OS"
22,"0346337d","http://doi.org/10.1080/09588220802613781","When is it appropriate to talk? Managing overlapping talk in multi-participant voice-based chat rooms",2009,"Jenks, C.J.","Pre-OS"
23,"f2654cb6","http://doi.org/10.1093/fmls/cqp113","Une nouvelle révolution permanente: The making of African modernity in Sékou Touré's Guinea",2009,"Dave, N.","Pre-OS"
24,"44cf705f","http://doi.org/10.1017/s0008413100004503","Coercion without lexical decomposition: Type-shifting effects revisited",2008,"De Almeida, R.G., Dwivedi, V.D.","Pre-OS"
25,"342861bd","http://doi.org/10.1515/zrph.2008.073","Paola Benincà / Laura Vanelli, Linguistica friulana",2008,"Heinemann, S.","Pre-OS"
26,"4224f639","http://doi.org/10.1007/s11196-009-9113-9","Meaning, time and the law: Ex post and ex ante perspectives",2009,"Hutton, C.","Pre-OS"
27,"047a69fa","http://doi.org/10.1016/j.system.2008.02.004","Using wikis to enhance and develop writing skills among secondary school students in Hong Kong",2008,"Mak, B., Coniam, D.","Pre-OS"
28,"925a631b","http://doi.org/","El Libro de Recuerdos (Book of Memories): A Latina student's exploration of self and religion in public school",2009,"Reyes, C.C.","Pre-OS"
29,"45d033d0","http://doi.org/10.1598/RT.61.7.8","Lights, cameras, pencils! Using descriptive video to enhance writing",2008,"Hoffner, H., Baker, E., Quinn, K.B.","Pre-OS"
30,"03bc7180","http://doi.org/10.1016/j.jml.2007.08.004","How does knowledge promote memory? The distinctiveness theory of skilled memory",2008,"Rawson, K.A., Van Overschelde, J.P.","Pre-OS"
31,"a022b02e","http://doi.org/10.1080/19388160802711410","Are tour guides in china ready for the booming tourism industry?",2009,"Kong, H., Cheung, C., Baum, T.","Pre-OS"
32,"30e21b3b","http://doi.org/10.1044/1092-4388(2008/046)","Is parent-child interaction therapy effective in reducing stuttering?",2008,"Millard, S.K., Nicholas, A., Cook, F.M.","Pre-OS"
33,"1aef8bce","http://doi.org/","The importance of harmony: An ecological metaphor for writing research",2008,"Fleckenstein, K.S., Spinuzzi, C., Rickly, R.J., Papper, C.C.","Pre-OS"
34,"5e50d83e","http://doi.org/10.1080/14992020801991729","Clinical application of long-term intensity and pitch matches in fluctuating low-frequency hearing loss",2008,"Jonas Brännstrom, K., Grenner, J.","Pre-OS"
35,"2bc377da","http://doi.org/10.1017/S0142716407080101","Lexical frequency and third-graders' stress accuracy in derived English word production",2008,"Jarmulowicz, L., Taran, V.L., Hay, S.E.","Pre-OS"
36,"149b3172","http://doi.org/10.1016/j.cognition.2008.08.002","The link between speech perception and production is phonological and abstract: Evidence from the shadowing task",2008,"Mitterer, H., Ernestus, M.","Pre-OS"
37,"bd36726a","http://doi.org/10.1093/llc/fqn030","What text really is not, and why editors have to learn to swim",2009,"Robinson, P.","Pre-OS"
38,"b324e024","http://doi.org/10.1177/001458580804200204","The dying diva: Violent ends for Clara Calamai in Ossessione and Profondo rosso",2008,"Past, E.","Pre-OS"
39,"e569cf5d","http://doi.org/10.1163/157007208X265737","Genesis 1-3 as source for the anthropology of origen",2008,"Jacobsen, A.L.","Pre-OS"
40,"c5da0a2e","http://doi.org/10.1632/pmla.2009.124.5.1737","War is culture: Global counterinsurgency, visuality, and the Petraeus doctrine",2009,"Mirzoeff, N.","Pre-OS"
41,"110c9b7d","http://doi.org/10.1080/02666286.2008.10444072","Petrifaction and melancholia in dürer's lucretia",2008,"Hertel, C.","Pre-OS"
42,"0b0540e6","http://doi.org/10.1017/S1351324907004664","Automatic generation of weather forecast texts using comprehensive probabilistic generation-space models",2008,"Belz, A.","Pre-OS"
43,"09a75114","http://doi.org/10.1016/j.jcomdis.2007.10.003","University students' perceptions of pre-school and kindergarten children who stutter",2008,"Betz, I.R., Blood, G.W., Blood, I.M.","Pre-OS"
44,"571c9027","http://doi.org/10.1080/14992020701643800","Tone-evoked ABR in full-term and preterm neonates with normal hearing",2008,"Ribeiro, F.M., Carvallo, R.M.","Pre-OS"
45,"60fad671","http://doi.org/10.1016/j.jvlc.2009.04.005","Generic and reflective graph transformations for checking and enforcement of modeling guidelines",2009,"Legros, E., Amelunxen, C., Klar, F., Schürr, A.","Pre-OS"
46,"ae7b9f34","http://doi.org/10.1080/17489530903073336","Preference for specific manding topographies may emerge over time during functional communication training",2009,"Lang, R.","Pre-OS"
47,"dbe9017d","http://doi.org/","Voltaire's 'racine': The paradoxes of a transformation",2009,"Campbell, J.","Pre-OS"
48,"ea740780","http://doi.org/10.1007/s10988-010-9065-2","Presupposing acquaintance: A unified semantics for de dicto, de re and de se belief reports",2009,"Maier, E.","Pre-OS"
49,"1dd7221d","http://doi.org/10.1080/02699200801945120","The development of monophthongal vowels in Korean: Age and sex differences",2008,"Lee, S., Iverson, G.K.","Pre-OS"
50,"760148a7","http://doi.org/","Embracing wicked problems: The turn to design in composition studies",2009,"Marback, R.","Pre-OS"
51,"509dc446","http://doi.org/10.1017/S0266078408000254","Will CLT bail out the bogged down ELT in Bangladesh?",2008,"Hamid, M.O., Hamid, M.O., Baldauf, R.B.","Pre-OS"
52,"8170e696","http://doi.org/10.2989/SALALS.2009.27.1.5.753","Making connections through reflection: Writing and feedback in an academic literacy programme",2009,"Granville, S., Dison, L.","Pre-OS"
53,"902a08b1","http://doi.org/10.1044/1092-4388(2008/08-0119)","Effects of loud and amplified speech on sentence and word intelligibility in Parkinson disease",2009,"Neel, A.T.","Pre-OS"
54,"fffc3f14","http://doi.org/10.1111/j.1467-9434.2009.00542.x","A parable of misrecognition: Anagnorisis and the return of the repressed from the gulag",2009,"Etkind, A.","Pre-OS"
55,"c18386b8","http://doi.org/10.1080/02702710802411620","Readers’ theater: A process of developing fourth-graders’ reading fluency",2009,"Clark, R., Morrison, T.G., Wilcox, B.","Pre-OS"
56,"7d04ac5e","http://doi.org/10.1007/s10993-009-9127-x","From protector to producer: The role of the State in the discursive shift from minority rights to economic development",2009,"Da Silva, E., Heller, M.","Pre-OS"
57,"bf61ccbb","http://doi.org/10.1044/1092-4388(2008/07-0179)","Parameters to maximize 2f2-f1 distortion product otoacoustic emission levels",2008,"Horn, J.H., Pratt, S.R., Durrant, J.D.","Pre-OS"
58,"90f11384","http://doi.org/10.1177/1750481308095937","The interpersonal dynamics of call-centre interactions: Co-constructing the rise and fall of emotion",2008,"Hood, S., Forey, G.","Pre-OS"
59,"28239c02","http://doi.org/10.1080/17489530903399160","Teaching evidence-based practice in a problem-based learning course in speech-language pathology",2009,"Raghavendra, P.","Pre-OS"
60,"0e3e42b8","http://doi.org/10.1080/13670050802149531","Integration in two-way immersion education: Equalising linguistic benefits for all students",2009,"Jong, E.D., Howard, E.","Pre-OS"
61,"b4fe5daa","http://doi.org/10.1177/0075424208321142","\""Which way?\"": Difficult options for vulnerable witnesses in Australian Aboriginal land claim and native title cases",2008,"Walsh, M.","Pre-OS"
62,"39f7fee7","http://doi.org/","Metaphor, mythology, and a navajo verb: The role of cultural constructs in the Lexicography of Endangered Languages",2009,"Field, M.C.","Pre-OS"
63,"ab568dcc","http://doi.org/10.1142/S1793351X09000902","Mapping verbal argument preferences to deverbal nouns",2009,"Gurevich, O., Waterman, S.A.","Pre-OS"
64,"95667e01","http://doi.org/","Crossing borders, shifting paradigms: New perspectives on American studies",2008,"Fellner, A.M.","Pre-OS"
65,"5b30f988","http://doi.org/10.2104/aral0924","A study of EL2 pilots' radio communication in the general aviation environment",2009,"Estival, D., Molesworth, B.","Pre-OS"
66,"da82dbe2","http://doi.org/10.1515/LING.2008.016","The semantics of particles: Advantages of a contrastive and panchronic approach: A study of the polysemy of French déjà and Italian già",2008,"Hansen, M.-B.M., Strudsholm, E.","Pre-OS"
67,"1b3a7720","http://doi.org/10.1093/notesj/gjp211","Ruth 3:15 - The 'he' and 'she' bibles",2009,"Shaheen, N.","Pre-OS"
68,"35147373","http://doi.org/10.1016/j.pragma.2008.12.010","Towards a unified theory of 'if\""s-The theory of conditional elements: Further evidence from conditionally self-falsifying utterances",2009,"Fulda, J.S.","Pre-OS"
69,"10fa76d7","http://doi.org/10.1016/j.pragma.2007.10.007","Pre-empting 'trouble' in the homoeopathic consultation",2008,"Chatwin, J.","Pre-OS"
70,"e79c34ad","http://doi.org/10.1016/j.langsci.2008.12.008","Colloquial Hebrew imperatives revisited",2009,"Bolozky, S.","Pre-OS"
71,"1f16c73b","http://doi.org/10.1179/007871909x475616","'Wenn man im Falle Weimars vom \""osten\"" sprechen darf': Memory and Place in the New Bundesländer",2009,"Paver, C.","Pre-OS"
72,"45b0747d","http://doi.org/10.1353/bhs.0.0012","Memory in creation: The context of Rojas's literary recollection",2009,"Weiss, J.","Pre-OS"
73,"fff9fbc6","http://doi.org/","Language learning through tasks in a Content and Language Integrated Learning (CLIL) science classroom",2009,"Urmeneta, C.E., Sola, A.S.","Pre-OS"
74,"da4322a9","http://doi.org/10.1007/s10583-008-9074-8","Co-sleeping and the importation of picture books about bedtime",2009,"Chou, W.-H.","Pre-OS"
75,"67de56e6","http://doi.org/10.1037/a0014555","Additivity of Factor Effects in Reading Tasks Is Still a Challenge for Computational Models: Reply to Ziegler, Perry, and Zorzi (2009)",2009,"Besner, D., O'Malley, S.","Pre-OS"
76,"fdc9d6b4","http://doi.org/10.1080/14992020801895144","LIST and LINT: Sentences and numbers for quantifying speech understanding in severely impaired listeners for Flanders and the Netherlands",2008,"Van Wieringen, A., Wouters, J.","Pre-OS"
77,"6b1fbdaa","http://doi.org/10.1016/j.cognition.2008.10.011","Both motor prediction and conceptual congruency between preview and action-effect contribute to explicit judgment of agency",2009,"Sato, A.","Pre-OS"
78,"f9e8f885","http://doi.org/10.1080/15434300902801917","Q-matrix construction: Defining the link between constructs and test items in large-scale reading and listening comprehension assessments",2009,"Sawaki, Y., Kim, H.-J., Gentile, C.","Pre-OS"
79,"0b16ec12","http://doi.org/10.1177/1461445608091884","The pragmatics of Akan greetings",2008,"Agyekum, K.","Pre-OS"
80,"2de6f429","http://doi.org/10.1177/0261927X08330608","Epilogue",2009,"Gallois, C.","Pre-OS"
81,"528a27fd","http://doi.org/10.1080/00138380903180884","\""love's bitter mystery\"": Stephen dedalus, drowning, and the burden of guilt in ulysses",2009,"Edmundson, M.","Pre-OS"
82,"dd706d75","http://doi.org/10.1086/596623","The salaries of judges in early Islam: The evidence of the documentary and literary sources",2009,"Al-Qadcombining dot belowi, W.","Pre-OS"
83,"60fe15b1","http://doi.org/10.1007/s10583-008-9079-3","\""we cooperate, or Die\"": Sustainable coexistence in terry pratchett's the amazing maurice and his educated rodents",2009,"Oziewicz, M.","Pre-OS"
84,"9e6b6a1a","http://doi.org/10.17239/l1esll-2008.08.01.03","\""Coming to know\"": Weaving aboriginal and western science knowledge, language, and literacy into the science classroom",2008,"Snively, G.J., Williams, L.B.","Pre-OS"
85,"a0279475","http://doi.org/10.1080/10131750802348426","Conrad's ‘Embedded’ narratives",2008,"Fincham, G.","Pre-OS"
86,"286d9942","http://doi.org/10.1075/pc.17.3.06tri","Languaging in Shakespeare's theatre",2009,"Tribble, E.","Pre-OS"
87,"4626f7e3","http://doi.org/10.1016/j.bandl.2009.03.001","The pars triangularis in dyslexia and ADHD: A comprehensive approach",2009,"Kibby, M.Y., Kroese, J.M., Krebbs, H., Hill, C.E., Hynd, G.W.","Pre-OS"
88,"d1df7e5e","http://doi.org/10.1558/cj.v26i2.231-245","The relationship between scrolling, negotiation, and self-initiated self-repair in an SCMC environment",2009,"Smith, B.","Pre-OS"
89,"0e5e23d3","http://doi.org/","Pre-paid literacy: Negotiating the cost of adolescent mobile technology use",2009,"Taylor, C.","Pre-OS"
90,"e71f9172","http://doi.org/10.1016/j.jml.2007.06.013","Anticipatory effects of intonation: Eye movements during instructed visual search",2008,"Ito, K., Speer, S.R.","Pre-OS"
91,"ef9596c7","http://doi.org/","Bilingual dictionaries, the lexicographer and the translator",2008,"Gauton, R.","Pre-OS"
92,"5ba83feb","http://doi.org/10.1007/s11525-009-9127-8","Clausal order and the acquisition of Dutch deverbal compounds",2008,"Brisard, F., Laarman, E., Nicoladis, E.","Pre-OS"
93,"fc1db1ca","http://doi.org/","Financial report of the secretary-treasurer for 2008",2009,"Jensen, R.L.","Pre-OS"
94,"94a3a580","http://doi.org/10.1016/j.bandl.2008.07.001","Putative sex differences in verbal abilities and language cortex: A critical review",2009,"Wallentin, M.","Pre-OS"
95,"ca306313","http://doi.org/10.1080/09571730801988470","Instructional discourse in bilingual settings. An empirical study of linguistic adjustments in content and language integrated learning",2008,"Lorenzo, F.","Pre-OS"
96,"98e604d4","http://doi.org/10.1080/03634520802515713","Relational turning point events and their outcomes in college teacher-Student relationships from Students' perspectives",2009,"Docan-Morgan, T., Manusov, V.","Pre-OS"
97,"c5b1216b","http://doi.org/10.1163/156852507X194746","Xerxes' hubris and darius in aeschylus' persae",2008,"Papadimitropoulos, L.","Pre-OS"
98,"91c8d5b5","http://doi.org/10.1080/13825570802151389","Coherence in translated television commercials",2008,"Valdés, C., Fuentes Luque, A.","Pre-OS"
99,"1edeebc7","http://doi.org/10.1075/nowele.56-57.03val","On descriptions and perceptions of the north in ancient and early medieval geography",2009,"Valtonen, I.","Pre-OS"
100,"9d93dbbf","http://doi.org/10.2478/v10121-009-0006-5","On adjectival connotations",2009,"Kjellmer, G.","Pre-OS"
101,"e63a26ff","http://doi.org/10.1075/dia.26.1.04hae","Histories of english",2009,"Haeberli, E.","Pre-OS"
102,"8d7ffec2","http://doi.org/10.1111/j.1468-2958.2009.01343.x","Adolescents' exposure to sexually explicit internet material and sexual satisfaction: A longitudinal study",2009,"Peter, J., Valkenburg, P.M.","Pre-OS"
103,"86b621bc","http://doi.org/10.1016/j.jml.2008.02.005","Computing and recomputing discourse models: An ERP study",2008,"Baggio, G., van Lambalgen, M., Hagoort, P.","Pre-OS"
104,"083c7919","http://doi.org/10.1558/sols.v3i1.115","Gendered talk at work. Constructing gender identity through workplace discourse. Janet Holmes (2006)",2009,"Ferreira, V.A.","Pre-OS"
105,"2116a965","http://doi.org/10.1017/S0047404509990224","Style, indexicality, and the social meaning of tag questions",2009,"Moore, E., Podesva, R.","Pre-OS"
106,"3313a18a","http://doi.org/10.1016/j.lingua.2007.10.015","Less form - more meaning: Why bare singular nouns are special",2009,"de Swart, H., Zwarts, J.","Pre-OS"
107,"565d8b79","http://doi.org/10.2478/v10010-008-0019-6","Representational handling of poznan-cracow voicing in government phonology",2008,"Michalski, G.","Pre-OS"
108,"193e3857","http://doi.org/10.1080/01638530701792867","Overhearing single and multiple perspectives",2008,"Tree, J.E.F., Mayer, S.A.","Pre-OS"
109,"2df0bfbc","http://doi.org/10.1177/1750481307085576","Surging ahead to a new way forward: The metaphorical foreshadowing of a policy shift",2008,"Hobbs, P.","Pre-OS"
110,"d9b408ba","http://doi.org/10.1515/ZFSW.2008.008","Rezensionsexemplare",2008,"[No author name available]","Pre-OS"
111,"96f6b2bd","http://doi.org/10.1080/09500780802691744","Using the 'improper' language in the classroom: The conflict between language use and legitimate varieties in education. Evidence from a Greek Cypriot classroom",2009,"Ioannidou, E.","Pre-OS"
112,"6344c27f","http://doi.org/","\""To make seclusion pleasant\"": Censorship and subordination in Rasselas",2009,"Brooks, C.","Pre-OS"
113,"30fb3579","http://doi.org/10.1177/0265532208101006","A meta-analysis of test format effects on reading and listening test performance: Focus on multiple-choice and open-ended formats",2009,"In'nami, Y., Koizumi, R.","Pre-OS"
114,"0db40323","http://doi.org/10.1515/css-2009-0114","The value and definition of intertextuality",2009,"Li, Y.","Pre-OS"
115,"58049d3a","http://doi.org/10.1177/0261927X07313656","The implicit meta-theory that has inspired and restricted LCM research: Why some studies were conducted but others not",2008,"Fiedler, K.","Pre-OS"
116,"8267ab83","http://doi.org/10.1515/TEXT.2009.014","Ethnography and democracy: Hymes's political theory of language",2009,"Blommaert, J.","Pre-OS"
117,"620a04ea","http://doi.org/10.1422/29055","Ontologies of public administrations: Towards semantic social networks for citizens, administrations, and enterprises | Ontologie della pubblica amministrazione: Verso reti sociali semantiche per cittadini, amministrazioni e imprese",2009,"Gangemi, A.","Pre-OS"
118,"a934b552","http://doi.org/10.1177/0265659008098662","The content of children's definitions: The oral-written distinction",2009,"Marinellie, S.A.","Pre-OS"
119,"4d731b67","http://doi.org/10.1080/07908310802385949","Language learning, heritage, and literacy in the USA: The case of Arabic",2008,"Sehlaoui, A.S.","Pre-OS"
120,"eb8f30c8","http://doi.org/10.1515/tlir.2009.004","Recursive linearization",2009,"Kremers, J.","Pre-OS"
121,"7374ce3e","http://doi.org/10.1111/j.1756-8765.2008.01003.x","The Place of Modeling in Cognitive Science",2009,"Mcclelland, J.L.","Pre-OS"
122,"4cb50aa4","http://doi.org/10.1093/res/hgn107","Gerard Manley Hopkins, plainsong and the performance of poetry",2009,"Coren, P.","Pre-OS"
123,"34a200e9","http://doi.org/10.1080/23268263.2009.10767593","Essay Stress and the Voice: The Mind-Body Connection",2009,"DeVore, K.","Pre-OS"
124,"151a6fa0","http://doi.org/10.1093/elt/ccp030","A tale of two songs: Singapore versus Hong Kong",2009,"Kirkpatrick, A., Moody, A.","Pre-OS"
125,"8fea3671","http://doi.org/10.1016/j.pragma.2007.05.001","'Proximal' and 'distal' in language and cognition: Evidence from deictic demonstratives in Dutch",2008,"Piwek, P., Beun, R.-J., Cremers, A.","Pre-OS"
126,"98fa62e8","http://doi.org/10.1080/15434300802606499","Language assessment in the management of international migration: A framework for considering the issues",2009,"Saville, N.","Pre-OS"
127,"bbe3b391","http://doi.org/10.1016/j.system.2007.10.006","The role of linguistic knowledge in word-meaning inferencing",2008,"Kaivanpanah, S., Alavi, S.M.","Pre-OS"
128,"e3ae51d4","http://doi.org/10.2307/43630593","Abduction, surgery, madness: An account of a little red man in Thomas Walsingham's Chronica maiora",2008,"Wade, J.","Pre-OS"
129,"61c7fd7e","http://doi.org/10.1017/S1138741600001955","Social support, Burnout Syndrome and occupational exhaustion among Mexican traffic police agents",2009,"Beltrán, C.A., Moreno, M.P., Estrada, J.G.S., López, T.M.T., Rodríguez, M.G.A.","Pre-OS"
130,"4ef2213a","http://doi.org/10.1111/j.1749-818X.2007.00038.x","Variation and morphosyntactic theory: Competition fractionated",2008,"Embick, D.","Pre-OS"
131,"0a0f51a8","http://doi.org/10.2478/v10122-009-0004-z","Typological assessment of reconstruction: Did indo-european have inclusive and exclusive first person plural personal pronouns?",2009,"Shields, K.","Pre-OS"
132,"67e155b9","http://doi.org/10.1093/ijl/ecn021","The Lexis of electronic gaming on the Web: A sinclairian approach",2008,"Ooi, V.B.Y.","Pre-OS"
133,"8186bd30","http://doi.org/","Observations on the use of manual signs and gestures in the communicative interactions between native Americans and Spanish explorers of North America: The Accounts of Bernal díaz del Castillo and álvar núnẽz Cabeza de Vaca",2008,"Bonvillian, J.D., Ingram, V.L., McCleary, B.M.","Pre-OS"
134,"05bd0d8e","http://doi.org/10.1598/RT.63.4.3","Digital storytelling: Extending the potential for struggling writers",2009,"Sylvester, R., Greenidge, W.-L.","Pre-OS"
135,"1205f306","http://doi.org/10.1515/COGL.2009.002","'Caused motion'? the semantics of the English to-dative and the Dutch aan-dative",2009,"Colleman, T., De Clerck, B.","Pre-OS"
136,"675b9d82","http://doi.org/10.1075/is.9.2.03bar","The carrot and the stick: The role of praise and punishment in human-robot interaction",2008,"Bartneck, C., Reichenbach, J., Carpenter, J.","Pre-OS"
137,"b41ae183","http://doi.org/10.1007/s10462-009-9131-8","Intelligent agent based artificial immune system for computer security-a review",2009,"Ramakrishnan, S., Srinivasan, S.","Pre-OS"
138,"8b37dc11","http://doi.org/10.1353/ajp.2008.0014","Libertas reverentiam remisit: Politics and metaphor in Statius Silvae 1.6",2008,"Chinn, C.","Pre-OS"
139,"a73edc22","http://doi.org/10.1016/j.langsci.2006.12.028","Language and landscape: a cross-linguistic perspective",2008,"Burenhult, N., Levinson, S.C.","Pre-OS"
140,"c00f5875","http://doi.org/10.3758/APP.71.1.116","Aging and the perception of slant from optical texture, motion parallax, and binocular disparity",2009,"Norman, J.F., Crabtree, C.E., Bartholomew, A.N., Ferrell, E.L.","Pre-OS"
141,"d4c4e81e","http://doi.org/10.1177/0957926508089940","The politics of recontextualization: Discursive competition over claims of Iranian involvement in Iraq",2008,"Hodges, A.","Pre-OS"
142,"ac05f6ec","http://doi.org/10.1017/S0958344008000220","Listening to the learner voice: The ever changing landscape of technology use for language students",2008,"Conole, G.","Pre-OS"
143,"14202778","http://doi.org/","From bergsteiger to bergkrieger. Gustav Renker, Luis Trenker, and the Rebirth of the German nation in rock and ice",2009,"Wilms, W.","Pre-OS"
144,"2e7977ea","http://doi.org/","The fighting style: Reading the unabomber's strunk and white",2009,"Prenderqast, C.","Pre-OS"
145,"489b17dd","http://doi.org/10.1111/j.1467-971X.2008.00550.x","American \""prestige press\"" representations of the global hegemony of English",2008,"Demont-Heinrich, C.","Pre-OS"
146,"b73b01b4","http://doi.org/10.1093/ywcct/mbp001","Film theory",2009,"During, L.","Pre-OS"
147,"12670d7b","http://doi.org/10.1002/j.1545-7249.2009.tb00188.x","Globalization and language learning in rural Japan: The role of English in the local linguistic ecology",2009,"Kubota, R., McKay, S.","Pre-OS"
148,"edd7d335","http://doi.org/10.1080/02699200902839818","A retrospective study of phonetic inventory complexity in acquisition of Spanish: Implications for phonological universals",2009,"Cataño, L., Barlow, J.A., Moyna, M.I.","Pre-OS"
149,"2a2b4051","http://doi.org/10.1177/0739986308322913","Academic success strategy use among community-active urban hispanic adolescents",2008,"Vick, R.M., Packard, B.W.-L.","Pre-OS"
150,"f006ca17","http://doi.org/","Half a century of relative monitoring. on the 1959 which-hunt in Scientific American",2008,"Olofsson, A.","Pre-OS"
151,"b9f75d20","http://doi.org/10.1080/02666030.2009.9628703","Royal katars of bundi",2009,"Nordlunde, J.","Pre-OS"
152,"cddd77fb","http://doi.org/10.1080/1750399X.2008.10798765","Admission testing for interpreting courses",2008,"Timarová, Š., Ungoed-Thomas, H.","Pre-OS"
153,"b192ec7e","http://doi.org/","Taking a reading/writing intervention for secondary English language learners on the road: Lessons learned from the pathway project",2008,"Olson, C.B., Land, R.","Pre-OS"
154,"deafb236","http://doi.org/10.1142/S1793351X09000707","A new dissimilarity measure for cut detection using bipartite graph matching",2009,"Guimarães, S.J.F., Do Patrocínio, Z.K.G., De Paula, H.B., Da Silva, H.B.","Pre-OS"
155,"0e6bb2a6","http://doi.org/10.1080/19388070802251988","Promoting change through professional development: The place of teacher intentionality in reading instruction",2009,"Putman, S.M., Smith, L.L., Cassady, J.C.","Pre-OS"
156,"30fa4e50","http://doi.org/10.1515/CLLT.2008.003","Deciding on units of analysis within Centering Theory",2008,"Taboada, M., Zabala, L.H.","Pre-OS"
157,"af0ea0f3","http://doi.org/10.1177/0093650208315976","Political Ads and citizen communication",2008,"Cho, J.","Pre-OS"
158,"fe59ac43","http://doi.org/10.1515/LITY.2009.005","On the (un)suitability of semantic categories",2009,"Rijkhoff, J.","Pre-OS"
159,"60888a84","http://doi.org/","Struggling over theory, struggling over identity",2008,"Olson, G.A.","Pre-OS"
160,"405ba197","http://doi.org/10.1016/j.pragma.2007.02.004","A filial son or a loving mother?. Evaluation as recontextualisation devices in property transaction reports",2008,"Kong, K.C.C.","Pre-OS"
161,"92de457c","http://doi.org/10.1163/1960602808X00064","Phonemic and tonal analysis of Yongning Na",2008,"Michaud, A.","Pre-OS"
162,"26e9e42a","http://doi.org/10.1353/ajp.0.0049","The \""Reassurance of fratricide\"" in the Aeneid",2009,"Pogorzelski, R.J.","Pre-OS"
163,"d4fe009d","http://doi.org/10.1080/02687030802669518","Production and comprehension of unaccusatives in aphasia",2009,"McAllister, T., Bachrach, A., Waters, G., Michaud, J., Caplan, D.","Pre-OS"
164,"50db91aa","http://doi.org/10.1080/14708470902748822","Reclaiming the local in teaching EIL",2009,"Rubdy, R.","Pre-OS"
